rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,Num Cands,Num Seats
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79.0,1.0
61,61,61,61,61,61,79,61,61,61,61,61,61,61,79,79,61,79,61,61,61,61,79,61,61,61,61,61,61,61,61,79,61,61,61,61,79,61,61,61,61,61,61,61,61,79,61,61,61,61,61,61,61,61,79,61,79,79,79,61,79,79,61,79,79,61,61,61,61,61,61,61,61,79,61,61,61,1,61,,
79,79,79,79,79,79,79,79,7,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,2,79,79,79,79,79,79,79,6,79,79,79,79,Skipped,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,9,79,79,79,8,79,5,79,79,79,79,79,79,79,4,,
79,79,79,79,79,3,79,1,79,79,79,79,79,79,79,79,2,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,,
79,28,79,28,34,28,79,28,79,28,28,34,79,79,79,79,28,79,79,28,28,79,79,28,79,79,79,79,28,79,79,79,79,28,2,34,79,79,28,79,79,79,28,28,28,79,1,28,28,34,79,34,34,28,79,28,79,79,79,28,79,79,28,79,79,28,28,28,79,79,28,79,79,79,79,79,79,79,3,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,3,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,1,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,2,79,79,79,2,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,1,79,79,79,2,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,2,79,2,79,2,79,79,79,2,,
79,79,79,79,79,79,79,79,4,79,79,79,79,79,79,79,79,79,4,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,49,49,49,49,49,79,49,79,49,49,2,49,49,79,79,49,79,50,49,49,49,79,49,49,49,79,49,49,79,79,79,79,49,4,49,79,49,49,49,49,79,5,49,49,79,1,49,49,49,79,49,49,49,79,49,79,79,79,49,79,79,49,79,79,49,49,49,49,49,49,49,49,79,79,3,79,79,49,,
79,79,79,79,79,2,79,1,2,79,79,2,79,79,79,79,79,79,79,1,79,79,79,79,79,2,79,4,79,79,79,79,79,79,79,79,79,79,5,3,79,79,79,79,79,6,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,3,79,79,79,4,79,79,79,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,2,79,79,79,4,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,79,79,3,79,79,79,79,79,79,79,79,,
71,79,8,79,62,79,79,79,79,77,79,72,79,65,79,79,79,79,79,79,79,76,69,79,79,3,11,79,75,79,79,79,79,79,6,79,70,79,78,79,79,79,4,79,79,68,1,79,79,79,65,73,79,5,79,79,79,79,79,74,66,79,78,67,79,79,79,79,10,79,7,79,9,79,79,12,79,79,2,,
77,40,40,40,40,40,77,40,77,40,40,40,40,77,77,77,40,77,77,40,40,40,77,40,77,40,77,77,40,77,77,77,77,40,40,40,77,40,40,77,77,77,40,40,40,77,40,40,40,40,77,40,40,40,77,40,77,77,77,40,79,77,40,77,78,40,40,40,77,77,40,77,1,77,77,77,77,77,40,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,,
79,42,42,42,42,42,79,42,79,42,42,42,42,79,79,79,42,79,79,42,42,42,79,42,79,42,79,79,42,79,79,79,79,42,42,42,79,42,42,79,79,79,42,42,42,79,42,42,42,42,79,42,42,42,79,42,79,79,79,42,79,79,42,79,79,42,42,42,79,1,42,42,42,79,79,79,79,79,42,,
79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,4,79,79,79,79,79,79,79,79,Skipped,Skipped,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,3,,
79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
61,25,34,16,36,16,79,1,41,31,32,18,40,26,79,79,16,79,58,16,16,57,79,20,22,39,48,47,19,54,54,79,55,19,16,44,79,40,16,50,47,61,16,16,16,79,17,28,23,32,61,35,35,16,79,25,79,79,79,16,79,79,16,79,33,62,30,27,49,47,16,42,47,79,61,54,54,79,16,,
79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,33,47,14,46,9,79,8,2,33,33,46,46,57,79,79,12,79,57,10,18,46,79,33,46,46,57,3,33,57,57,79,57,33,5,46,79,46,18,46,57,57,11,8,33,79,1,33,33,33,79,46,33,17,79,33,79,79,79,16,79,79,15,79,79,19,33,33,57,46,6,46,46,79,79,57,57,79,7,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,,
79,79,79,79,79,7,79,79,79,79,79,79,79,79,79,79,79,79,79,79,4,79,79,79,6,79,8,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,4,79,79,79,79,3,79,79,2,,
79,79,79,79,79,79,79,79,2,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
