rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,Num Cands,Num Seats
1,26,26,26,26,1,1,26,1,1,26,26,26,26,1,1,26,26,1,26,26,26,26,1,26,26,26.0,1.0
17,8,13,11,18,20,21,26,14,6,9,15,23,16,5,4,22,24,3,12,25,10,2,19,1,7,,
4,6,21,13,23,17,22,25,15,19,10,14,8,7,5,3,26,24,2,16,9,18,12,11,20,1,,
12,16,25,26,1,2,5,6,23,4,21,3,13,9,7,8,17,11,22,15,18,24,19,14,10,20,,
26,26,26,26,2,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,,
2,4,16,20,3,12,18,14,17,21,7,24,25,6,15,1,19,26,5,13,9,8,11,22,10,23,,
26,3,17,22,25,15,2,18,21,1,19,24,13,7,5,6,4,14,8,23,12,20,11,9,10,16,,
7,12,15,4,8,2,5,20,16,11,23,26,25,9,10,14,6,24,13,17,22,18,21,3,19,1,,
5,7,26,26,5,26,26,11,26,15,10,16,26,7,6,2,26,26,1,8,11,26,13,3,12,26,,
10,5,24,24,3,24,24,9,24,4,9,24,26,6,24,1,24,25,9,24,9,24,24,24,24,2,,
2,3,10,17,5,16,13,12,14,11,15,26,23,5,24,1,21,25,7,8,9,17,18,22,18,6,,
1,11,14,25,10,26,25,17,25,25,13,16,25,5,25,4,7,25,3,12,15,6,9,2,18,8,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,,
8,6,15,9,8,23,22,16,13,12,5,18,26,3,14,1,19,25,2,11,17,4,21,10,24,20,,
16,12,11,23,17,20,15,19,14,7,4,25,21,10,6,3,22,26,13,9,18,5,1,24,2,8,,
2,24,24,26,24,24,6,24,24,4,24,7,24,24,3,24,5,24,24,24,24,24,24,1,24,24,,
26,26,26,26,26,26,26,26,26,2,26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
10,3,15,16,9,20,21,3,14,26,8,7,22,3,25,1,22,23,2,13,3,8,18,11,18,19,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,,
26,23,26,26,3,26,26,26,26,25,26,26,26,26,24,2,26,26,3,22,26,26,26,26,26,26,,
9,8,10,15,8,26,26,8,15,1,15,17,26,8,26,2,26,26,8,15,3,18,15,26,16,26,,
5,3,22,22,7,22,22,22,22,24,22,22,25,7,23,2,22,26,4,22,22,22,22,1,6,8,,
19,7,10,22,8,11,1,23,24,23,23,21,23,6,4,3,20,23,2,9,23,23,26,5,25,23,,
2,2,26,26,8,26,26,24,1,25,24,26,26,16,25,15,2,26,2,2,26,3,26,3,26,26,,
14,12,16,22,10,22,6,20,17,24,15,7,25,11,21,9,19,26,2,5,18,13,8,1,4,3,,
25,8,10,26,24,26,6,26,9,26,26,26,26,3,26,26,1,26,4,2,26,26,26,26,26,26,,
11,12,20,18,19,23,7,17,21,10,1,22,25,4,9,5,8,26,3,6,13,14,16,2,15,24,,
26,3,26,26,26,26,26,26,26,26,26,26,26,2,26,4,26,26,1,26,26,26,26,26,26,26,,
10,13,11,20,16,25,20,26,2,26,8,26,26,3,26,5,26,26,1,9,4,12,15,26,14,26,,
20,20,20,8,20,20,5,9,7,2,20,26,20,12,11,4,6,20,1,20,3,20,20,10,20,20,,
26,26,26,26,26,26,26,26,6,26,26,26,26,26,5,2,26,26,3,4,26,26,26,1,26,26,,
14,7,13,18,10,24,21,12,23,11,16,25,26,7,15,3,22,20,2,6,9,17,8,1,5,19,,
26,26,26,26,26,26,26,26,26,26,26,26,26,4,26,1,26,26,2,26,3,26,26,26,26,26,,
2,10,5,14,3,26,11,10,26,26,13,17,26,10,20,10,12,26,4,14,10,13,15,1,16,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,,
26,2,5,10,13,25,25,11,12,25,9,26,26,4,24,1,25,26,3,7,6,8,22,26,22,26,,
5,7,13,6,5,19,21,14,8,26,7,16,24,5,20,2,23,22,1,13,17,13,16,26,13,18,,
