rank1,rank2,rank3,rank4,rank5,rank6,rank7,Num Cands,Num Seats
7,3,7,1,7,2,7,7.0,1.0
3,3,5,1,5,3,1,,
2,7,3,5,6,1,4,,
5,1,7,3,4,2,6,,
4,2,6,5,7,3,1,,
5,4,7,2,6,3,1,,
6,3,6,1,4,5,2,,
2,5,7,1,7,4,3,,
3,6,5,1,4,7,2,,
1,6,4,5,7,3,2,,
7,7,7,1,7,7,2,,
4,5,3,1,7,6,2,,
5,2,7,1,6,4,3,,
4,3,7,1,5,6,2,,
3,6,5,1,7,4,2,,
1,2,3,3,1,1,3,,
3,3,4,1,4,2,1,,
1,5,5,3,5,4,2,,
3,1,7,7,4,2,7,,
6,3,5,2,7,4,1,,
1,7,7,7,7,7,7,,
3,6,4,1,5,7,1,,
5,4,7,1,6,3,2,,
7,2,7,1,7,3,7,,
7,1,5,4,2,7,6,,
3,3,3,1,3,3,2,,
5,3,4,5,5,1,2,,
2,2,7,7,1,1,7,,
3,4,7,1,6,5,2,,
7,1,5,4,3,6,1,,
7,3,4,1,6,2,5,,
2,7,4,1,5,6,3,,
1,1,1,2,3,3,2,,
