rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,Num Cands,Num Seats
1,4,3,21,21,21,21,21,21,21,21,2,21,21,21,21,21,21,21,21,4,21.0,1.0
2,16,11,5,3,19,7,15,20,8,21,14,17,10,12,6,18,13,4,9,1,,
21,21,21,21,21,21,2,21,21,21,21,21,21,1,3,21,21,21,21,21,21,,
20,20,5,20,20,20,20,20,20,3,20,20,20,20,4,20,20,2,20,20,1,,
2,10,15,3,3,19,10,20,1,2,15,4,15,4,21,2,3,4,1,4,1,,
21,21,11,13,12,8,21,14,21,9,6,21,1,21,2,5,7,10,21,4,3,,
3,6,21,5,21,21,5,21,21,5,21,2,5,4,6,7,6,8,6,5,1,,
14,12,14,21,21,14,14,14,14,7,1,14,20,3,14,16,14,2,6,12,15,,
1,3,3,3,3,2,3,2,3,3,1,2,2,3,3,2,3,1,3,3,3,,
2,11,9,14,17,21,17,1,12,7,16,18,8,13,4,3,6,5,20,10,19,,
5,10,3,10,19,10,4,20,10,10,18,2,10,10,21,10,10,10,10,10,1,,
21,21,11,21,2,12,1,21,21,10,7,6,21,11,9,21,4,21,5,3,8,,
6,21,21,21,21,21,21,7,21,3,4,21,21,21,1,2,21,21,21,5,21,,
6,6,6,6,6,6,6,6,6,6,6,1,6,2,4,6,5,6,3,6,6,,
3,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,2,21,21,21,21,,
2,2,3,21,21,21,21,21,21,2,21,2,21,3,21,2,21,3,2,21,1,,
12,20,4,8,18,16,11,9,17,13,15,4,19,10,21,5,3,8,8,1,14,,
21,21,21,21,21,21,21,21,21,3,21,1,21,21,21,21,21,21,21,21,2,,
4,19,2,8,21,19,19,21,19,9,14,3,21,12,21,5,19,1,17,12,6,,
2,2,3,3,3,4,4,4,4,2,4,1,3,2,4,3,3,2,4,3,1,,
10,6,5,3,2,8,19,21,7,17,16,11,18,12,20,4,14,15,13,1,9,,
6,6,4,1,5,21,21,21,21,15,2,1,1,21,15,4,3,4,3,5,2,,
21,21,21,21,1,21,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
2,20,4,2,4,8,4,21,21,3,5,4,5,6,7,4,2,5,4,3,5,,
3,20,2,20,1,20,5,20,20,19,9,20,18,20,21,7,8,4,20,20,6,,
1,20,3,20,1,20,9,21,21,20,21,2,20,1,1,1,20,20,10,2,2,,
2,21,2,21,1,21,21,21,21,21,3,21,21,5,21,21,4,21,6,21,21,,
4,13,10,15,1,19,14,21,17,11,20,16,2,9,18,3,6,5,7,8,12,,
1,4,4,4,8,21,21,21,21,21,21,2,21,21,6,7,21,5,9,21,3,,
7,7,1,7,19,7,7,1,19,7,19,7,1,7,4,7,7,4,7,7,4,,
5,6,1,1,7,10,5,6,8,2,21,3,4,21,21,3,1,21,4,3,2,,
1,21,4,21,3,21,21,21,21,21,21,2,21,21,21,21,21,21,10,5,6,,
21,21,21,21,6,21,21,21,21,8,5,7,21,4,21,21,21,2,1,3,21,,
1,21,21,3,21,21,21,21,21,21,21,2,21,21,21,1,3,21,3,3,4,,
3,16,15,1,21,4,17,20,18,19,14,12,6,11,10,7,9,13,5,8,2,,
1,21,21,21,1,21,3,21,21,21,21,3,21,21,21,21,21,21,21,21,2,,
9,10,15,17,13,12,13,19,5,8,21,1,16,4,11,7,6,2,3,20,18,,
21,5,5,21,21,4,6,21,21,2,4,7,3,21,1,21,4,21,4,3,7,,
3,21,21,21,21,21,21,21,21,1,21,21,21,21,21,1,21,2,21,3,1,,
2,5,4,2,4,3,1,3,6,3,6,1,3,4,6,2,3,1,4,5,2,,
2,21,21,21,21,21,21,21,21,21,21,5,21,5,21,21,21,3,21,3,1,,
1,21,2,3,21,21,1,21,21,21,21,21,21,21,21,21,3,21,2,21,2,,
