rank1,rank2,rank3,rank4,rank5,rank6,rank7,Num Cands,Num Seats
3,7,6,4,1,4,2,7.0,Unknown
7,7,7,3,7,2,1,,Unknown
1,1,1,1,7,7,1,,Unknown
7,7,7,1,7,7,7,,Unknown
5,1,7,6,3,4,2,,Unknown
5,2,7,6,3,4,1,,Unknown
1,1,1,1,7,7,1,,Unknown
1,1,1,1,7,7,1,,Unknown
2,2,2,1,7,7,2,,Unknown
2,1,2,2,7,7,2,,Unknown
5,3,7,6,1,4,2,,Unknown
7,2,1,7,7,7,3,,Unknown
7,7,7,7,7,7,7,,Unknown
3,1,2,2,7,7,2,,Unknown
3,1,7,5,4,2,6,,Unknown
1,1,2,3,7,7,2,,Unknown
7,3,7,7,7,2,1,,Unknown
5,2,7,6,3,4,1,,Unknown
7,7,7,1,7,7,7,,Unknown
1,1,1,1,7,7,1,,Unknown
5,1,7,6,2,4,3,,Unknown
7,7,7,1,7,7,7,,Unknown
1,1,1,1,7,7,1,,Unknown
2,1,4,7,7,7,2,,Unknown
5,1,7,6,3,4,2,,Unknown
1,1,1,1,7,7,1,,Unknown
2,5,7,6,4,3,1,,Unknown
1,1,1,1,7,7,1,,Unknown
1,1,1,1,7,7,1,,Unknown
1,1,1,1,7,7,1,,Unknown
3,1,7,6,4,5,2,,Unknown
7,3,5,7,4,2,1,,Unknown
5,1,7,6,3,4,2,,Unknown
5,3,7,2,1,4,6,,Unknown
2,5,4,7,7,3,1,,Unknown
