rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,Num Cands,Num Seats
13,17,1,22,7,21,19,5,6,3,2,18,4,15,12,11,20,10,9,8,14,16,22.0,Unknown
11,4,20,21,7,9,12,1,13,17,18,5,15,10,2,14,8,16,3,22,6,19,,Unknown
22,4,22,22,22,22,22,22,22,22,22,2,22,22,1,22,22,22,3,22,22,22,,Unknown
8,12,6,22,9,13,17,1,14,10,15,2,11,20,5,19,18,7,3,16,4,21,,Unknown
14,11,4,4,15,1,18,3,7,17,8,5,6,19,10,21,9,20,2,12,16,22,,Unknown
9,1,22,10,22,7,22,8,22,22,22,6,22,22,2,22,22,5,4,22,3,22,,Unknown
5,22,3,22,13,22,22,10,22,22,7,22,4,21,22,22,22,2,14,22,1,22,,Unknown
5,17,2,19,2,13,15,3,4,11,18,7,1,14,9,10,16,6,12,4,6,14,,Unknown
8,2,13,11,6,9,12,15,14,17,3,22,4,18,10,16,20,7,2,21,5,19,,Unknown
22,22,22,22,22,22,22,22,22,22,22,22,22,22,2,22,22,1,22,22,3,22,,Unknown
21,21,2,21,3,5,22,21,21,21,14,21,21,21,21,21,21,21,4,21,1,21,,Unknown
7,9,4,19,13,16,22,10,11,8,12,15,2,21,6,17,18,5,3,14,1,20,,Unknown
4,22,1,22,2,22,22,4,6,22,5,22,2,22,5,22,4,3,3,4,7,22,,Unknown
20,5,8,22,10,21,17,6,1,14,7,15,2,12,3,18,13,11,4,16,9,19,,Unknown
4,19,5,20,1,17,21,11,7,13,18,14,2,15,8,22,16,12,9,3,10,6,,Unknown
4,22,22,22,22,22,22,22,22,22,22,22,1,22,5,22,6,2,3,22,22,22,,Unknown
1,6,22,22,4,22,22,7,22,22,22,22,3,22,2,22,22,22,5,22,22,22,,Unknown
22,22,4,3,22,22,22,1,22,22,22,22,22,22,2,22,22,22,5,22,22,22,,Unknown
22,22,22,22,22,22,22,2,1,22,22,22,22,22,4,22,22,3,22,22,22,22,,Unknown
21,21,1,3,21,21,5,4,21,21,21,21,21,21,22,21,21,6,21,21,2,21,,Unknown
10,5,3,21,8,2,17,7,18,20,1,19,5,13,16,4,14,12,11,9,6,15,,Unknown
