rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
4,10,5,6,8,2,7,9,3,1,10.0,1.0
5,2,5,9,8,3,6,4,1,7,,
4,10,6,9,5,2,7,8,3,1,,
2,1,3,4,10,7,5,8,6,9,,
5,8,6,10,1,7,9,2,3,4,,
2,10,4,3,9,1,8,7,6,5,,
10,10,10,1,10,10,10,1,10,1,,
10,7,8,6,1,9,5,3,2,4,,
5,6,4,7,2,8,10,3,9,1,,
6,10,6,5,3,2,1,10,4,10,,
9,4,5,3,1,10,8,2,7,6,,
8,9,6,5,1,4,10,2,3,7,,
7,8,9,6,1,5,10,2,4,3,,
6,9,7,10,4,3,8,5,1,2,,
1,2,3,4,10,8,5,6,7,9,,
5,10,5,5,10,7,8,7,10,7,,
9,8,5,9,1,3,10,2,5,6,,
7,8,4,9,2,10,6,3,5,1,,
3,5,6,10,1,10,10,4,10,2,,
5,9,4,10,1,6,8,3,7,2,,
8,9,3,5,1,4,10,10,9,2,,
8,9,7,10,4,5,6,2,1,3,,
8,3,10,9,1,5,2,7,6,4,,
10,10,10,10,1,10,10,1,2,10,,
5,9,6,8,4,1,7,10,3,2,,
10,10,10,1,1,10,10,1,2,1,,
2,8,4,8,1,4,10,1,8,6,,
10,8,5,7,3,9,6,2,4,1,,
5,4,3,6,1,3,1,2,2,2,,
2,3,3,3,4,3,3,3,3,1,,
1,3,9,4,7,8,5,6,10,2,,
