rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,Num Cands,Num Seats
13,7,12,18,10,29,32,Skipped,22,8,11,29,4,16,20,2,3,31,32,32,21,1,9,19,5,15,17,23,14,30,32,6,32.0,1.0
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
13,32,15,10,20,16,22,24,32,8,14,11,3,12,5,17,6,21,9,32,32,7,18,23,19,32,1,32,32,2,32,4,,
32,7,32,3,32,32,1,32,32,32,32,32,32,2,32,32,5,32,32,32,4,32,32,32,32,6,32,32,2,32,32,32,,
30,30,30,30,30,30,30,30,30,30,30,30,1,2,30,30,3,30,30,30,30,3,31,30,30,22,29,30,25,32,30,30,,
15,32,15,32,1,32,32,32,15,20,3,32,10,5,32,10,3,32,20,10,20,10,3,32,10,20,15,30,8,32,15,15,,
Skipped,Skipped,Skipped,1,15,1,18,Skipped,Skipped,21,5,11,1,10,15,8,6,12,18,Skipped,22,8,7,20,15,Skipped,4,Skipped,23,12,Skipped,12,,
25,32,19,32,20,32,32,32,32,32,32,19,32,21,32,32,1,32,32,32,32,32,32,28,26,24,23,32,32,28,32,32,,
32,32,9,6,10,32,32,32,32,14,32,32,1,5,32,4,2,32,32,32,32,3,32,32,8,11,7,32,13,12,32,32,,
29,29,29,15,29,29,29,29,29,30,29,29,29,29,29,29,15,29,29,29,31,29,32,29,29,29,29,29,28,29,29,29,,
32,32,32,2,5,1,5,32,32,32,3,4,5,6,32,7,6,5,6,32,32,5,32,32,6,32,5,32,32,5,32,7,,
13,14,7,10,12,19,29,24,15,17,16,27,1,6,9,3,2,30,21,23,32,5,8,31,11,26,18,22,20,25,28,4,,
17,20,13,10,19,32,27,31,12,8,14,25,7,16,28,15,1,23,25,25,21,2,11,25,30,29,22,24,9,25,26,18,,
3,16,8,12,14,27,18,32,10,9,22,21,9,4,15,17,1,19,13,25,2,7,6,11,20,29,23,28,5,26,31,24,,
27,8,22,29,5,31,7,29,29,29,29,28,3,4,29,19,2,29,30,6,31,1,32,29,25,21,23,29,29,26,29,29,,
4,14,2,15,11,16,24,27,17,7,12,20,6,10,3,5,1,29,19,25,22,9,32,30,13,23,18,26,31,21,28,8,,
32,30,21,32,2,32,18,7,4,13,8,32,3,10,32,12,32,29,32,11,32,9,1,20,5,15,19,32,16,17,14,6,,
