rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,Num Cands,Num Seats
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
50,20,102,19,33,25,98,85,56,29,12,48,4,84,39,42,21,29,24,6,9,70,80,81,38,77,13,2,47,78,46,98,86,62,60,99,67,88,64,54,90,16,98,74,66,17,30,29,68,32,52,83,76,35,89,1,57,34,49,36,29,98,58,44,43,37,98,22,24,79,82,14,71,45,69,15,18,72,98,11,3,87,29,73,40,100,61,23,5,59,65,98,63,20,8,101,10,51,98,75,7,41,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,2,102,102,102,102,102,10,102,102,1,1,102,102,2,102,102,2,102,102,1,4,102,102,102,3,102,102,102,102,10,102,102,2,102,102,102,102,10,4,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,3,102,102,102,102,102,102,102,102,102,5,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,2,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,4,102,102,3,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,5,102,102,102,2,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,2,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,3,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,5,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,102,102,102,102,102,4,102,102,102,7,102,102,102,102,102,102,102,102,102,3,10,102,102,102,9,102,102,102,102,102,102,102,102,102,102,102,2,102,102,102,102,102,102,6,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,8,102,5,102,102,102,102,102,102,102,102,102,102,102,11,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,5,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,2,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,3,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
17,100,100,100,100,8,14,29,100,31,100,1,3,100,100,21,100,14,19,16,15,17,100,100,100,100,100,23,100,11,100,14,12,20,6,14,28,14,100,9,19,100,18,20,14,100,100,27,100,100,100,100,100,17,17,10,14,100,18,100,25,5,14,22,100,18,100,100,100,17,100,100,102,14,100,100,100,24,32,4,14,18,100,26,17,17,100,100,30,100,13,101,100,100,17,21,14,2,100,100,6,19,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,22,102,102,38,102,56,22,6,4,22,22,2,38,22,56,102,102,102,102,102,10,102,102,102,102,102,102,102,22,102,102,102,38,102,22,56,102,22,22,56,12,22,56,38,56,9,38,102,1,102,38,56,102,38,102,102,56,11,102,56,38,102,102,56,102,8,38,38,56,3,102,102,102,22,56,56,38,38,56,102,38,102,5,7,102,13,102,102,102,102,56,56,38,38,56,22,56,38,102,,
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,1,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,,
102,102,102,102,24,14,102,102,25,102,21,102,102,102,2,8,102,102,9,102,102,7,102,2,2,4,14,25,102,12,25,102,102,102,25,25,102,5,102,102,102,102,25,13,102,25,102,102,1,102,102,1,102,2,102,22,102,102,25,102,11,102,102,102,3,102,102,102,22,25,102,25,2,102,102,102,102,102,102,10,21,102,102,102,102,6,3,23,22,25,102,25,102,25,102,25,102,102,102,102,23,102,,
33,55,102,102,55,33,55,102,12,55,8,102,33,55,5,102,102,55,102,102,19,55,102,19,102,1,102,102,102,34,102,55,102,19,102,33,55,102,55,102,33,55,55,20,102,33,55,102,102,19,102,7,102,102,102,2,102,55,102,9,33,35,55,33,102,33,55,55,3,102,102,55,102,11,102,33,102,102,102,102,102,19,102,19,102,33,33,102,4,102,102,33,55,6,102,10,102,55,102,19,102,56,,
102,102,102,102,102,102,102,102,102,17,102,102,102,102,102,102,102,102,5,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,3,102,102,102,102,102,102,102,102,102,102,102,20,102,102,102,102,1,102,102,102,102,102,102,2,102,102,102,102,102,102,18,102,102,102,12,102,102,102,102,4,102,9,102,102,102,102,102,102,102,13,8,11,102,102,102,102,102,102,102,102,102,102,102,102,102,10,102,,
36,41,88,102,102,8,102,102,102,52,69,10,68,70,1,6,102,22,5,45,43,5,102,1,1,27,98,48,28,4,102,38,37,26,44,7,72,6,102,63,61,99,102,2,40,102,102,102,100,102,102,3,102,1,33,73,78,102,39,14,53,32,30,86,15,58,77,7,15,46,102,102,1,65,102,102,102,102,74,102,11,57,60,31,34,6,15,101,9,102,23,1,102,102,16,102,35,59,87,102,24,29,,
