rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
6,7,1,5,8,4,3,2,10,9,10.0,1.0
7,5,1,1,4,1,6,8,10,10,,
4,6,1,3,6,1,4,2,5,5,,
6,4,8,2,9,1,5,3,7,10,,
5,6,10,1,7,3,9,2,4,8,,
4,2,1,5,8,3,9,6,7,10,,
7,6,1,3,4,2,5,8,10,9,,
3,5,10,9,6,4,10,8,1,2,,
2,10,10,6,5,3,10,4,1,2,,
3,4,1,9,10,8,2,7,5,6,,
8,7,1,4,10,10,2,3,6,5,,
4,7,8,2,6,3,10,1,5,9,,
5,3,2,7,1,6,4,8,10,9,,
6,7,1,4,8,2,9,3,10,5,,
4,10,3,7,1,5,6,10,2,8,,
10,10,2,1,10,10,10,4,10,6,,
4,7,3,9,5,8,6,1,2,10,,
10,10,2,4,10,10,1,3,10,10,,
3,7,10,2,8,4,9,1,5,6,,
10,1,1,1,1,4,1,5,10,10,,
6,9,1,10,5,2,4,7,3,8,,
5,6,1,2,7,3,9,4,10,8,,
9,6,5,1,7,2,4,3,10,8,,
5,9,1,5,3,3,1,5,10,5,,
2,8,7,3,9,5,6,1,4,10,,
4,6,1,7,9,2,5,3,8,10,,
3,10,10,5,10,4,10,2,1,6,,
9,6,1,2,8,7,4,10,3,5,,
6,3,1,8,7,10,9,5,2,4,,
6,7,1,3,5,9,4,2,8,10,,
4,10,8,3,7,2,6,1,9,5,,
3,9,4,7,10,1,6,2,8,5,,
8,9,1,4,7,3,2,6,5,10,,
5,7,1,2,4,6,3,8,10,9,,
7,8,2,1,6,3,5,4,9,10,,
8,7,1,6,9,5,4,2,3,10,,
6,8,9,1,5,2,3,7,10,4,,
7,8,1,3,2,4,5,6,9,10,,
2,8,1,7,3,6,5,4,10,9,,
4,9,2,6,1,3,6,4,9,9,,
2,10,7,10,5,3,6,1,4,10,,
10,4,2,10,5,6,3,1,10,10,,
2,2,1,2,2,2,2,2,2,2,,
6,2,9,8,7,4,3,10,1,5,,
6,7,1,4,3,9,8,2,5,10,,
8,2,5,1,4,3,7,9,6,10,,
7,4,9,1,8,2,6,3,5,10,,
10,10,10,10,10,10,10,10,1,10,,
7,5,1,4,6,3,10,2,10,10,,
8,6,1,2,7,3,4,5,10,9,,
8,5,1,4,10,7,2,3,6,10,,
3,2,1,10,4,4,10,5,3,10,,
10,5,3,1,10,10,2,4,10,10,,
