rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,Num Cands,Num Seats
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52.0,1.0
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,1,52,52,52,52,2,52,52,52,52,2,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,52,52,1,52,52,52,,
8,36,9,17,12,47,46,15,19,30,32,51,38,7,41,13,42,22,20,18,45,49,14,6,28,2,52,25,16,21,4,35,37,27,44,31,26,39,1,50,3,23,24,33,43,10,40,29,11,48,5,34,,
14,52,12,27,26,38,34,25,32,8,42,17,10,50,48,9,35,23,4,36,16,43,1,15,46,6,45,19,29,5,11,41,47,33,40,28,22,37,13,44,3,49,20,51,2,18,30,24,7,31,21,39,,
9,52,16,6,50,52,52,52,52,52,52,52,4,5,52,12,52,52,52,52,52,52,52,11,13,17,52,10,52,1,18,52,52,2,52,52,18,52,15,8,7,52,52,52,52,52,52,19,3,52,14,52,,
1,30,30,17,20,30,52,30,30,14,52,30,30,6,40,24,30,15,52,52,30,30,23,2,13,7,52,30,40,12,30,40,40,8,9,11,26,19,4,16,3,25,40,21,52,10,22,52,18,40,5,40,,
2,41,5,7,6,35,39,33,37,22,29,15,26,28,52,20,44,51,11,3,44,27,12,43,1,4,31,46,52,26,38,21,22,15,26,13,19,14,10,9,8,40,30,32,52,36,52,42,25,23,51,21,,
6,27,3,4,19,14,50,36,18,8,39,45,40,33,48,17,26,28,21,38,22,25,10,12,24,1,43,34,32,5,7,49,51,16,13,37,20,47,15,29,11,41,31,35,52,23,44,30,2,46,9,42,,
