rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,Num Cands,Num Seats
74,74,74,74,74,74,74,3,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,2,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,1,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74.0,1.0
74,74,74,5,74,74,74,9,74,74,74,5,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,14,74,74,12,74,74,74,13,74,74,74,17,74,74,74,74,20,1,74,11,6,74,74,74,74,18,74,74,19,74,74,74,74,74,74,74,3,15,74,74,74,74,10,74,74,,
74,74,74,74,74,74,74,7,74,74,74,3,74,4,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,2,74,6,11,74,74,74,74,74,74,74,74,74,74,10,74,74,74,74,74,9,74,74,74,74,74,74,74,74,74,74,74,74,1,8,74,74,74,74,74,74,5,,
74,74,74,74,74,74,74,1,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,2,74,74,74,74,74,74,74,74,74,74,74,74,3,74,74,,
53,Skipped,39,Skipped,24,Skipped,Skipped,41,41,54,11,24,42,Skipped,47,39,Skipped,Skipped,41,Skipped,16,Skipped,16,Skipped,8,1,39,Skipped,41,6,Skipped,Skipped,Skipped,24,12,16,9,17,Skipped,30,41,46,24,32,24,10,3,Skipped,24,31,Skipped,Skipped,Skipped,Skipped,39,Skipped,Skipped,7,4,Skipped,Skipped,31,5,43,Skipped,25,16,Skipped,Skipped,Skipped,2,39,39,24,,
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,,
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,1,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,,
74,74,74,74,74,74,74,74,74,5,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,2,74,74,74,74,74,74,74,74,74,74,74,74,4,74,74,74,74,74,74,74,74,1,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,3,74,74,74,,
43,43,43,31,20,31,43,3,6,2,43,9,43,31,43,31,43,31,31,17,13,43,72,31,18,21,43,5,43,14,43,19,43,43,21,43,16,31,31,15,12,43,31,43,21,21,21,43,10,1,43,31,7,43,74,31,21,73,4,21,43,21,43,43,21,8,71,43,43,43,11,21,43,43,,
33,69,26,74,67,17,47,15,2,59,72,11,39,37,51,32,62,74,67,56,31,50,60,34,29,3,57,10,30,38,44,36,45,54,13,41,9,42,25,4,12,52,28,23,58,8,16,53,27,7,73,73,55,70,49,63,71,19,1,24,40,35,48,20,18,6,74,14,61,22,5,21,43,46,,
74,9,74,74,18,74,74,74,74,74,5,74,74,74,10,74,74,74,74,4,74,74,74,74,74,74,74,74,74,74,74,74,74,16,74,74,15,74,74,74,6,74,74,74,74,74,1,11,74,74,74,74,74,74,8,74,74,74,74,74,74,74,13,74,74,2,12,74,14,74,3,74,74,7,,
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,,
