rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num Cands,Num Seats
4,5,9,11,8,1,7,3,6,2,10,11.0,1.0
6,11,10,9,3,7,2,8,4,5,1,,
1,10,6,2,8,5,11,4,9,3,7,,
3,10,3,8,11,11,1,11,10,2,6,,
2,9,8,5,10,6,1,3,4,7,11,,
3,10,10,11,9,4,6,2,1,5,8,,
5,11,4,11,11,11,2,3,1,6,11,,
2,10,11,11,11,1,9,3,4,5,11,,
2,7,8,3,1,5,6,9,11,10,4,,
1,11,7,9,11,1,8,2,3,1,6,,
5,11,4,7,10,9,1,8,3,2,6,,
6,3,1,11,11,2,11,4,5,2,11,,
9,10,6,11,5,7,1,3,2,4,8,,
2,10,11,11,11,3,9,3,1,6,11,,
3,11,11,11,11,11,1,8,4,2,11,,
1,5,6,9,7,2,11,8,4,3,10,,
1,8,3,10,5,3,11,6,2,3,10,,
2,11,3,11,7,4,2,1,6,5,11,,
2,11,7,11,8,11,1,3,4,6,5,,
8,10,2,11,7,6,5,4,3,1,9,,
10,5,10,11,11,1,11,11,5,2,11,,
11,11,3,6,11,11,5,6,6,11,1,,
1,10,3,8,11,7,6,5,4,2,9,,
6,3,2,11,10,8,1,7,9,5,4,,
4,4,3,11,11,5,10,11,11,1,11,,
8,11,1,9,11,6,7,5,3,2,4,,
1,8,8,9,8,3,11,2,4,5,10,,
6,11,4,11,11,7,1,2,5,3,11,,
1,6,6,6,4,6,2,4,3,5,6,,
2,9,7,5,10,3,11,1,8,4,6,,
11,11,11,4,11,11,3,1,11,2,11,,
8,11,3,10,7,5,2,4,6,1,9,,
3,8,7,11,1,5,6,4,2,11,11,,
1,7,5,6,11,5,11,2,11,8,9,,
3,11,11,11,11,11,2,1,3,10,11,,
