rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,Num Cands,Num Seats
2,13,14,16,9,11,6,4,18,1,17,12,20,15,8,4,10,19,2,6,20.0,1.0
20,20,20,4,20,2,20,20,20,3,20,20,20,20,20,20,1,20,5,20,,
2,8,20,6,4,20,20,7,20,5,20,20,20,1,20,20,3,20,20,20,,
10,20,10,18,10,2,20,20,12,3,20,20,20,20,19,4,12,20,1,20,,
17,20,3,4,20,5,16,20,20,20,19,1,20,1,20,20,18,20,2,20,,
5,7,19,18,7,1,20,10,18,3,18,3,18,18,19,6,18,18,2,2,,
11,16,12,17,5,1,18,7,9,6,14,10,8,15,20,13,4,19,2,3,,
6,10,11,18,12,3,7,16,9,8,13,14,19,15,17,1,5,20,4,2,,
5,7,7,7,7,2,7,4,7,3,7,6,7,7,20,7,7,19,1,7,,
18,3,8,17,7,1,16,14,12,13,9,2,4,11,20,5,15,19,10,6,,
17,17,2,17,1,2,17,17,17,2,17,1,19,1,18,17,17,17,17,20,,
12,20,5,20,6,7,9,11,20,10,20,20,8,2,20,20,3,20,1,4,,
18,16,10,18,10,4,16,16,20,6,18,16,2,18,19,1,1,18,5,3,,
4,20,1,20,20,20,6,17,5,20,20,2,20,16,18,15,3,20,20,20,,
6,18,14,19,15,9,12,4,17,5,13,8,3,11,20,10,16,2,1,7,,
20,5,20,20,20,1,20,20,20,3,20,20,20,20,20,6,4,20,2,20,,
17,7,1,16,12,11,6,9,2,8,10,5,18,3,15,4,14,19,13,20,,
6,6,6,6,6,6,6,3,6,6,6,4,6,6,20,6,5,6,1,2,,
20,5,20,8,4,20,20,6,20,20,10,11,7,20,20,2,3,9,20,1,,
10,2,5,5,1,5,10,8,5,8,6,3,9,7,20,5,8,10,7,4,,
17,9,2,19,10,8,10,4,16,8,17,16,17,1,18,15,3,17,8,7,,
15,10,7,6,7,7,5,20,7,3,15,7,12,15,16,2,15,20,1,4,,
4,18,20,17,6,2,8,7,5,5,19,2,16,1,11,3,10,20,2,6,,
5,7,19,19,3,1,19,19,6,17,19,8,19,19,18,10,4,20,1,9,,
20,20,20,20,20,5,20,20,20,3,20,20,20,20,10,4,2,3,20,1,,
3,20,20,20,20,20,2,5,20,20,20,20,20,20,20,4,20,20,1,20,,
6,5,20,20,4,1,20,10,3,9,20,20,20,20,11,2,7,20,8,20,,
1,5,8,8,8,4,3,8,8,7,8,16,19,8,15,8,17,18,2,6,,
2,13,9,18,8,3,5,14,12,4,10,15,17,11,20,7,16,19,1,6,,
2,10,10,10,10,5,3,9,10,4,8,10,10,10,20,6,10,7,1,10,,
6,10,15,16,14,18,7,3,20,2,8,17,19,12,9,1,13,11,5,4,,
6,6,20,20,20,3,6,6,5,5,5,20,6,20,19,2,1,20,3,2,,
13,5,16,12,14,8,18,14,2,4,17,3,16,16,14,1,13,17,7,6,,
5,10,13,18,20,11,3,8,16,4,7,17,15,14,19,2,9,12,1,6,,
7,5,19,5,19,2,4,8,10,2,19,19,19,11,19,19,19,20,1,19,,
5,12,18,9,19,8,1,4,16,7,3,11,15,10,20,6,13,14,2,20,,
1,15,20,3,20,11,4,13,9,11,14,7,20,5,20,8,6,20,2,20,,
3,20,20,20,20,6,20,6,20,2,4,18,20,20,19,20,4,20,1,18,,
3,20,20,20,1,6,20,20,20,5,20,20,20,20,20,20,2,20,20,4,,
1,6,10,20,20,20,3,7,20,20,20,8,20,4,20,5,20,20,2,9,,
20,20,8,13,11,5,12,14,20,3,4,2,20,9,15,7,6,20,1,10,,
