rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,Num Cands,Num Seats
12,11,13,15,3,14,10,4,6,1,7,2,8,9,5,15.0,1.0
15,15,15,15,1,15,15,2,2,4,15,15,15,15,1,,
12,4,12,6,1,4,11,3,1,13,9,7,12,3,1,,
12,15,9,13,4,15,7,5,3,4,14,8,2,6,1,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,
15,15,15,15,1,15,15,15,2,15,15,15,15,15,1,,
15,15,15,15,1,15,15,1,1,15,15,15,15,15,1,,
15,15,15,15,1,15,15,15,15,4,15,5,15,2,3,,
15,1,15,2,15,15,15,15,15,15,3,15,15,4,15,,
15,15,15,15,15,3,5,15,15,2,15,4,15,15,1,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,,
4,4,4,5,2,1,15,1,1,3,4,6,15,3,2,,
15,1,15,15,15,15,1,15,15,15,1,2,15,1,15,,
15,15,15,15,1,15,15,1,2,2,15,15,15,1,3,,
2,4,15,3,15,15,15,15,15,15,1,15,15,5,15,,
15,2,5,1,15,4,15,15,15,15,3,15,15,15,15,,
2,7,15,6,15,15,15,15,5,4,3,1,15,15,15,,
2,3,4,5,14,13,10,12,7,6,1,9,11,8,15,,
7,4,2,5,15,3,15,15,15,15,6,15,1,15,15,,
1,3,15,15,5,15,15,15,4,15,2,15,6,15,15,,
2,15,15,15,1,15,15,15,15,15,15,15,15,15,15,,
2,1,3,9,15,11,10,15,7,6,9,12,5,4,15,,
12,4,9,15,1,3,15,2,2,8,5,11,5,2,1,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,,
14,9,14,10,3,7,10,5,1,13,13,11,12,5,1,,
12,2,4,15,1,2,3,1,1,5,15,6,4,2,1,,
15,15,15,15,1,15,15,1,1,15,15,15,15,15,1,,
15,4,15,15,15,15,15,1,2,3,15,5,15,15,15,,
3,2,15,15,15,15,1,15,3,15,4,4,7,15,15,,
2,2,15,1,15,15,15,15,15,15,15,6,3,4,15,,
9,8,6,10,3,13,15,12,7,5,11,1,4,14,2,,
6,2,5,1,14,15,15,15,3,15,15,15,4,15,13,,
13,14,11,15,3,1,5,1,3,2,15,7,9,2,1,,
15,1,4,15,15,15,2,15,15,15,3,15,15,15,15,,
3,15,15,2,15,15,15,15,15,15,1,15,15,15,15,,
7,5,15,2,3,1,6,2,1,1,4,8,13,2,1,,
15,2,2,15,15,15,15,15,3,15,15,3,2,1,15,,
7,3,1,2,15,12,11,13,9,6,5,10,4,8,14,,
15,2,15,15,1,15,15,1,1,15,15,15,15,15,1,,
15,3,15,15,1,3,15,15,2,2,15,15,15,3,1,,
5,4,1,5,15,15,15,15,15,15,2,3,7,15,15,,
15,1,15,3,15,15,15,15,4,15,2,15,15,15,15,,
15,2,15,15,1,2,15,1,1,15,15,15,15,2,1,,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,,
4,1,3,15,11,8,6,9,10,12,5,7,13,2,14,,
2,15,15,15,15,15,15,15,15,15,15,15,1,15,2,,
15,15,15,15,2,4,15,1,1,2,15,15,15,3,3,,
1,15,15,5,15,15,15,15,15,15,4,3,2,15,15,,
15,4,15,15,3,4,15,3,2,15,15,15,15,3,3,,
9,6,13,4,1,12,13,4,2,3,9,11,7,5,1,,
15,15,1,15,15,15,15,15,15,15,15,15,15,15,2,,
1,3,15,15,15,15,4,15,15,15,15,15,15,2,15,,
15,3,4,5,15,15,15,15,1,14,15,2,15,6,13,,
7,9,10,15,3,1,13,12,8,6,14,11,4,5,2,,
15,15,15,15,2,15,15,1,2,15,15,15,15,15,1,,
15,5,4,5,15,15,15,15,15,15,15,14,2,15,15,,
2,15,15,2,15,15,15,2,15,2,1,15,15,15,15,,
1,2,15,15,15,15,4,15,15,15,3,15,15,15,15,,
15,5,15,15,1,4,15,3,2,15,15,15,15,3,1,,
15,15,15,15,15,15,15,2,15,15,3,15,1,15,15,,
4,3,15,1,15,15,15,15,15,15,2,15,15,15,15,,
1,6,5,7,10,2,14,15,12,8,11,13,3,9,4,,
15,1,3,15,15,15,2,15,15,15,4,15,15,15,15,,
15,4,15,15,1,4,15,3,2,15,15,15,15,3,1,,
15,5,15,15,1,4,15,3,2,15,15,15,15,3,1,,
15,2,15,15,1,2,15,15,1,1,15,15,15,1,1,,
15,8,15,15,1,7,15,2,1,15,15,15,15,2,1,,
15,15,15,15,1,15,15,15,15,15,15,15,1,15,1,,
10,11,12,13,3,6,7,14,5,4,9,8,15,2,1,,
15,12,9,13,1,4,15,3,2,7,12,13,12,2,1,,
15,15,15,15,1,4,15,3,2,15,15,15,15,3,1,,
13,7,13,15,2,6,13,4,3,14,15,14,11,5,1,,
