rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,Num Cands,Num Seats
48,48,10,48,48,15,48,48,48,1,7,48,13,48,48,4,48,17,12,48,48,48,48,10,14,48,48,48,3,5,8,11,10,18,48,48,2,48,48,16,9,48,8,6,48,48,48,48,,
48,48,48,48,48,11,48,48,48,2,16,17,48,48,48,7,48,48,13,48,48,48,48,5,48,48,48,48,1,4,48,15,9,48,48,12,3,48,48,8,48,10,48,6,48,48,48,14,,
48,48,48,48,48,48,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
10,48,48,48,48,48,48,48,48,12,48,5,48,48,48,48,48,8,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,6,48,48,1,3,48,11,48,7,48,48,4,9,2,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
13,18,26,9,29,3,41,31,43,2,32,20,17,12,24,34,45,23,8,15,30,38,19,Skipped,36,14,27,40,10,Skipped,35,25,4,44,37,28,1,33,16,7,Skipped,5,22,21,42,39,11,6,,
48,48,48,48,48,6,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3,48,48,48,48,1,2,8,48,48,4,48,48,5,48,48,48,7,48,48,48,48,,
32,41,1,15,39,6,42,48,35,3,46,25,14,17,38,16,12,30,11,33,47,19,8,43,20,37,26,27,7,34,24,10,5,9,40,36,4,28,18,2,22,29,21,23,45,44,13,31,,
48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,3,3,1,1,48,48,48,1,48,2,3,48,48,48,2,3,3,48,48,48,2,48,48,2,48,48,1,48,48,3,1,3,3,48,1,48,48,1,48,48,48,48,48,48,3,2,,
45,36,20,14,46,12,47,17,30,5,43,25,38,14,33,17,18,16,20,36,47,31,38,43,44,17,40,29,13,31,22,25,20,35,44,46,1,45,48,8,41,17,26,30,43,23,23,45,,
Skipped,46,5,45,33,6,45,33,37,2,Skipped,15,19,3,17,20,38,13,16,Skipped,35,Skipped,12,Skipped,41,33,11,34,1,Skipped,21,39,7,48,44,14,8,40,33,4,33,10,39,18,36,Skipped,27,9,,
48,48,48,48,48,4,48,48,48,1,48,12,42,6,48,48,48,48,48,46,48,48,5,48,48,47,40,48,48,48,48,48,34,48,48,48,2,48,48,3,48,48,48,48,48,48,48,47,,
48,48,1,48,48,48,48,48,48,2,48,2,48,2,48,48,48,1,48,48,48,48,1,48,48,1,48,1,48,48,48,1,2,1,48,48,2,48,48,1,48,48,48,48,48,48,48,48,,
Skipped,Skipped,1,48,Skipped,13,48,Skipped,48,9,48,48,48,Skipped,Skipped,19,48,48,48,Skipped,Skipped,48,48,Skipped,48,48,2,48,10,48,12,4,48,3,Skipped,48,48,48,Skipped,48,48,48,48,48,48,13,48,Skipped,,
30,25,13,8,48,15,Skipped,Skipped,Skipped,6,Skipped,23,16,5,26,29,Skipped,2,3,Skipped,19,12,18,Skipped,27,33,24,35,4,Skipped,28,9,22,20,Skipped,Skipped,1,14,Skipped,7,32,10,Skipped,17,11,31,34,21,,
48,48,5,48,48,48,48,48,48,48,48,48,4,48,48,48,48,3,2,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,,
42,6,36,4,14,8,11,44,25,1,40,18,16,21,22,41,34,48,15,43,23,20,12,39,17,37,19,29,13,27,46,38,2,32,30,47,3,26,45,10,28,5,35,24,31,33,9,7,,
16,27,11,22,30,7,26,48,37,1,32,14,19,34,33,28,25,13,17,15,26,48,8,48,36,9,21,18,2,48,29,10,6,12,20,24,4,48,48,3,48,5,48,35,48,48,31,23,,
48,48,48,48,48,48,48,48,48,48,48,47,48,46,48,48,48,48,48,48,48,48,48,48,48,48,40,48,48,48,48,48,23,48,48,48,30,48,48,48,48,48,48,48,48,48,48,47,,
48,26,27,33,20,13,48,48,15,4,24,6,9,12,14,Skipped,48,Skipped,7,22,17,48,35,25,48,16,48,Skipped,1,18,48,21,5,Skipped,37,23,2,48,48,3,48,8,48,11,48,48,19,10,,
48,3,1,48,48,7,48,48,48,2,48,48,48,48,48,48,48,4,48,48,48,48,3,48,48,5,48,48,2,48,48,4,2,4,4,48,2,48,48,1,48,6,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
Skipped,Skipped,6,10,Skipped,9,16,Skipped,Skipped,2,21,12,20,6,Skipped,Skipped,20,1,5,6,10,Skipped,12,21,Skipped,5,20,21,5,Skipped,Skipped,8,4,20,9,18,2,9,Skipped,3,Skipped,13,Skipped,12,Skipped,21,12,18,,
Skipped,16,20,15,18,4,19,25,23,1,Skipped,11,20,14,29,30,40,13,7,22,24,Skipped,20,27,22,31,23,12,8,35,Skipped,22,5,28,39,25,2,16,Skipped,3,Skipped,10,Skipped,Skipped,33,Skipped,13,10,,
Skipped,46,5,45,33,6,45,33,37,2,Skipped,15,19,3,17,20,38,13,16,Skipped,35,Skipped,12,Skipped,41,33,11,34,1,Skipped,21,39,7,48,44,14,8,40,33,4,33,10,39,18,36,Skipped,27,9,,
48,38,35,41,35,35,35,Skipped,43,6,48,33,21,35,48,48,47,35,45,30,Skipped,35,5,40,44,36,4,35,3,48,48,39,1,48,37,48,35,35,Skipped,2,42,34,46,32,48,48,35,35,,
30,14,6,8,25,4,19,36,48,3,48,13,35,18,22,29,48,23,20,21,24,48,10,48,34,11,33,48,17,48,26,23,5,32,16,28,2,15,48,1,48,9,27,31,48,48,12,7,,
48,25,13,19,15,31,34,47,45,1,28,22,35,11,26,41,32,16,29,14,20,40,44,21,37,9,18,23,3,38,43,8,4,17,27,7,2,24,42,5,39,6,33,12,36,46,30,10,,
35,21,7,9,35,3,40,15,15,4,48,17,10,9,15,14,Skipped,10,6,30,18,25,16,20,30,13,20,12,8,25,15,5,6,7,40,19,2,30,15,1,25,11,14,25,20,30,20,27,,
48,28,9,20,9,6,47,35,48,1,24,17,43,10,48,48,1,10,36,9,18,48,31,42,46,13,43,45,7,48,48,13,3,23,28,42,2,48,48,3,28,19,48,22,43,48,48,14,,
29,21,15,12,48,5,42,11,24,1,19,25,9,17,36,48,10,13,3,48,48,20,22,48,8,33,7,41,4,48,39,24,18,26,29,45,2,40,48,6,46,24,47,45,46,48,33,29,,
43,5,1,36,6,23,43,43,45,38,43,35,39,29,43,43,43,30,25,43,43,43,28,43,37,2,40,41,43,48,42,43,34,31,4,43,24,26,43,3,46,33,47,44,43,43,27,32,,
48,48,48,48,48,6,48,48,48,4,48,48,48,48,48,48,48,12,48,3,48,48,48,48,48,48,11,48,1,48,48,2,10,48,48,48,5,48,48,7,48,8,48,48,48,48,9,48,,
48,48,48,5,48,48,4,48,48,48,48,48,3,48,48,48,48,48,48,48,48,48,48,48,2,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,,
