rank1,rank2,rank3,rank4,rank5,rank6,rank7,Num Cands,Num Seats
7,1,3,1,3,2,4,7.0,Unknown
7,1,6,3,2,4,5,,Unknown
7,4,2,1,3,5,6,,Unknown
5,1,2,5,4,5,3,,Unknown
5,1,2,4,3,6,7,,Unknown
1,3,2,1,3,2,3,,Unknown
7,1,2,4,3,7,7,,Unknown
7,1,6,2,4,3,5,,Unknown
6,1,2,7,3,6,5,,Unknown
7,1,2,7,4,3,6,,Unknown
7,2,3,1,4,5,6,,Unknown
7,3,5,2,1,5,5,,Unknown
3,1,2,4,7,7,5,,Unknown
7,3,1,2,3,7,7,,Unknown
7,6,2,1,3,5,4,,Unknown
7,5,1,4,2,7,3,,Unknown
3,1,4,2,5,1,3,,Unknown
7,1,3,4,2,7,7,,Unknown
7,5,6,1,4,3,2,,Unknown
6,2,1,7,3,4,5,,Unknown
2,1,3,5,6,4,7,,Unknown
3,4,1,7,6,5,2,,Unknown
7,5,3,1,4,6,2,,Unknown
7,2,1,3,4,6,4,,Unknown
7,1,1,3,6,5,5,,Unknown
7,1,5,2,4,3,6,,Unknown
4,3,7,1,2,7,7,,Unknown
7,4,1,3,2,6,5,,Unknown
7,3,7,1,4,5,2,,Unknown
7,6,2,4,3,1,5,,Unknown
3,4,2,6,1,5,7,,Unknown
1,7,7,7,6,3,2,,Unknown
7,4,1,7,5,2,3,,Unknown
5,1,2,4,3,4,6,,Unknown
7,3,6,1,5,2,4,,Unknown
7,3,5,6,2,4,1,,Unknown
1,3,5,2,4,6,7,,Unknown
7,3,2,1,5,6,4,,Unknown
7,1,2,4,5,3,6,,Unknown
7,5,3,6,4,1,2,,Unknown
4,1,2,6,5,3,7,,Unknown
7,4,2,1,3,7,6,,Unknown
7,4,1,2,5,3,6,,Unknown
7,1,2,4,3,5,2,,Unknown
3,5,2,7,4,1,6,,Unknown
6,3,2,4,5,1,7,,Unknown
1,1,2,3,3,4,4,,Unknown
7,5,3,1,4,2,6,,Unknown
7,1,3,5,4,5,1,,Unknown
4,2,1,7,3,5,6,,Unknown
