rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,Num Cands,Num Seats
11,5,22,15,17,14,25,10,16,1,29,9,3,6,24,7,26,19,13,2,21,4,20,12,8,28,30,23,27,18,30.0,1.0
30,30,30,30,1,30,30,30,30,28,30,30,3,4,30,30,30,30,30,30,30,2,30,30,30,30,30,30,30,29,,
29,27,30,10,1,26,21,7,18,2,13,16,3,12,17,19,6,11,22,9,23,5,24,15,14,8,4,25,20,28,,
27,30,19,30,1,16,28,30,30,26,2,18,14,10,30,30,30,3,22,30,20,25,15,21,30,30,30,23,24,30,,
11,19,14,27,3,26,29,30,17,16,13,2,10,22,28,25,4,15,21,8,7,20,23,9,18,6,1,24,5,12,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1,30,30,30,30,30,30,30,30,30,30,,
3,30,30,30,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,5,30,30,30,4,30,3,2,30,6,30,,
30,30,30,30,1,30,30,30,8,30,30,30,5,8,30,30,10,30,30,11,30,3,30,4,7,6,9,30,2,30,,
30,30,30,30,30,30,30,30,30,30,30,30,30,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
2,30,30,30,3,1,30,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
30,30,30,30,2,30,30,30,30,29,25,30,3,30,30,30,7,30,30,25,30,8,30,4,5,1,6,30,29,30,,
29,29,23,7,1,20,29,29,4,19,10,11,14,20,29,29,9,21,28,4,20,5,28,12,20,6,8,29,2,30,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
30,1,30,30,30,30,30,30,30,30,30,30,30,3,30,30,30,30,30,2,30,30,30,30,30,30,30,30,30,30,,
30,30,26,29,19,4,30,30,30,28,15,29,24,11,30,19,30,25,30,2,30,3,23,18,23,24,8,30,1,30,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
30,30,30,30,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
26,27,27,21,1,18,30,10,14,11,15,2,7,20,23,14,25,19,29,4,6,3,22,5,20,15,15,21,23,30,,
30,26,1,9,4,20,28,18,14,15,10,17,8,24,25,27,3,12,21,6,19,7,23,13,2,5,11,22,16,29,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
25,6,30,28,1,5,26,17,27,13,3,9,2,8,18,24,15,29,21,14,20,12,10,4,7,22,16,19,11,23,,
