rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,rank111,rank112,rank113,Num Cands,Num Seats
113,113,113,113,7,6,5,4,6,113,5,6,113,113,113,113,6,3,113,113,113,113,113,113,113,113,113,2,3,113,113,113,113,113,113,5,113,113,113,113,113,113,113,113,113,1,3,3,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,3,5,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113.0,1.0
55,113,113,113,113,113,113,113,113,113,113,113,113,113,60,113,113,7,113,113,113,113,7,7,7,113,113,113,113,113,113,50,113,113,113,113,113,113,113,50,113,113,113,113,113,113,113,113,113,113,11,113,113,113,113,113,113,113,113,113,113,113,113,1,113,57,25,113,23,113,113,7,17,113,60,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,17,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,10,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,25,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,10,1,113,113,113,113,113,3,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,6,113,113,113,113,113,1,113,113,3,113,113,113,113,113,113,113,113,113,8,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,7,113,113,113,113,2,113,113,113,9,113,113,113,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,10,113,113,113,113,113,,
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,2,111,111,111,111,111,111,111,111,112,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,1,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,4,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,6,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,113,113,113,113,113,7,113,113,113,113,113,113,113,113,113,1,113,8,113,113,113,113,113,2,113,113,113,113,,
22,7,113,113,113,10,113,113,113,113,113,113,113,113,25,113,113,6,113,113,34,113,113,113,113,113,113,1,113,113,113,113,4,113,9,113,113,113,113,113,113,113,113,12,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,80,113,113,50,11,113,113,113,20,113,113,113,21,113,113,113,113,113,113,113,113,113,113,37,113,113,113,113,8,113,113,2,113,5,113,50,113,113,13,113,113,113,113,113,113,113,113,,
