rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,Num Cands,Num Seats
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51.0,1.0
51,51,51,51,51,51,51,51,51,8,51,51,51,6,51,51,2,51,51,51,51,51,51,4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,1,51,51,51,51,51,51,51,5,51,,
36,37,35,26,6,30,23,44,2,14,48,17,38,4,28,39,32,12,49,15,20,41,22,8,25,11,43,19,45,18,9,5,21,42,47,50,10,29,24,27,33,3,34,13,40,46,1,31,7,16,51,,
51,51,51,51,4,51,51,51,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,,
40,51,Skipped,48,5,47,51,51,6,51,51,51,Skipped,3,44,51,14,51,51,51,51,51,51,30,30,37,51,8,Skipped,50,2,Skipped,38,51,Skipped,51,51,49,Skipped,Skipped,51,1,7,12,Skipped,Skipped,51,51,10,4,40,,
51,51,2,51,1,7,8,51,51,51,51,51,51,10,51,51,4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,9,51,51,6,51,51,51,51,51,5,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
37,39,43,5,12,48,19,32,7,24,3,31,34,10,25,42,49,23,29,17,33,50,30,14,18,20,9,13,40,27,2,41,16,4,36,38,15,44,28,46,8,11,26,45,22,51,1,21,6,35,47,,
51,51,51,51,4,51,51,51,5,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,51,51,51,1,51,51,51,51,51,51,51,51,51,,
28,48,48,49,6,9,28,28,2,48,28,48,28,50,48,48,4,28,28,30,13,28,10,28,28,12,1,48,48,51,28,48,5,48,28,28,7,11,48,48,28,3,48,28,48,29,48,8,48,28,31,,
4,51,51,51,3,51,51,51,51,51,5,51,51,51,51,51,51,51,8,10,51,51,51,51,51,51,51,51,51,1,3,11,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,,
