rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num Cands,Num Seats
2,11,11,11,1,11,11,11,3,3,11,11.0,1.0
6,5,3,11,2,7,10,9,8,1,4,,
7,10,7,9,1,3,5,11,5,3,1,,
3,1,8,2,5,7,4,11,10,6,9,,
11,11,6,11,2,9,1,10,5,7,11,,
10,11,5,10,1,10,3,10,2,4,10,,
8,3,7,6,1,11,5,10,2,4,9,,
11,11,8,11,1,2,4,6,5,3,7,,
1,10,8,11,3,2,4,9,6,5,7,,
2,7,10,8,3,4,11,9,5,1,6,,
11,4,7,9,2,8,6,5,10,1,3,,
6,11,11,11,1,4,5,3,11,2,7,,
6,11,7,10,1,4,9,8,2,3,5,,
6,10,4,11,9,7,8,5,1,3,2,,
2,11,9,8,1,4,10,7,3,6,5,,
2,3,11,11,1,11,11,11,5,11,4,,
11,4,5,4,1,11,11,11,3,2,11,,
2,6,8,11,3,4,7,1,9,5,10,,
10,4,6,5,8,11,7,9,1,3,2,,
11,8,4,5,1,10,2,9,6,2,3,,
6,1,8,4,5,9,7,11,2,3,10,,
2,3,9,11,1,7,6,10,4,5,8,,
11,1,11,5,3,11,11,4,11,2,6,,
4,11,10,9,1,2,5,6,8,3,7,,
2,11,3,4,7,6,10,9,8,1,5,,
1,11,11,11,1,1,11,11,1,11,1,,
10,8,6,7,2,3,9,11,1,5,4,,
1,11,6,10,2,9,7,5,4,3,8,,
4,11,6,10,1,2,3,8,10,5,7,,
2,11,5,11,1,3,3,5,3,3,2,,
5,11,8,10,1,5,3,9,2,3,5,,
11,11,11,11,2,3,11,11,11,1,4,,
11,7,4,11,1,6,5,7,6,3,2,,
6,8,4,8,1,2,5,7,4,4,3,,
7,9,3,10,1,6,5,11,4,2,8,,
