rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,Num Cands,Num Seats
19,5,14,15,4,6,1,2,8,13,10,17,16,11,12,9,3,20,7,18,20.0,1.0
20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,,
20,20,5,20,20,6,1,20,20,20,20,20,2,20,20,20,20,3,4,20,,
20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
4,16,6,5,18,9,14,1,12,15,3,17,20,19,7,13,2,10,11,8,,
20,20,20,20,20,20,2,20,20,20,20,20,20,20,1,20,20,20,20,20,,
1,8,5,5,11,2,6,9,10,7,6,13,19,20,7,1,3,9,18,12,,
2,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,4,5,3,,
19,4,6,5,17,1,5,2,8,14,11,16,18,20,10,9,3,15,13,12,,
20,4,1,10,6,20,20,20,9,2,20,5,3,7,12,20,8,20,11,20,,
20,4,1,20,6,20,20,5,20,20,20,20,3,20,20,20,2,20,20,20,,
20,20,3,20,20,20,4,20,20,20,20,20,1,20,2,20,20,20,20,20,,
20,1,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20,20,20,20,,
20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,,
10,20,19,9,15,13,2,7,11,18,12,8,1,16,17,14,3,5,6,4,,
16,19,1,15,13,20,11,18,10,2,8,14,17,6,3,12,4,5,9,7,,
20,20,20,1,20,20,20,2,20,20,20,20,20,20,20,20,3,20,20,20,,
3,14,15,11,10,8,7,16,18,6,19,12,13,2,20,1,5,17,4,9,,
16,19,6,20,12,8,10,2,11,18,4,3,14,7,5,13,1,9,15,17,,
14,6,13,17,9,2,8,4,15,12,16,19,3,7,11,20,5,1,10,18,,
8,16,18,1,6,7,13,10,2,19,9,11,15,17,20,5,3,14,12,4,,
20,20,8,5,20,20,6,18,20,1,20,11,20,2,20,20,3,7,20,20,,
10,13,20,18,8,7,16,12,2,4,14,1,19,6,5,11,17,9,15,3,,
1,20,7,11,20,20,20,20,2,9,20,6,10,20,8,5,20,12,3,4,,
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,,
18,6,4,13,7,14,20,8,10,3,12,5,1,16,11,19,9,15,2,17,,
20,20,20,20,20,20,3,20,4,20,20,1,20,20,20,20,6,2,5,20,,
9,16,7,8,13,4,17,10,2,18,6,11,19,20,15,3,5,12,14,1,,
18,18,18,1,18,4,18,6,6,18,10,18,18,20,18,2,3,18,18,18,,
8,20,19,13,5,6,2,16,4,17,9,7,12,15,18,11,14,1,10,3,,
20,20,20,9,20,8,2,11,10,4,1,20,5,20,3,6,7,20,20,20,,
8,14,17,7,3,15,12,5,13,19,16,6,4,11,20,18,9,2,1,10,,
20,20,20,20,3,20,5,4,20,20,20,20,1,20,20,20,20,2,20,20,,
14,17,20,1,8,10,4,2,12,16,11,9,6,7,18,13,19,3,5,15,,
17,20,13,9,8,7,10,6,12,14,16,18,2,3,15,5,11,4,1,19,,
1,1,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
6,3,5,6,3,2,4,1,4,7,5,2,3,2,8,7,3,1,6,5,,
19,17,12,13,9,14,20,15,6,10,1,18,5,3,11,7,2,8,4,16,,
20,4,20,20,20,20,20,20,20,3,20,20,20,2,20,1,20,20,20,20,,
10,9,2,4,19,11,8,1,16,12,5,6,20,15,3,14,7,17,18,13,,
20,20,1,20,20,6,20,20,2,4,20,20,20,20,20,20,10,7,9,20,,
20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,,
20,20,20,20,20,20,20,20,20,20,3,20,1,20,20,20,2,20,20,20,,
19,8,4,15,7,3,13,5,16,10,6,18,11,12,9,20,2,1,14,17,,
3,19,15,17,4,9,7,12,16,8,18,6,14,11,13,2,1,20,5,10,,
7,16,14,3,13,10,6,18,2,17,8,9,19,11,15,1,12,5,20,4,,
13,17,20,10,3,4,8,15,9,18,7,14,2,5,19,6,11,12,1,16,,
20,20,20,4,20,20,20,3,20,20,20,20,1,20,20,5,2,20,20,20,,
17,2,3,8,12,5,16,14,19,10,7,13,15,16,6,20,1,11,9,4,,
20,20,1,20,20,20,20,20,20,20,20,20,5,4,20,2,20,20,3,20,,
