rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
9,1,5,4,9,9,3,9,2,9.0,1.0
4,9,3,6,7,2,8,1,5,,
4,2,9,9,9,9,3,9,1,,
4,2,7,6,9,8,5,3,1,,
9,9,9,9,9,1,9,9,9,,
4,1,6,7,3,5,2,9,8,,
4,9,1,6,2,8,3,5,7,,
9,1,9,9,9,9,2,3,9,,
9,9,9,9,9,1,9,9,9,,
9,2,4,6,8,5,1,3,7,,
9,9,9,9,9,9,2,1,9,,
9,1,9,9,9,9,2,3,4,,
1,8,9,5,3,6,7,4,2,,
9,1,9,9,9,1,9,9,9,,
7,3,1,8,6,5,2,9,4,,
3,5,2,8,6,7,1,4,9,,
3,1,6,5,2,8,9,4,7,,
8,9,1,5,7,4,6,2,3,,
5,4,6,8,9,1,3,2,7,,
3,9,1,2,4,7,8,6,5,,
9,9,9,9,9,9,9,1,9,,
4,2,6,8,5,1,9,7,3,,
5,4,2,6,8,9,1,3,7,,
2,9,5,4,7,6,1,3,8,,
9,2,9,9,9,1,9,9,9,,
9,9,9,9,9,1,9,9,2,,
5,3,2,4,9,9,9,1,9,,
7,3,4,8,6,5,2,9,1,,
9,2,1,9,9,9,9,9,9,,
3,6,9,1,2,5,7,8,4,,
9,1,3,8,9,9,2,9,9,,
