rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
5,7,9,10,2,4,1,6,8,3,10.0,1.0
10,2,3,10,10,1,10,10,10,4,,
2,4,7,5,1,1,6,1,3,8,,
7,10,8,4,1,2,9,3,6,5,,
9,10,4,6,3,8,7,1,5,2,,
4,10,9,3,2,7,8,1,5,6,,
4,10,10,10,6,5,1,3,1,3,,
5,10,1,9,7,6,3,8,4,2,,
2,2,3,4,1,1,1,1,2,4,,
5,6,7,9,2,4,10,3,1,8,,
9,6,10,8,7,3,4,1,2,5,,
8,8,10,10,6,10,4,5,10,4,,
6,10,9,8,2,3,7,5,1,4,,
8,7,4,9,1,3,2,10,6,5,,
7,8,1,6,2,5,10,3,4,9,,
3,10,10,3,1,3,10,1,5,1,,
1,7,6,8,4,2,9,5,3,10,,
9,10,3,2,6,5,8,1,7,4,,
4,7,5,3,7,3,6,7,1,2,,
9,8,6,1,3,5,7,1,4,2,,
9,9,2,7,1,4,5,10,6,3,,
7,10,1,8,6,5,9,2,4,3,,
9,8,10,4,2,7,3,1,5,6,,
7,9,4,10,3,6,5,1,8,2,,
6,7,8,4,2,3,10,9,1,5,,
2,8,3,5,6,4,9,7,1,10,,
9,6,2,7,5,4,10,3,8,1,,
8,10,9,3,4,5,7,2,6,1,,
5,10,10,10,1,1,5,10,5,1,,
10,10,10,10,10,10,1,2,3,10,,
6,7,8,5,9,2,3,10,4,1,,
10,8,1,7,2,6,9,3,4,5,,
4,9,3,10,5,6,1,2,7,8,,
4,8,2,10,1,3,9,5,6,7,,
2,10,10,10,3,10,10,10,10,1,,
1,10,8,6,5,2,3,9,7,4,,
3,6,8,4,10,1,7,9,5,2,,
8,9,10,1,5,2,7,3,4,6,,
6,10,9,8,7,1,5,2,4,3,,
7,5,6,10,1,3,9,2,4,8,,
7,10,3,6,5,1,10,9,4,2,,
8,7,10,5,3,6,9,1,4,2,,
