rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
9,1,9,10,1,9,9,9,9,9,10.0,1.0
1,10,10,10,10,10,10,10,10,10,,
10,3,10,10,10,2,10,4,1,10,,
10,5,9,4,1,2,3,6,7,8,,
4,9,10,1,3,8,5,6,7,2,,
10,6,3,4,8,2,9,5,1,7,,
6,7,8,9,1,5,3,2,4,10,,
9,6,5,8,2,7,3,1,4,10,,
2,7,10,7,2,2,2,2,2,10,,
10,5,3,6,1,4,7,10,2,10,,
8,1,7,9,2,4,6,3,5,10,,
5,9,3,1,6,2,4,7,8,10,,
10,10,10,1,10,10,3,2,10,10,,
9,8,9,5,10,4,2,3,1,9,,
10,7,8,3,1,4,6,2,5,9,,
3,1,8,10,2,4,6,5,7,9,,
9,9,4,3,9,9,1,2,9,4,,
1,5,10,8,2,6,4,7,9,3,,
7,8,5,9,1,6,4,2,3,10,,
6,4,9,3,1,5,2,8,8,10,,
9,8,1,7,6,4,3,2,5,10,,
10,7,9,8,4,2,6,1,3,5,,
7,4,10,2,9,6,1,3,5,8,,
10,9,7,6,4,3,5,1,2,8,,
6,7,9,10,2,4,5,1,3,8,,
8,6,4,1,7,9,5,2,3,10,,
8,10,9,3,6,7,5,1,4,2,,
10,7,4,5,8,3,6,9,1,2,,
10,10,10,10,10,3,3,1,2,10,,
5,10,8,2,3,7,1,4,6,10,,
4,9,8,10,1,2,6,5,3,7,,
1,9,8,4,2,5,3,6,7,10,,
7,4,3,6,9,1,2,5,10,8,,
5,9,8,2,3,7,6,1,4,10,,
4,9,6,5,8,7,1,2,3,10,,
6,10,10,9,2,1,10,10,10,5,,
10,6,8,9,5,3,1,2,4,7,,
8,4,10,5,1,6,7,3,2,9,,
5,10,7,10,1,6,3,2,4,10,,
5,8,7,4,1,9,3,6,2,10,,
3,6,10,4,9,2,1,7,5,8,,
3,1,7,10,5,4,2,6,8,9,,
7,4,9,5,2,3,6,1,8,10,,
10,10,10,1,10,10,10,10,10,10,,
9,10,8,5,1,4,3,2,6,7,,
