rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,Num Cands,Num Seats
48,5,48,48,48,8,13,9,48,48,48,48,48,48,12,48,4,15,14,48,48,48,48,48,48,11,48,48,48,2,48,1,48,17,48,48,48,48,48,16,10,48,3,14,18,48,48,48,48.0,1.0
48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,9,48,48,48,48,48,48,48,48,48,48,48,48,2,48,18,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,,
35,1,35,35,48,35,35,35,48,48,35,35,35,35,48,48,48,4,35,35,48,35,35,35,35,36,2,48,35,35,35,35,35,3,35,35,48,35,35,35,48,48,5,48,35,35,35,35,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3,48,48,2,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
15,9,48,48,48,48,15,15,6,48,48,48,7,48,48,48,48,3,16,15,48,48,48,9,48,3,6,48,48,48,48,3,48,48,4,48,48,15,48,48,48,48,48,48,48,9,48,48,,
48,48,48,48,48,48,48,48,48,48,2,48,48,4,48,48,48,48,48,48,48,5,48,48,48,48,48,48,48,1,48,48,3,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
16,23,28,8,23,48,12,3,48,48,23,48,48,16,48,48,48,14,48,23,48,6,3,9,9,48,48,5,26,4,48,1,48,4,23,4,12,48,12,14,28,48,23,48,7,48,26,30,,
48,48,48,2,48,48,48,14,48,48,48,48,2,14,48,48,48,48,48,48,48,5,48,14,14,48,14,48,48,48,48,48,5,48,48,14,14,48,14,48,1,48,14,48,48,5,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2,48,48,48,1,48,48,48,48,48,48,48,48,48,3,48,48,48,48,48,48,48,48,,
48,9,48,48,48,48,48,2,48,48,48,48,48,48,48,48,48,48,7,48,48,9,8,9,9,6,48,48,48,4,48,48,48,5,9,9,48,48,48,9,48,3,48,48,1,48,48,48,,
48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2,48,48,48,48,48,48,48,,
38,1,32,38,21,32,21,21,48,32,21,32,6,32,21,6,2,21,21,21,32,21,38,32,21,38,21,21,32,7,32,41,32,33,32,48,6,21,48,38,39,48,6,21,48,48,48,40,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3,48,2,48,1,48,4,48,48,48,48,48,48,48,48,48,48,48,48,,
11,48,11,48,11,48,48,48,48,11,48,48,48,48,48,48,48,11,11,48,48,48,4,48,48,48,48,48,11,2,48,48,48,3,48,48,11,48,48,11,1,48,48,48,48,48,11,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,3,48,48,48,48,48,48,48,2,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,,
21,19,14,19,9,48,48,1,7,30,21,11,30,4,26,17,3,40,19,39,34,24,48,5,37,36,12,13,48,29,14,13,15,2,48,8,25,48,33,36,27,33,48,39,6,28,10,48,,
4,9,48,48,48,23,48,7,48,1,6,48,48,25,4,20,48,48,48,25,17,5,21,48,27,2,48,48,48,3,48,12,11,21,27,14,10,48,48,22,15,23,16,48,8,18,48,48,,
48,6,48,48,48,1,48,4,48,48,48,48,48,48,48,7,2,48,5,48,48,48,48,48,48,48,48,48,48,3,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
17,4,48,48,1,48,8,17,48,7,48,48,17,17,17,48,2,48,17,17,48,48,17,48,17,48,48,48,17,Skipped,48,48,17,6,48,5,48,48,48,48,3,48,48,48,48,48,17,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,4,48,48,48,48,48,1,48,48,48,48,48,48,2,48,48,48,48,48,48,48,48,48,48,3,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2,48,48,48,3,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
30,48,48,30,48,30,30,48,48,30,48,48,30,30,48,2,30,1,30,30,30,48,30,30,30,30,48,30,31,30,48,48,30,30,30,30,30,48,30,30,48,48,48,48,30,30,30,30,,
5,48,48,48,48,48,4,48,48,48,5,48,8,48,48,48,48,48,48,48,48,48,48,48,8,3,48,48,8,48,48,48,48,2,48,4,48,48,48,48,1,48,48,48,48,48,8,48,,
48,48,48,48,6,48,4,48,48,3,48,48,48,48,48,2,1,48,10,48,48,48,48,48,48,48,48,48,48,5,48,48,48,48,48,48,48,48,9,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3,48,2,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,33,33,33,33,33,33,33,48,33,33,33,33,48,33,48,33,48,48,33,33,48,3,48,33,33,33,48,33,1,33,2,48,33,33,48,33,48,33,33,48,33,33,33,33,48,48,33,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,,
20,13,24,48,26,30,14,48,48,19,48,40,48,21,28,18,1,13,40,28,25,40,2,26,16,18,40,48,21,40,48,40,18,15,9,4,7,9,40,41,6,40,40,13,3,40,7,5,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
