rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
1,5,4,7,8,2,3,9,6,9.0,1.0
3,4,6,5,8,9,2,1,7,,
8,4,2,5,1,6,7,3,9,,
9,3,9,9,9,1,4,9,2,,
8,5,3,1,2,4,9,6,7,,
9,9,3,9,9,1,2,9,4,,
3,6,8,4,2,1,9,7,5,,
9,8,6,4,1,2,5,7,3,,
9,9,9,9,1,9,9,9,9,,
7,6,3,4,5,1,2,9,8,,
9,9,9,9,9,9,1,9,9,,
4,4,2,3,2,1,3,9,3,,
7,9,8,4,5,1,2,6,3,,
8,7,2,6,1,4,3,5,9,,
9,6,7,2,5,1,4,8,3,,
6,8,4,1,7,5,2,9,3,,
9,1,5,7,6,2,8,3,4,,
9,3,4,9,9,2,1,9,9,,
9,4,5,3,8,2,7,6,1,,
8,1,3,4,7,2,5,9,6,,
9,2,4,3,8,8,6,5,1,,
2,8,9,3,5,1,7,6,4,,
6,5,7,4,3,2,1,9,8,,
7,8,4,9,6,3,2,5,1,,
8,8,8,2,8,1,3,8,8,,
9,7,2,8,5,1,4,3,6,,
8,3,2,4,1,7,9,5,6,,
9,9,9,9,9,1,9,9,9,,
4,9,6,7,3,2,1,8,5,,
4,8,6,9,5,3,2,7,1,,
9,9,9,2,9,3,4,1,9,,
