rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,rank111,rank112,rank113,rank114,rank115,rank116,rank117,rank118,rank119,rank120,rank121,rank122,rank123,rank124,rank125,rank126,rank127,rank128,rank129,rank130,rank131,rank132,rank133,rank134,rank135,rank136,rank137,rank138,rank139,rank140,rank141,rank142,rank143,rank144,rank145,rank146,rank147,rank148,rank149,rank150,rank151,rank152,rank153,rank154,rank155,rank156,rank157,rank158,rank159,rank160,rank161,rank162,rank163,rank164,rank165,rank166,rank167,rank168,rank169,rank170,rank171,rank172,rank173,rank174,rank175,rank176,Num Cands,Num Seats
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,4,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,6,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,2,176,176,8,176,176,176,176,176,176,176,176,176,176,176,5,176,3,176,176,176,176,176,176,176,176,1,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,7,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,9,176,176,176,176.0,Unknown
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,2,176,176,176,176,176,176,176,176,176,176,176,176,8,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1,176,176,176,176,176,9,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,4,176,176,176,176,176,10,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,5,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,6,176,176,176,176,176,176,176,3,,Unknown
28,140,140,28,140,172,140,174,140,140,28,140,140,172,43,140,43,28,51,140,140,140,14,140,172,1,140,140,140,140,140,2,172,172,172,43,173,5,172,43,140,51,29,140,11,140,140,140,43,172,140,140,172,140,140,140,140,172,140,140,172,29,172,45,172,140,140,140,28,140,140,10,140,140,9,172,172,172,140,28,6,140,140,140,140,140,43,43,172,140,140,172,140,5,140,172,46,140,172,45,140,172,43,172,140,140,28,176,8,140,43,140,44,140,3,140,51,52,172,172,172,140,140,51,140,140,140,28,28,172,140,140,140,140,140,140,11,28,28,140,28,140,140,43,140,140,140,140,140,28,43,172,28,172,13,140,140,140,172,28,140,140,140,51,140,140,175,41,140,140,140,7,172,140,172,28,,Unknown
176,176,176,176,176,176,176,176,176,176,176,176,176,176,7,176,176,9,176,176,176,176,4,176,176,1,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,2,176,176,176,10,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,5,176,176,176,176,176,11,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,3,176,6,176,176,176,176,176,8,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,,Unknown
176,176,13,176,176,176,176,176,176,176,176,176,176,176,2,13,176,176,176,176,176,176,176,176,176,7,176,176,176,176,176,176,176,176,176,13,176,176,176,176,176,9,176,176,176,176,176,176,11,176,176,176,176,176,176,176,176,176,176,176,8,176,176,14,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,10,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,6,176,13,176,176,176,176,176,176,176,176,176,12,176,176,3,176,176,176,176,176,176,176,176,176,176,176,1,176,176,5,176,176,176,176,176,176,4,176,176,176,176,176,176,176,176,176,176,176,176,176,,Unknown
176,176,8,176,176,2,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1,176,176,176,176,176,4,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,10,5,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,9,176,176,176,176,176,176,176,7,176,176,176,176,176,176,176,3,176,176,176,176,176,176,6,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,,Unknown
176,176,176,176,176,176,176,176,176,176,176,176,176,176,1,176,176,176,176,8,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,2,176,176,176,176,176,176,176,3,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,10,176,176,7,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,6,176,176,176,176,176,176,176,176,176,176,4,176,176,176,176,176,176,176,176,176,176,176,9,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,5,,Unknown
175,175,2,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,7,175,175,175,2,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,2,175,175,175,175,175,175,175,175,175,4,175,175,175,175,175,175,175,175,7,1,175,175,175,175,175,175,175,175,175,175,175,175,175,175,3,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,11,175,175,176,175,5,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,4,175,175,175,175,175,175,175,175,175,,Unknown
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,3,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,2,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,,Unknown
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,3,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,2,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,1,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,,Unknown
