rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
4,7,1,6,6,3,2,10,5,9,10.0,Unknown
1,6,2,10,8,3,4,9,7,5,,Unknown
2,10,5,10,1,10,4,10,10,3,,Unknown
4,10,7,1,3,2,8,9,5,6,,Unknown
2,6,6,10,8,6,1,9,7,3,,Unknown
5,3,5,1,2,5,3,4,4,4,,Unknown
2,5,3,4,10,1,6,10,10,10,,Unknown
1,10,10,1,1,1,10,10,1,10,,Unknown
10,6,10,10,1,5,4,3,2,9,,Unknown
1,1,2,2,1,1,1,2,2,1,,Unknown
1,10,1,10,10,1,10,10,2,1,,Unknown
3,10,6,9,4,8,2,5,7,1,,Unknown
4,9,9,10,9,3,2,9,1,5,,Unknown
10,3,10,2,3,4,1,8,3,10,,Unknown
4,1,9,6,3,10,2,8,7,4,,Unknown
1,9,2,10,5,3,7,8,6,4,,Unknown
3,10,5,2,4,6,10,10,10,1,,Unknown
1,10,1,10,10,1,9,10,2,9,,Unknown
6,3,10,1,5,8,2,9,7,4,,Unknown
3,2,5,10,9,7,1,4,8,6,,Unknown
10,2,2,2,2,10,2,2,2,1,,Unknown
4,10,2,3,5,1,7,6,8,10,,Unknown
4,7,5,2,3,6,1,9,8,10,,Unknown
10,10,10,10,3,4,1,3,3,2,,Unknown
2,9,3,1,7,5,8,10,6,4,,Unknown
2,4,6,10,8,5,3,7,9,1,,Unknown
4,2,3,9,6,7,1,5,10,8,,Unknown
1,9,3,5,4,7,2,8,10,6,,Unknown
1,10,10,10,10,10,3,10,4,2,,Unknown
9,9,10,9,3,5,2,1,9,5,,Unknown
9,4,7,10,3,9,1,5,6,2,,Unknown
1,10,1,6,7,1,9,8,5,4,,Unknown
6,3,10,7,2,9,4,5,8,1,,Unknown
3,2,4,10,6,5,1,8,7,9,,Unknown
4,3,5,10,10,10,2,10,1,10,,Unknown
3,10,2,4,10,1,10,4,3,4,,Unknown
1,10,4,10,3,2,10,10,10,10,,Unknown
1,8,10,2,6,7,3,9,5,4,,Unknown
5,10,4,10,10,10,3,1,10,2,,Unknown
