rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,Num Cands,Num Seats
6,20,10,20,20,1,8,11,20,20,3,9,2,20,5,20,20,7,20,3,20.0,1.0
7,13,9,13,12,17,13,18,2,19,6,16,1,11,5,19,2,9,4,8,,
20,15,14,13,19,2,1,4,12,6,17,5,8,10,18,7,3,11,16,9,,
12,Skipped,1,Skipped,3,Skipped,10,9,4,11,6,8,13,Skipped,7,2,Skipped,5,Skipped,Skipped,,
19,20,20,2,20,6,10,20,4,20,9,5,10,20,20,2,10,12,10,1,,
20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,,
4,19,13,16,9,6,5,10,7,20,2,14,3,18,1,15,12,17,11,8,,
1,3,16,11,20,10,2,15,7,20,17,20,18,3,4,20,11,12,14,5,,
14,8,10,4,20,20,2,11,6,20,13,7,5,1,20,9,3,12,5,20,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,,
9,5,20,20,20,13,2,1,6,20,20,20,20,20,20,20,4,3,7,20,,
20,4,20,20,20,20,3,20,20,20,20,20,20,20,20,20,20,2,20,1,,
2,3,20,2,20,20,20,20,20,20,1,5,20,20,1,20,20,20,20,20,,
20,20,20,20,20,20,20,1,20,20,20,20,2,20,20,20,3,20,20,4,,
3,13,2,4,18,15,14,20,5,9,17,16,7,6,12,11,8,1,10,19,,
16,5,11,9,20,3,14,12,1,17,10,15,7,13,2,8,18,6,4,19,,
19,18,13,2,20,11,4,9,17,16,10,12,6,1,3,15,8,14,5,7,,
19,18,1,3,Skipped,17,8,11,6,10,14,16,9,15,5,2,12,7,13,4,,
15,10,14,6,11,9,19,3,8,20,12,13,7,4,18,17,16,2,5,1,,
12,5,11,15,19,4,8,16,2,17,9,3,1,6,7,20,10,13,18,14,,
7,16,9,12,13,17,15,18,2,20,6,14,1,11,4,19,3,10,5,8,,
20,20,20,20,20,20,20,20,20,20,20,20,2,20,20,20,20,3,20,1,,
6,7,3,5,8,5,4,5,7,5,1,2,6,2,4,3,8,4,7,6,,
20,20,4,20,20,20,14,1,20,10,5,3,10,10,4,5,20,10,20,3,,
17,19,8,11,12,7,14,5,2,13,10,6,1,9,15,18,4,16,3,20,,
14,11,3,19,20,18,9,4,7,17,2,16,10,12,1,5,15,8,13,6,,
6,14,10,11,17,16,12,8,1,4,20,4,18,9,13,3,19,1,15,1,,
20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,,
17,6,10,19,14,6,5,3,1,15,11,4,7,2,13,16,8,9,18,20,,
1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
12,17,4,20,8,3,10,11,13,19,1,6,14,5,2,7,16,15,18,9,,
13,8,19,5,16,6,1,3,2,20,2,7,4,1,19,20,8,5,7,12,,
8,20,8,18,14,5,6,4,7,6,15,1,15,20,5,1,1,5,18,10,,
6,10,2,1,18,4,17,19,12,17,17,3,7,17,11,20,5,8,9,17,,
9,5,20,4,20,20,20,1,3,10,20,6,2,7,20,1,3,20,20,8,,
4,20,3,20,20,20,20,20,20,20,20,20,2,20,5,20,20,1,20,6,,
9,7,10,3,5,8,11,14,2,16,13,15,17,6,4,19,12,20,1,18,,
10,9,14,20,12,18,19,1,6,4,5,13,3,2,17,7,16,15,8,11,,
