rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,Num Cands,Num Seats
42,42,42,42,1,42,42,4,42,42,42,42,42,14,2,42,9,7,42,6,42,12,10,11,42,13,42,42,5,3,8,42,42,42,42,42,42,42,42,42,15,42,42.0,1.0
42,42,21,13,24,26,42,23,42,4,22,14,42,6,20,42,11,42,17,9,42,25,12,16,8,2,7,5,15,19,Skipped,Skipped,27,42,3,42,42,1,42,42,18,10,,
42,42,42,42,42,42,5,42,2,1,42,42,42,42,3,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,4,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2,42,42,42,42,42,42,42,42,42,1,42,,
42,42,42,2,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,3,42,42,42,42,42,42,42,42,42,42,42,4,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
24,20,36,42,28,34,5,32,19,21,11,38,27,37,25,23,3,36,30,9,29,33,13,12,22,16,35,31,18,2,4,14,17,15,8,6,26,10,39,7,1,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
10,42,42,8,42,42,42,42,42,42,1,42,42,6,42,42,2,42,42,3,42,42,42,7,42,42,5,42,9,42,42,42,42,42,4,42,42,42,42,42,42,42,,
6,42,42,5,2,42,42,5,42,42,42,8,9,2,42,42,8,20,42,42,4,8,42,42,42,10,42,42,42,42,16,42,42,42,1,42,42,40,3,42,42,42,,
10,42,42,30,42,42,42,42,42,8,42,9,42,42,42,22,42,42,10,42,42,42,42,1,2,21,8,42,2,42,42,6,1,2,42,42,42,42,42,42,42,32,,
36,33,8,38,37,30,23,41,32,21,28,15,27,3,26,17,6,14,18,5,39,9,31,10,40,13,16,34,7,24,19,29,20,22,12,2,1,35,11,25,42,4,,
42,42,42,6,1,42,42,42,42,8,42,42,42,42,42,7,42,3,9,42,4,42,42,42,42,42,42,42,10,42,42,42,42,42,42,42,42,2,42,42,5,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,33,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,5,42,4,42,42,3,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2,42,42,42,42,42,,
42,42,9,3,2,Skipped,42,Skipped,Skipped,42,3,42,7,3,42,42,42,Skipped,42,Skipped,8,Skipped,Skipped,42,42,42,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,42,Skipped,Skipped,Skipped,1,42,Skipped,42,5,,
41,41,12,4,2,41,14,34,41,2,41,41,41,37,41,41,41,10,38,8,6,36,41,42,7,11,9,41,41,41,37,41,41,40,35,3,41,1,41,39,5,13,,
42,42,2,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1,42,1,42,42,42,42,42,42,42,2,1,42,1,42,42,42,42,42,42,42,42,42,,
14,12,29,36,9,34,1,42,31,27,33,41,18,37,40,17,28,25,16,23,8,24,32,3,26,15,4,35,13,39,6,38,19,11,21,30,20,10,7,5,2,22,,
42,42,42,2,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,10,42,42,42,42,42,42,2,42,9,42,42,8,42,42,42,42,,
42,42,42,42,4,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,2,42,42,42,6,5,42,42,42,42,42,3,,
