rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,rank111,rank112,rank113,rank114,rank115,rank116,rank117,rank118,rank119,rank120,rank121,rank122,rank123,rank124,rank125,rank126,rank127,rank128,rank129,rank130,rank131,rank132,rank133,rank134,rank135,rank136,rank137,rank138,rank139,rank140,rank141,rank142,rank143,rank144,rank145,rank146,rank147,rank148,rank149,rank150,rank151,rank152,rank153,rank154,rank155,rank156,rank157,rank158,rank159,rank160,rank161,Num Cands,Num Seats
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,6,161,161,161,161,161,161,161,161,161,161,161,161,161,5,161,161,161,161,161,161,161,161,161,9,161,161,161,161,161,161,161,7,161,161,161,161,8,10,161,161,161,161,161,161,161,3,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,4,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,1,161,161,161,161,161,161,161,161,2,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161.0,1.0
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,3,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,1,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,2,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,,
38,161,11,38,161,161,38,161,161,38,161,161,16,7,6,161,161,161,161,13,161,161,38,161,161,161,161,38,161,161,161,48,161,4,48,161,38,161,161,161,161,38,161,38,161,161,161,161,161,161,16,10,161,161,161,161,161,161,161,16,2,161,9,161,48,161,161,161,161,38,161,161,16,161,161,161,161,38,161,161,161,38,16,161,38,161,161,161,161,161,161,48,161,161,16,161,161,161,48,161,161,48,161,161,161,161,16,161,161,161,161,161,48,161,161,1,5,161,161,161,3,161,8,161,161,161,161,161,161,161,161,161,161,48,161,161,161,16,161,161,48,161,12,161,161,38,16,38,161,161,161,161,161,161,161,38,16,48,38,161,161,,
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,2,161,161,161,161,3,161,161,161,161,161,161,161,161,161,161,161,161,1,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,,
161,9,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,1,161,6,161,4,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,2,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,3,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,10,161,161,161,161,161,161,161,161,161,161,161,161,161,7,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,5,161,161,161,161,161,8,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,,
161,161,7,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,3,161,161,161,5,161,161,161,161,161,161,161,161,161,6,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,4,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,8,161,1,2,,
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,5,161,161,161,161,161,161,161,4,161,161,161,161,161,161,12,161,161,6,161,161,161,161,161,161,1,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,8,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,10,161,161,161,161,161,161,161,161,161,161,11,7,161,161,161,161,161,161,161,161,2,161,161,9,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,3,,
161,161,161,161,161,161,161,161,161,161,161,161,161,161,4,7,9,161,161,161,161,161,161,161,161,161,3,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,1,161,161,161,161,161,161,161,6,161,5,161,161,2,161,161,161,161,161,8,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,10,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,,
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,5,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,3,161,161,161,161,161,161,7,161,161,161,161,161,161,6,161,161,161,161,161,161,161,161,161,161,161,161,161,2,161,161,161,161,161,1,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,4,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,,
161,161,58,8,58,58,161,161,13,14,161,58,161,161,161,161,161,58,161,161,161,58,161,161,58,161,161,161,161,161,161,161,11,161,161,58,161,161,58,161,161,161,161,161,161,161,58,161,4,161,161,161,161,9,161,58,161,161,58,6,5,14,161,58,161,161,161,161,161,58,161,161,161,161,58,161,161,161,58,12,161,161,7,58,58,161,14,58,161,161,161,161,161,1,58,161,14,58,161,161,58,58,161,15,161,161,161,161,161,58,161,161,58,161,58,15,10,15,161,161,58,161,58,161,15,161,161,58,58,58,58,161,161,58,2,3,15,58,58,161,161,161,161,58,58,58,58,161,161,161,161,161,58,161,161,161,58,161,161,161,58,,
