rank1,rank2,rank3,rank4,rank5,rank6,rank7,Num Cands,Num Seats
2,7,4,6,3,1,5,7.0,1.0
3,6,7,2,1,5,4,,
6,3,5,4,7,2,1,,
7,3,5,4,6,1,2,,
5,3,7,4,6,1,2,,
6,5,4,7,2,3,1,,
7,4,2,5,6,1,3,,
7,7,7,1,7,7,7,,
6,3,5,7,4,2,1,,
7,7,7,7,2,1,7,,
2,7,7,7,1,7,7,,
7,4,3,5,6,1,2,,
7,7,7,7,1,7,7,,
7,6,2,6,3,1,5,,
6,4,2,7,5,1,3,,
Skipped,Skipped,Skipped,Skipped,1,2,Skipped,,
6,4,1,5,7,2,3,,
7,7,2,3,7,1,7,,
7,5,2,4,3,1,6,,
7,7,2,7,3,1,7,,
3,3,2,3,1,3,3,,
2,4,6,3,7,1,5,,
7,7,2,7,1,7,3,,
4,7,3,5,6,1,2,,
7,4,2,5,6,1,2,,
5,6,4,3,2,1,7,,
6,7,3,5,4,1,2,,
7,4,5,3,6,1,2,,
7,4,6,5,3,1,2,,
7,3,4,5,6,1,2,,
6,4,3,5,7,1,2,,
6,2,4,7,5,1,3,,
2,7,5,3,1,6,4,,
2,7,7,3,1,7,7,,
7,3,4,7,7,1,2,,
6,3,4,5,7,1,2,,
6,6,2,3,1,4,7,,
7,5,7,6,2,1,1,,
6,Skipped,1,5,Skipped,2,7,,
2,4,7,3,1,6,5,,
7,7,7,7,2,1,7,,
7,4,2,6,5,1,3,,
7,3,4,5,6,2,1,,
6,4,3,7,5,1,2,,
6,3,5,4,7,1,2,,
7,5,3,6,7,1,4,,
6,4,2,5,7,1,3,,
7,6,2,5,3,1,4,,
7,7,7,7,1,7,7,,
1,6,3,7,2,4,5,,
6,4,2,5,3,1,7,,
