rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
4,5,1,2,9,9,3,9,9,9.0,Unknown
1,8,7,6,9,3,4,2,5,,Unknown
2,8,7,1,5,6,4,9,3,,Unknown
8,4,5,9,6,7,1,3,2,,Unknown
2,2,1,9,9,1,1,9,2,,Unknown
3,1,5,9,1,2,1,9,1,,Unknown
2,7,6,5,8,1,3,9,4,,Unknown
9,2,9,3,9,6,1,5,4,,Unknown
1,9,9,4,6,2,3,8,5,,Unknown
9,2,1,9,5,9,4,9,3,,Unknown
6,8,1,3,7,5,4,9,2,,Unknown
7,9,2,6,1,8,4,5,3,,Unknown
9,3,9,2,1,8,9,9,3,,Unknown
8,7,1,6,4,2,3,9,5,,Unknown
9,1,4,9,9,9,9,3,2,,Unknown
9,3,1,2,6,5,6,9,4,,Unknown
4,7,6,3,1,8,5,9,2,,Unknown
9,9,9,3,2,6,5,1,4,,Unknown
6,7,1,4,8,2,3,9,5,,Unknown
3,7,8,6,9,1,2,5,4,,Unknown
1,9,5,8,4,2,3,6,7,,Unknown
5,6,9,3,8,7,1,2,4,,Unknown
1,9,9,1,9,1,1,1,9,,Unknown
1,9,9,1,9,1,1,1,9,,Unknown
8,5,9,6,2,7,3,1,4,,Unknown
2,9,9,1,9,9,9,4,3,,Unknown
9,8,2,3,5,4,6,1,7,,Unknown
1,3,8,2,9,4,7,6,5,,Unknown
9,4,2,5,8,6,3,7,1,,Unknown
2,9,3,9,9,1,4,9,5,,Unknown
1,4,7,8,2,9,6,5,3,,Unknown
4,3,9,7,1,8,5,6,2,,Unknown
5,3,6,1,2,7,8,9,4,,Unknown
7,8,1,4,3,6,5,9,2,,Unknown
9,2,5,6,7,8,4,3,1,,Unknown
2,5,4,1,9,7,8,3,6,,Unknown
1,2,5,8,7,4,3,9,6,,Unknown
3,6,2,5,9,9,4,9,1,,Unknown
9,2,9,9,9,5,1,4,3,,Unknown
1,9,5,9,3,9,9,4,2,,Unknown
1,3,9,8,2,5,4,6,7,,Unknown
9,3,9,1,9,5,4,6,2,,Unknown
1,3,7,6,4,8,5,9,2,,Unknown
5,7,9,4,1,3,6,2,8,,Unknown
6,8,7,1,2,5,3,4,9,,Unknown
3,1,9,5,2,4,7,8,6,,Unknown
4,9,6,9,9,5,1,2,3,,Unknown
2,7,6,5,3,8,9,4,1,,Unknown
1,3,5,9,9,9,2,9,4,,Unknown
5,1,7,9,4,8,6,2,3,,Unknown
9,4,3,7,1,5,8,2,6,,Unknown
6,2,8,7,4,5,1,9,3,,Unknown
5,4,9,6,7,9,3,1,2,,Unknown
6,5,1,2,7,4,3,8,9,,Unknown
9,1,1,9,9,9,1,1,1,,Unknown
8,7,9,5,3,2,6,4,1,,Unknown
7,9,5,4,8,3,1,6,2,,Unknown
6,4,1,5,7,8,9,2,3,,Unknown
7,4,3,6,9,2,1,8,5,,Unknown
9,9,2,3,9,9,4,1,5,,Unknown
9,9,9,2,9,9,3,1,9,,Unknown
7,4,9,5,8,1,2,6,3,,Unknown
4,7,6,5,3,9,8,1,2,,Unknown
9,5,9,9,9,1,4,2,3,,Unknown
5,9,9,9,2,9,1,3,4,,Unknown
6,9,5,8,7,1,2,4,3,,Unknown
9,1,9,9,9,9,9,9,9,,Unknown
3,1,2,2,1,1,1,1,1,,Unknown
9,7,3,4,8,6,5,2,1,,Unknown
6,8,1,4,9,2,7,5,3,,Unknown
9,9,9,1,9,1,1,1,1,,Unknown
