rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,Num Cands,Num Seats
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2,61,61,61,61,61,61,1,61,61,61,61.0,1.0
61,61,61,2,61,61,61,61,4,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,3,61,61,61,61,1,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,,
59,24,5,22,9,39,57,4,8,11,40,47,7,33,44,49,18,20,50,54,32,16,17,21,41,55,53,38,30,2,48,56,13,6,31,52,45,58,29,19,34,36,37,3,46,51,26,23,15,25,35,14,42,12,10,28,22,1,60,43,27,,
61,61,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,,
61,61,61,61,61,61,61,61,61,61,61,61,61,2,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,4,61,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,61,61,3,61,61,61,61,61,61,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,,
61,61,61,61,2,61,61,61,5,5,61,61,61,61,61,3,61,61,61,61,61,61,61,4,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,3,61,61,61,61,61,61,1,61,61,61,61,7,5,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2,61,7,6,61,61,61,61,61,,
46,59,45,45,59,45,45,45,45,13,59,45,45,59,45,45,45,45,59,60,45,45,45,45,11,59,5,45,45,13,45,45,45,7,59,45,59,45,3,45,59,59,14,2,45,59,45,45,45,59,59,6,1,10,4,59,61,8,45,9,45,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,2,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,,
60,54,60,53,50,17,49,60,48,60,53,60,60,45,60,60,60,60,51,1,60,60,60,18,60,60,2,52,61,60,60,60,14,32,60,13,50,60,49,51,60,60,60,30,60,60,60,60,60,49,60,25,5,10,60,47,60,60,60,60,48,,
