rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,Num Cands,Num Seats
28,5,1,2,10,15,21,9,16,9,26,14,27,12,31,24,6,29,22,11,20,13,4,19,18,17,9,24,31,23,3,31.0,1.0
31,2,31,1,31,1,31,31,31,31,31,31,31,31,1,1,31,1,31,31,31,31,31,31,31,31,31,31,31,31,1,,
4,15,25,20,8,25,5,20,16,3,2,17,7,12,11,13,20,9,10,14,29,31,18,25,20,1,25,6,20,19,30,,
16,1,13,9,5,17,7,4,30,28,15,8,6,26,24,11,12,29,3,2,31,18,21,23,20,10,25,27,19,22,14,,
31,8,31,4,31,1,31,31,31,31,31,31,31,31,7,3,31,2,31,9,31,31,31,5,31,31,31,31,31,31,6,,
31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,31,31,2,31,31,3,31,31,31,31,31,31,31,31,31,,
31,31,31,31,2,3,31,31,31,31,31,31,31,31,31,31,31,31,4,31,31,1,31,31,31,31,31,31,31,31,31,,
31,31,4,5,10,1,31,6,31,31,8,31,31,31,31,12,9,3,31,31,31,31,11,31,2,31,31,31,31,31,7,,
4,15,11,13,6,31,31,31,31,31,10,2,7,30,31,31,8,5,31,14,31,31,31,29,31,3,12,9,31,1,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,1,31,31,31,31,31,31,31,31,31,31,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,2,31,31,31,31,31,31,31,31,31,31,31,,
31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,15,31,31,31,31,31,31,31,31,31,31,31,,
31,31,31,31,31,31,31,31,31,3,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,,
5,31,31,31,10,31,6,31,31,1,4,31,9,31,3,31,31,8,11,31,31,31,12,31,31,2,31,7,31,31,31,,
15,8,14,3,31,2,31,31,31,12,31,13,11,31,6,5,10,1,31,31,31,31,31,7,9,31,16,31,17,31,4,,
8,9,6,5,31,2,31,31,31,31,10,31,31,31,4,3,7,1,31,31,31,31,31,31,31,31,31,31,31,31,11,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,3,4,31,1,31,31,31,31,31,31,31,31,31,,
31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,1,31,3,31,4,31,31,31,31,31,31,31,31,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,1,30,30,30,30,30,30,30,30,30,30,30,,
31,4,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,1,2,31,31,31,31,31,31,31,31,31,31,31,,
21,28,1,1,16,2,25,20,24,29,18,22,15,31,6,27,1,10,17,7,11,9,1,19,12,30,14,23,13,26,8,,
31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,2,31,30,31,31,31,31,31,31,31,31,30,31,31,,
4,29,29,29,9,29,5,29,29,1,3,29,8,29,29,29,29,7,10,29,29,31,29,29,29,2,29,6,29,29,30,,
4,30,30,30,9,30,5,30,30,1,3,30,8,30,30,30,30,7,10,30,30,31,30,30,30,2,30,6,30,30,31,,
3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,4,31,31,2,31,31,5,31,31,31,31,31,,
15,6,8,1,8,1,15,15,15,15,8,8,8,15,1,1,8,1,8,15,15,15,15,15,15,15,15,15,15,15,6,,
8,31,1,7,5,2,31,31,31,4,31,31,11,31,31,31,3,9,10,31,31,12,13,31,31,31,31,31,31,31,6,,
8,31,31,10,31,4,31,31,31,11,1,2,5,31,31,31,31,6,12,31,31,31,31,31,31,7,9,31,31,3,31,,
31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,,
2,4,8,31,27,5,25,13,15,20,3,11,31,18,29,1,26,6,31,31,10,7,16,31,19,20,12,14,17,21,9,,
3,31,28,31,6,31,24,10,19,15,5,20,14,14,29,29,31,29,2,1,26,15,4,29,14,7,26,23,25,27,8,,
31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,3,4,1,31,31,31,31,31,31,31,31,31,31,31,31,31,,
5,7,29,8,3,10,29,29,29,4,9,6,29,29,29,29,29,29,1,2,29,11,29,12,29,29,29,29,31,29,29,,
31,31,2,1,31,1,31,31,31,31,31,31,31,31,31,3,31,2,31,31,31,31,31,31,31,31,31,31,31,31,1,,
31,7,31,2,31,1,31,31,31,31,31,31,31,31,6,5,31,4,31,31,31,31,31,31,31,31,31,31,31,31,3,,
31,7,31,3,31,2,31,31,31,31,31,31,31,31,4,5,31,1,31,31,31,31,31,31,31,31,31,31,31,31,6,,
31,31,31,31,31,31,31,31,31,31,4,31,31,31,31,31,31,31,3,2,31,1,31,31,31,31,31,31,31,31,31,,
6,31,31,11,31,3,31,31,31,2,1,4,8,31,31,31,31,7,9,31,31,10,31,31,31,5,31,31,31,31,31,,
31,31,2,31,31,31,31,31,31,31,31,3,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
31,8,9,3,31,2,31,31,31,31,31,10,31,31,5,4,31,1,31,31,6,31,31,31,31,31,11,31,31,31,7,,
30,30,30,4,30,1,30,30,30,30,30,30,30,30,7,3,30,2,30,30,31,30,30,5,30,30,30,30,30,30,6,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
20,7,27,10,2,18,1,29,16,4,9,19,3,21,12,25,5,22,6,14,24,30,17,26,31,23,8,11,15,8,13,,
7,6,1,2,5,31,31,31,31,31,4,9,31,11,31,31,3,31,10,31,31,8,31,31,31,31,31,31,31,31,31,,
7,16,21,3,20,2,25,4,15,12,6,14,19,10,2,2,13,1,24,4,8,5,22,9,1,17,23,11,26,3,18,,
15,8,15,31,15,15,15,2,15,15,5,15,9,15,15,15,30,15,3,1,15,4,15,15,15,15,15,7,15,15,6,,
31,31,31,5,2,1,31,31,31,31,3,31,31,31,31,6,30,4,31,31,31,2,31,31,31,8,31,31,31,31,31,,
16,28,6,4,7,2,22,17,29,13,8,11,27,25,30,3,1,5,10,14,31,19,21,20,24,18,12,15,23,26,9,,
31,1,31,1,31,1,31,31,31,31,31,31,31,31,1,1,31,1,31,31,31,31,31,31,31,31,31,31,31,31,1,,
