rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
10,10,10,10,1,10,2,10,10,10,10.0,1.0
1,10,10,10,10,10,10,10,10,10,,
2,5,6,9,8,7,1,10,4,3,,
1,3,8,7,5,2,10,9,6,4,,
10,10,10,10,1,10,10,10,10,10,,
6,4,3,5,7,8,2,10,9,1,,
2,3,5,9,6,10,4,8,7,1,,
7,5,9,10,1,6,2,8,4,3,,
3,5,6,7,1,9,2,10,8,4,,
2,1,2,1,3,5,1,10,3,1,,
1,10,10,10,10,10,10,10,10,10,,
8,6,10,5,3,9,2,7,4,1,,
1,10,10,10,10,10,10,10,10,10,,
8,4,2,3,1,7,6,10,9,5,,
1,10,10,10,10,10,10,10,10,10,,
9,6,10,1,8,7,4,3,5,2,,
4,5,6,3,8,9,1,10,7,2,,
1,10,10,10,10,10,10,10,10,10,,
4,10,6,8,5,3,7,1,2,9,,
5,9,4,6,8,3,2,10,7,1,,
1,3,4,10,2,9,5,7,6,8,,
7,2,8,3,5,9,6,10,4,1,,
8,9,3,5,6,4,10,1,2,7,,
3,10,10,10,10,10,10,10,1,10,,
4,1,3,8,5,7,6,10,9,2,,
10,10,10,10,1,10,10,10,10,10,,
1,3,10,5,7,6,9,8,4,2,,
2,6,5,4,8,9,1,10,7,3,,
3,5,4,6,8,9,1,7,10,2,,
2,6,7,9,8,4,1,10,5,3,,
6,10,3,5,2,4,9,1,7,8,,
8,3,4,7,9,6,2,10,1,5,,
3,4,9,7,5,6,2,8,10,1,,
2,4,6,8,1,9,3,10,7,5,,
2,4,7,5,8,9,3,10,6,1,,
4,3,2,8,1,7,6,5,9,10,,
1,10,10,10,10,10,10,10,10,10,,
4,10,3,9,1,8,5,6,7,2,,
