rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,Num Cands,Num Seats
51,51,51,51,51,51,52,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,53,51,51,51,51,51,51,53.0,1.0
46,46,46,49,46,46,50,52,46,46,46,46,46,46,46,46,46,46,46,46,46,1,46,46,46,46,46,46,46,46,46,46,46,46,46,48,46,46,47,53,46,46,46,46,46,46,51,46,46,46,46,46,46,,
3,10,2,20,5,10,10,6,14,1,10,10,40,20,20,5,53,3,15,1,10,10,1,53,1,10,10,2,10,42,53,10,46,2,3,1,20,3,5,1,3,2,20,22,30,3,10,2,40,30,20,53,40,,
53,53,9,8,19,53,2,7,53,53,6,53,47,53,12,23,53,53,53,1,53,17,13,53,52,21,29,53,53,44,53,18,53,1,4,53,10,46,6,53,11,5,53,53,16,53,10,53,32,20,44,53,45,,
53,5,2,3,Skipped,Skipped,5,3,Skipped,53,5,Skipped,5,Skipped,Skipped,10,5,Skipped,Skipped,2,53,2,5,Skipped,53,10,5,53,Skipped,5,Skipped,5,Skipped,1,3,53,3,5,53,53,10,3,Skipped,10,5,53,1,Skipped,10,5,10,Skipped,3,,
53,53,11,53,53,53,7,53,53,4,53,14,53,53,53,53,53,53,53,2,53,5,1,53,6,53,13,53,53,53,53,53,53,3,53,53,53,53,53,10,15,9,53,53,53,12,8,53,53,53,53,53,53,,
53,53,53,5,Skipped,53,53,53,Skipped,6,5,6,6,7,Skipped,5,53,3,Skipped,4,53,20,1,Skipped,2,Skipped,2,20,5,53,Skipped,53,Skipped,53,5,5,4,5,53,3,5,5,Skipped,6,5,5,53,6,5,6,5,Skipped,Skipped,,
48,48,48,49,48,48,50,52,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,53,48,48,48,48,48,48,51,48,48,48,48,48,48,,
53,4,2,53,53,53,5,3,53,53,53,53,6,53,53,53,53,53,53,53,53,53,7,53,53,53,53,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,,
50,50,50,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Skipped,50,52,Skipped,50,50,Skipped,50,50,49,53,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Skipped,,
53,53,1,53,53,53,5,53,53,4,53,53,53,53,53,53,53,53,53,53,53,53,6,53,10,53,53,53,53,53,53,8,53,3,53,53,53,53,2,53,53,7,53,53,53,53,9,53,53,53,53,53,53,,
45,45,45,44,45,45,47,49,45,45,45,45,45,45,45,45,45,45,45,45,45,1,45,45,45,45,51,53,45,45,45,45,45,45,45,52,45,45,46,50,45,45,45,45,45,45,48,45,45,45,45,45,45,,
50,17,7,40,22,19,5,24,16,3,26,13,29,46,41,39,38,45,26,9,18,32,8,53,1,48,24,15,35,44,42,28,23,10,51,6,34,27,12,2,49,31,52,33,43,4,14,25,47,11,41,36,37,,
53,53,53,53,53,53,53,53,50,53,53,53,53,Skipped,53,53,53,53,53,52,53,53,53,53,53,Skipped,Skipped,53,Skipped,53,53,53,Skipped,53,53,49,53,Skipped,53,53,53,53,51,53,53,53,53,53,53,53,53,Skipped,Skipped,,
