rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
6,7,10,8,1,2,3,4,5,9,10.0,1.0
7,2,7,4,3,1,4,5,6,2,,
5,1,6,2,3,4,4,3,5,4,,
6,1,9,4,7,8,10,3,5,2,,
3,8,9,4,7,5,2,6,10,1,,
2,8,3,5,6,4,7,1,10,9,,
2,8,2,4,5,6,1,7,5,3,,
4,7,9,2,3,6,8,5,10,1,,
6,1,9,10,2,3,8,4,5,7,,
10,3,9,5,1,2,7,6,8,4,,
9,7,6,5,8,1,4,2,10,3,,
3,1,2,2,2,2,2,3,3,3,,
7,4,8,3,1,2,6,5,9,10,,
4,1,2,7,5,6,8,3,10,10,,
6,2,9,4,5,7,1,8,10,3,,
3,6,9,2,8,1,4,8,10,5,,
1,2,2,1,1,3,2,2,10,3,,
10,6,10,7,2,3,5,1,10,4,,
9,6,7,3,2,1,4,5,10,8,,
10,8,3,5,1,4,7,2,9,6,,
8,7,10,1,2,5,3,6,9,4,,
10,2,4,1,5,6,9,3,8,7,,
7,1,8,2,5,6,9,4,10,3,,
10,1,5,6,7,3,9,2,4,8,,
9,2,4,1,7,6,8,3,10,5,,
10,10,10,10,10,10,10,10,10,1,,
5,1,4,2,3,8,7,9,10,6,,
7,6,8,10,4,5,3,1,9,2,,
10,10,10,10,10,10,1,10,10,10,,
6,10,8,1,4,2,9,5,3,7,,
8,4,6,5,2,1,7,9,10,3,,
10,1,7,3,2,4,5,6,8,9,,
7,5,8,5,1,2,6,4,8,3,,
6,7,8,2,5,4,1,3,9,10,,
7,4,2,1,10,5,6,3,8,9,,
