rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,Num Cands,Num Seats
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44.0,1.0
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,3,44,1,44,4,44,44,44,44,44,44,44,44,44,44,44,44,,
13,17,44,16,4,26,44,44,44,44,2,44,23,6,9,11,10,44,44,44,44,26,44,44,19,15,28,3,20,12,22,5,44,8,18,44,25,27,21,44,1,14,24,7,,
44,44,44,44,7,44,44,44,44,44,4,44,12,14,44,44,6,44,44,44,44,44,44,44,44,44,44,3,44,2,9,1,44,11,10,15,44,44,44,44,8,44,13,5,,
6,4,44,44,44,44,44,3,44,44,Skipped,44,44,44,44,44,44,44,44,44,44,8,44,44,44,44,44,44,44,1,44,5,44,44,7,44,44,44,44,44,2,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
20,16,44,44,4,9,44,44,44,44,1,44,18,5,44,17,3,44,44,44,44,11,44,44,44,44,44,2,44,10,7,6,44,44,15,19,13,44,12,44,14,44,44,8,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
13,18,40,31,2,28,36,Skipped,Skipped,41,3,Skipped,9,15,12,11,8,Skipped,Skipped,27,29,21,44,Skipped,5,Skipped,30,1,24,4,17,10,Skipped,19,16,22,23,20,26,Skipped,6,25,14,7,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
13,7,27,44,6,22,28,44,5,30,10,44,24,12,20,17,11,15,44,44,32,9,23,19,26,21,44,2,33,3,29,1,44,18,4,31,16,44,44,44,8,44,25,14,,
2,44,44,44,44,44,44,44,44,44,6,44,44,4,44,44,3,44,44,44,44,44,44,44,44,44,44,9,44,44,44,19,44,44,1,44,44,44,44,44,7,44,44,44,,
20,44,44,21,4,8,11,5,44,44,20,44,17,15,44,14,44,44,44,44,44,44,44,44,44,7,23,1,44,22,20,10,44,24,16,44,2,3,44,9,6,12,44,13,,
44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,3,44,44,44,44,44,44,44,44,4,44,44,5,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,,
44,43,44,44,27,44,44,44,44,44,25,44,26,44,44,33,44,44,44,44,44,44,44,44,44,44,44,9,44,26,44,44,44,43,44,44,44,23,44,44,44,44,43,39,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
12,2,44,17,3,44,44,44,44,24,1,44,19,11,15,13,26,29,44,44,44,7,23,44,28,9,20,5,44,6,25,10,44,21,18,27,14,44,22,44,4,44,8,16,,
44,2,35,30,11,40,21,37,35,43,7,42,44,3,35,14,15,39,37,20,18,17,32,43,13,44,30,6,36,10,16,19,37,1,5,40,38,36,12,35,7,33,8,9,,
44,1,44,44,3,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,5,44,4,44,6,44,44,44,44,44,44,44,44,44,44,44,44,,
21,5,13,44,14,44,44,44,44,18,2,44,8,16,44,15,1,44,44,44,44,44,22,44,44,44,44,6,44,3,10,4,44,44,11,7,17,44,19,44,9,44,12,20,,
14,7,44,44,18,44,16,44,44,16,17,44,44,44,44,44,4,44,44,44,44,44,44,44,15,44,26,1,44,8,10,5,44,44,3,14,16,44,30,44,12,44,2,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,,
1,44,44,44,2,8,44,44,44,44,15,44,44,44,10,14,44,9,44,44,44,7,44,44,44,44,44,5,44,44,44,3,44,13,6,44,44,44,4,44,13,44,16,44,,
44,44,44,44,3,44,44,44,44,7,12,44,44,1,2,11,4,44,44,44,44,44,44,44,6,44,44,10,44,8,9,44,44,44,44,44,44,44,44,44,44,44,44,5,,
44,44,44,44,44,44,44,44,44,44,13,44,6,7,44,44,9,44,44,44,44,44,44,44,8,44,44,2,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,,
12,43,9,43,4,43,43,43,43,43,1,43,43,43,43,43,6,43,43,13,43,43,43,43,43,14,43,2,43,11,8,10,43,5,7,43,43,43,43,43,3,43,43,43,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
6,11,44,15,5,44,22,44,44,44,2,44,44,44,44,8,4,44,44,44,13,16,44,44,44,44,44,1,44,7,44,3,44,18,17,19,44,20,9,44,12,21,10,14,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
14,10,43,16,18,43,43,43,43,43,15,43,44,42,43,43,6,43,43,43,43,43,43,43,43,43,43,11,43,12,43,17,43,43,13,41,43,43,8,43,16,43,9,5,,
44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,1,44,44,10,44,44,44,44,44,10,44,44,44,44,44,5,44,44,44,44,44,44,44,44,44,44,10,44,10,44,44,44,44,44,44,44,44,10,44,5,44,20,44,,
44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,1,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,,
Skipped,6,13,Skipped,5,Skipped,Skipped,Skipped,Skipped,23,3,Skipped,9,16,22,14,8,Skipped,Skipped,Skipped,29,12,27,Skipped,25,21,Skipped,1,26,7,17,2,Skipped,19,10,20,18,28,24,34,3,Skipped,15,11,,
44,44,44,44,44,44,5,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,3,44,44,5,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,1,4,44,44,44,44,44,44,44,44,44,44,44,44,,
20,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,8,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,Skipped,44,1,20,Skipped,Skipped,15,20,5,15,8,Skipped,Skipped,Skipped,Skipped,Skipped,44,Skipped,Skipped,Skipped,Skipped,Skipped,12,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,4,44,44,44,44,44,1,44,44,1,44,44,44,44,44,2,44,44,44,44,7,44,44,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,6,44,44,44,44,,
8,6,44,44,5,44,44,44,44,44,1,44,44,44,44,44,3,44,44,44,44,9,44,44,44,44,44,4,44,44,7,2,44,44,44,44,44,44,44,44,44,44,44,10,,
44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,13,10,44,44,44,43,44,44,44,44,44,44,44,44,44,12,44,44,44,44,9,15,44,44,40,44,44,44,1,44,4,44,43,44,2,38,44,44,44,3,44,5,14,,
44,44,44,44,1,44,44,44,44,44,4,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,2,,
44,4,44,44,5,44,44,44,44,44,2,44,14,44,44,44,9,44,44,44,44,44,44,44,44,13,44,3,11,10,44,1,44,44,7,44,8,44,15,44,6,44,12,44,,
