rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num Cands,Num Seats
1,7,11,2,11,3,6,2,11,11,9,11.0,1.0
5,11,9,3,4,1,7,2,10,9,6,,
9,6,5,2,7,3,4,1,11,8,10,,
7,1,8,10,5,2,11,6,4,3,9,,
10,6,3,5,7,1,4,2,8,11,9,,
1,6,11,11,3,1,11,11,1,5,2,,
8,1,6,9,4,5,7,3,2,10,11,,
7,11,9,1,2,6,2,5,4,8,9,,
9,2,9,3,7,1,5,4,6,10,11,,
1,11,11,11,1,11,11,11,1,11,1,,
2,6,4,5,10,7,3,1,9,11,8,,
10,1,6,3,7,4,5,2,8,11,9,,
8,2,6,5,7,1,3,4,9,10,11,,
10,2,8,9,1,5,6,7,4,11,3,,
1,11,11,6,8,3,4,2,7,5,3,,
3,5,2,4,5,6,1,7,10,8,9,,
10,1,7,6,5,2,4,3,8,11,9,,
1,11,8,2,5,3,7,4,6,9,10,,
6,2,5,9,8,1,10,7,3,11,4,,
11,2,10,4,3,1,8,5,6,9,7,,
3,5,8,9,2,2,1,4,6,6,7,,
4,1,7,9,10,2,6,3,11,5,8,,
6,2,10,8,4,1,9,11,5,7,3,,
11,3,11,11,2,1,11,4,11,11,5,,
2,1,11,8,5,10,6,4,3,7,9,,
10,1,8,5,9,2,6,4,3,11,7,,
2,9,8,4,6,1,7,5,3,11,11,,
3,11,11,11,1,11,11,11,2,11,11,,
7,11,10,2,4,3,5,6,8,1,9,,
2,5,9,11,3,1,4,6,10,8,7,,
3,5,1,10,4,9,11,11,11,11,2,,
8,2,7,10,4,3,6,11,1,9,5,,
11,11,11,11,1,11,11,11,11,11,11,,
5,2,10,7,4,1,11,6,3,9,8,,
7,6,11,10,1,5,9,4,2,3,8,,
3,3,2,5,3,1,5,1,4,5,6,,
6,1,3,4,10,8,2,9,7,11,5,,
3,11,6,7,9,1,5,2,4,8,10,,
11,5,1,6,4,1,1,10,8,7,9,,
11,4,11,4,2,1,5,1,3,6,10,,
5,1,9,10,4,2,8,6,3,11,7,,
4,5,11,6,7,1,2,3,10,9,8,,
3,1,10,8,4,2,7,6,11,9,5,,
11,1,11,11,7,2,11,3,11,11,11,,
