rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
3,9,9,4,9,9,1,9,2,9.0,1.0
9,9,1,9,9,9,9,9,9,,
9,9,9,8,9,9,1,9,7,,
9,9,9,9,9,9,9,1,9,,
5,3,9,6,9,1,2,9,4,,
3,6,9,5,8,4,1,7,2,,
6,5,7,3,9,1,2,8,4,,
1,2,9,9,9,9,4,9,3,,
9,9,1,9,9,9,9,9,9,,
1,5,9,9,3,9,6,4,2,,
7,8,1,2,5,4,3,9,6,,
9,9,9,9,9,2,9,9,1,,
9,1,9,9,9,1,9,9,9,,
9,9,9,9,9,9,9,9,9,,
2,9,9,3,9,1,9,2,3,,
9,9,9,9,9,9,9,9,1,,
9,9,1,9,9,9,9,9,9,,
9,9,1,9,9,9,9,2,9,,
2,5,9,6,5,8,8,4,1,,
8,9,9,9,8,9,2,1,8,,
9,9,1,9,9,9,9,9,9,,
3,3,8,5,9,7,3,6,3,,
9,9,9,9,9,9,9,9,9,,
9,9,1,9,9,9,2,9,3,,
4,6,9,8,3,7,2,1,5,,
9,9,9,9,1,9,9,9,9,,
9,9,9,9,9,9,1,9,1,,
1,2,9,4,9,9,3,9,5,,
9,9,9,9,9,9,1,9,9,,
9,9,1,9,9,9,2,9,9,,
9,9,9,9,9,2,3,1,9,,
1,9,9,9,9,9,9,9,1,,
9,9,1,9,9,9,9,9,9,,
2,8,7,9,1,6,3,5,4,,
8,7,9,1,4,2,3,6,5,,
1,5,2,6,8,4,9,7,3,,
2,4,8,7,7,7,9,3,1,,
2,5,6,7,9,4,1,8,3,,
