rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,Num Cands,Num Seats
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37.0,1.0
37,37,6,37,37,37,37,37,37,10,1,37,37,37,37,37,37,37,37,2,37,3,37,9,8,37,37,7,37,37,37,4,37,37,5,37,37,,
23,13,31,27,29,16,21,37,37,9,2,11,22,20,28,24,4,25,6,18,32,1,37,26,12,15,10,30,14,33,34,19,17,3,7,8,5,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,1,5,37,37,37,37,37,37,37,37,37,37,37,37,37,4,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,3,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
25,7,16,15,33,23,11,12,37,10,2,18,30,29,28,22,1,36,8,26,31,3,32,19,13,5,21,27,17,34,35,24,14,20,4,6,9,,
37,37,17,24,20,25,19,37,37,29,7,16,1,37,35,37,17,28,7,37,29,2,37,10,3,22,30,24,37,37,26,18,17,21,4,19,16,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,19,37,16,24,30,10,18,37,17,1,8,15,21,10,13,5,31,17,6,37,4,33,22,25,13,29,26,3,27,37,20,10,7,2,22,8,,
37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,8,37,37,37,37,37,37,37,37,1,37,5,37,37,37,6,37,9,37,37,3,37,37,37,37,37,37,37,37,37,37,7,37,4,37,2,,
37,37,37,37,5,37,37,4,37,3,2,4,5,37,37,37,37,37,37,37,37,1,37,37,3,37,37,3,37,37,37,37,37,3,1,37,2,,
Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,1,9,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,11,Skipped,2,Skipped,Skipped,11,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,5,Skipped,4,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,5,37,37,37,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,1,37,1,37,37,37,37,37,37,37,37,37,37,37,37,1,37,1,,
31,14,24,21,30,29,22,17,23,8,1,6,12,19,16,37,11,27,5,26,34,3,32,28,25,6,15,33,35,20,36,18,9,13,4,10,2,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,,
37,37,37,2,37,37,9,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,5,3,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,6,37,37,37,37,37,37,37,2,4,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,3,37,5,,
26,6,13,20,10,34,28,16,37,12,1,8,24,30,18,33,7,29,4,21,36,2,32,25,17,5,15,27,35,31,14,22,23,9,11,19,3,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,3,6,37,37,37,2,37,1,37,37,3,37,37,37,37,3,37,37,37,37,37,37,2,1,37,2,,
37,37,37,37,5,37,12,37,37,8,1,3,5,37,37,37,37,37,6,37,37,2,37,37,37,10,37,9,37,37,37,9,37,7,37,11,4,,
37,37,37,37,9,37,37,37,37,8,1,37,3,37,37,37,37,37,37,5,37,2,37,37,37,11,10,7,12,37,37,37,37,6,4,37,37,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,19,37,21,15,22,37,11,20,10,8,4,15,37,24,37,6,37,7,11,37,3,37,14,5,11,23,17,16,37,37,1,18,2,1,37,9,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,1,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
