rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,Num Cands,Num Seats
3,10,10,4,4,7,8,1,10,10,4,7,9,14,14.0,1.0
14,2,12,3,7,1,12,6,4,12,8,12,13,5,,
1,1,1,14,14,1,14,14,14,14,1,14,14,1,,
4,14,1,12,8,3,7,9,10,11,6,5,2,13,,
4,14,2,3,8,9,5,12,1,11,10,10,13,7,,
9,4,5,11,3,13,10,12,1,8,6,7,14,2,,
14,2,14,14,14,14,3,1,4,14,14,14,14,14,,
5,13,1,10,14,9,12,2,4,3,11,7,8,6,,
12,3,1,7,6,10,11,5,8,14,2,4,13,9,,
9,7,2,12,13,3,1,5,8,11,10,6,14,4,,
10,1,4,9,13,2,8,3,11,7,5,14,12,6,,
7,8,13,10,11,12,6,2,3,9,5,14,1,4,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
9,6,5,11,13,10,1,4,8,14,2,3,13,7,,
14,14,14,14,14,14,1,14,14,14,14,2,14,14,,
14,14,1,14,14,14,3,2,14,14,14,14,14,14,,
2,14,1,14,14,4,14,14,14,14,14,5,14,3,,
14,12,1,8,2,9,7,11,6,13,10,3,4,5,,
9,6,8,14,10,14,2,4,2,12,1,3,7,11,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
14,14,14,14,14,1,14,14,14,14,14,2,14,14,,
5,10,6,14,8,13,1,12,2,7,4,9,11,3,,
14,4,5,14,14,14,14,2,1,14,3,6,14,2,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
14,14,14,14,14,1,14,14,14,14,14,14,14,14,,
6,14,3,7,5,1,13,2,10,11,12,4,9,8,,
14,8,5,3,6,1,9,2,4,12,10,7,13,11,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
14,8,10,11,6,12,7,3,5,13,9,4,2,1,,
10,12,2,11,14,4,3,7,8,1,9,6,13,5,,
2,11,4,10,2,1,4,8,13,12,8,3,14,6,,
3,4,1,13,6,5,7,2,12,8,14,9,10,11,,
14,14,14,14,14,10,10,14,10,14,14,11,14,1,,
14,14,14,14,14,1,14,14,14,14,14,14,14,14,,
1,11,3,2,14,5,6,12,10,13,9,8,7,4,,
2,14,14,14,2,14,14,14,14,14,14,14,14,1,,
14,14,14,14,14,14,14,1,2,14,14,14,14,14,,
14,14,14,14,2,14,3,14,1,4,14,5,6,14,,
14,14,14,14,4,14,1,14,3,14,2,14,14,14,,
14,5,6,8,3,9,1,4,2,13,11,12,9,7,,
2,14,13,11,8,10,3,9,1,11,13,4,9,5,,
14,13,13,13,13,13,13,1,2,13,13,13,13,13,,
