rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,Num Cands,Num Seats
24,2,51,49,31,49,36,49,17,35,34,36,49,26,50,49,13,7,9,29,21,4,33,49,36,36,49,3,23,25,22,28,19,1,18,15,32,12,14,30,10,5,20,49,8,16,27,49,11,6,36,51.0,1.0
51,50,40,48,51,40,20,39,5,51,32,51,51,51,45,51,25,51,51,41,51,4,51,51,51,27,51,2,51,9,45,37,3,1,49,6,51,25,47,16,51,27,51,26,17,51,51,46,31,19,26,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,3,51,,
51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,4,51,51,51,51,51,1,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
50,2,50,50,50,50,50,50,14,50,50,50,50,10,50,50,19,8,50,50,9,4,50,18,50,50,50,1,20,3,50,12,16,7,50,11,50,21,5,50,17,6,15,50,50,50,50,13,50,50,50,,
51,4,51,51,51,51,51,12,20,51,51,51,51,51,51,51,51,6,51,51,51,13,51,51,51,16,51,1,51,14,51,51,4,2,51,2,51,9,14,51,51,51,51,51,5,51,51,51,16,9,51,,
51,3,51,42,51,21,41,41,14,41,41,41,41,16,41,51,41,4,20,11,18,5,41,41,41,41,51,1,51,23,51,17,9,2,41,7,41,22,15,51,13,10,24,41,6,41,51,19,12,8,41,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
13,1,23,51,51,51,51,51,8,51,51,51,51,51,11,51,22,12,16,6,20,3,51,51,51,14,51,2,51,10,51,51,4,5,7,17,51,51,21,51,9,15,51,51,51,51,51,51,18,51,19,,
Skipped,3,35,Skipped,Skipped,15,Skipped,38,11,33,40,17,Skipped,14,31,21,26,23,Skipped,20,25,4,41,29,37,27,Skipped,1,39,2,36,7,22,5,32,10,Skipped,18,6,Skipped,13,9,19,Skipped,8,30,34,24,28,12,16,,
Skipped,2,14,Skipped,Skipped,Skipped,Skipped,Skipped,18,Skipped,Skipped,Skipped,Skipped,13,Skipped,Skipped,Skipped,1,Skipped,10,5,8,Skipped,8,Skipped,13,Skipped,1,Skipped,14,Skipped,Skipped,11,3,Skipped,5,Skipped,Skipped,5,Skipped,Skipped,13,10,Skipped,Skipped,13,14,11,12,10,Skipped,,
51,1,22,51,51,51,51,51,51,51,51,51,51,5,51,51,9,27,51,8,51,10,51,51,51,35,51,2,51,51,51,17,9,51,51,5,51,51,30,51,39,20,14,51,51,51,51,51,40,51,51,,
Skipped,3,38,Skipped,Skipped,13,Skipped,41,10,26,40,37,Skipped,15,23,18,25,35,Skipped,20,29,5,39,21,33,31,Skipped,1,34,2,30,7,28,6,24,11,Skipped,16,4,Skipped,12,9,14,Skipped,8,32,36,27,17,19,22,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,7,51,51,51,51,51,2,51,51,51,10,4,1,51,6,51,51,51,51,51,51,51,51,51,51,51,51,51,5,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,51,51,51,51,1,,
51,2,51,51,51,51,51,51,9,51,51,51,51,10,51,51,51,3,51,51,51,4,51,51,51,51,51,1,51,51,51,51,51,7,51,51,51,51,51,51,51,5,51,51,51,6,8,51,51,51,51,,
51,2,51,51,51,40,40,40,40,40,40,40,40,40,40,51,40,9,40,40,40,10,40,40,40,40,51,1,51,4,51,40,40,3,40,8,40,7,11,51,40,40,40,40,40,40,51,40,6,5,40,,
42,5,19,30,37,29,49,9,28,16,43,38,50,8,34,31,23,4,44,26,17,6,47,10,51,39,13,1,35,7,46,45,22,3,33,11,27,12,15,48,32,24,18,41,2,21,36,40,20,25,14,,
51,3,51,51,51,51,51,51,51,51,51,51,51,49,51,51,51,7,43,51,15,5,51,51,51,48,51,1,51,30,51,51,4,2,51,6,51,51,35,51,51,51,51,51,10,51,51,51,25,51,51,,
51,3,51,51,51,51,51,51,51,51,20,51,51,11,19,51,51,10,51,6,51,4,49,51,50,21,51,1,51,8,51,17,5,2,51,9,51,51,14,51,16,15,51,51,12,51,51,13,7,18,51,,
38,1,40,44,39,20,43,18,25,30,47,36,26,27,32,46,16,7,37,23,10,2,31,21,49,9,45,3,19,5,48,22,13,4,14,6,51,29,11,42,28,24,17,37,12,50,33,15,8,35,34,,
51,2,24,51,51,51,51,32,34,51,51,51,44,4,22,51,3,28,51,11,25,22,51,51,51,51,42,1,51,3,51,30,23,9,51,15,51,14,35,51,32,38,17,40,16,51,51,29,51,25,39,,
51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,1,51,4,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,51,51,51,51,51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,4,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,5,51,51,51,51,51,51,51,51,51,1,51,51,51,51,51,2,51,3,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
51,3,51,51,51,51,51,51,12,51,51,51,51,51,51,51,51,1,51,51,51,8,51,51,51,51,51,4,51,2,51,5,9,6,51,7,51,51,51,51,51,11,51,51,51,51,51,51,51,51,51,,
51,29,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,15,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,
