rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
10,10,5,10,2,3,4,10,1,10,10.0,1.0
10,10,10,10,10,1,10,10,10,10,,
7,10,9,1,2,8,6,4,5,3,,
10,2,1,10,10,10,10,10,10,10,,
9,7,6,8,1,10,4,5,3,2,,
8,2,3,5,7,10,4,6,9,1,,
10,10,2,10,1,10,10,10,10,3,,
9,7,10,4,6,8,5,3,2,1,,
10,10,3,10,4,10,1,10,2,4,,
10,8,2,3,8,6,5,2,9,4,,
10,10,10,10,1,3,10,10,2,10,,
8,6,4,9,1,5,2,7,10,3,,
10,8,1,9,5,6,7,4,3,2,,
9,8,1,6,5,2,10,4,3,7,,
10,8,7,6,4,5,3,9,1,2,,
4,9,6,10,5,3,7,1,8,2,,
1,10,10,10,10,10,10,10,10,10,,
8,9,3,10,4,7,1,5,2,6,,
10,10,10,10,10,10,1,10,10,10,,
1,10,10,10,10,10,10,10,10,10,,
1,2,9,8,5,4,7,3,10,6,,
10,10,10,10,10,2,3,10,1,10,,
2,10,10,10,10,10,10,10,10,1,,
8,9,7,10,4,5,1,6,2,3,,
10,10,1,10,10,10,10,10,10,10,,
10,1,10,1,1,10,10,10,10,10,,
10,8,6,9,4,7,3,5,1,2,,
4,10,6,9,1,8,7,2,5,3,,
10,7,1,10,8,6,4,3,5,2,,
10,10,3,10,10,10,10,2,10,1,,
7,1,3,6,8,9,2,4,10,5,,
10,9,4,10,10,3,5,10,2,1,,
10,10,1,3,5,10,6,10,4,2,,
1,10,10,10,10,10,10,10,10,10,,
