rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,Num Cands,Num Seats
Skipped,Skipped,18,17,12,Skipped,Skipped,Skipped,14,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,Skipped,4,19,1,13,7,21,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,6,Skipped,Skipped,Skipped,3,Skipped,Skipped,5,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,16,11,9,Skipped,Skipped,Skipped,57.0,1.0
8,4,8,8,35,30,32,8,5,3,33,8,8,8,41,8,8,8,25,1,4,2,3,5,7,7,35,7,21,23,7,7,7,2,7,35,6,30,6,7,3,10,4,4,7,8,7,5,7,4,40,5,8,8,7,8,7,,
25,57,5,25,13,57,20,57,15,5,57,57,57,57,57,40,57,10,57,4,11,2,15,7,57,57,57,25,6,57,25,57,57,1,57,25,5,57,57,12,5,12,15,4,10,57,57,9,57,57,57,15,20,7,57,57,57,,
40,48,38,52,39,50,49,51,3,16,26,47,44,25,57,17,23,21,42,13,9,6,12,31,18,45,19,55,14,35,29,32,41,7,36,53,2,22,56,33,46,27,28,5,30,34,1,4,20,11,43,10,15,8,24,54,37,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,
35,33,24,16,13,34,22,30,8,8,39,26,52,46,43,57,31,52,52,2,18,3,14,7,17,25,45,55,8,48,37,38,52,1,41,27,6,19,52,22,5,20,32,7,29,36,56,17,42,49,47,12,21,3,44,28,40,,
57,57,10,2,13,57,8,57,11,5,57,57,57,57,57,57,57,57,57,19,12,16,20,3,57,57,57,57,9,57,57,57,57,18,57,57,17,57,57,57,14,57,57,1,57,57,57,15,57,7,57,6,57,4,57,57,57,,
47,38,17,19,13,21,30,48,12,9,29,31,57,42,51,49,32,41,35,3,15,1,18,7,23,27,53,28,11,50,20,45,54,3,43,52,5,26,56,34,1,25,22,6,24,36,40,14,55,46,39,16,10,8,33,44,37,,
21,23,13,34,24,44,53,57,9,11,42,35,51,19,56,30,8,45,26,4,29,1,17,12,36,49,15,55,38,37,41,50,Skipped,2,40,33,3,31,32,54,6,16,48,7,22,25,Skipped,5,43,39,47,14,10,18,20,27,46,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,2,57,57,14,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1,57,57,57,57,2,57,57,57,57,57,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1,57,57,57,57,57,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,
57,57,57,57,12,57,57,57,15,7,57,57,57,57,57,57,57,57,57,3,6,4,11,14,57,57,57,57,10,57,57,57,57,1,57,57,2,57,57,57,9,57,57,8,57,57,57,57,57,57,57,13,57,5,57,57,57,,
57,57,57,57,10,57,57,57,11,10,57,57,57,57,57,57,57,57,57,3,18,2,15,8,57,57,57,57,12,57,57,57,57,1,57,57,6,57,57,57,4,57,57,7,57,57,57,14,57,57,57,13,9,8,57,57,57,,
40,35,12,45,10,35,Skipped,15,9,12,55,35,55,55,55,55,45,45,35,5,10,2,10,8,15,40,55,20,7,40,55,35,50,1,40,40,4,45,45,30,6,20,45,7,15,25,55,6,55,40,55,10,15,9,40,55,40,,
45,30,15,25,10,25,7,35,9,9,35,30,40,40,50,50,10,45,40,3,15,1,15,9,25,25,50,55,9,55,45,55,40,2,40,45,6,30,50,35,4,25,20,5,25,25,55,15,45,30,50,15,20,10,35,50,30,,
57,57,57,57,57,57,57,57,57,57,39,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1,57,57,57,57,57,57,57,57,57,57,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,19,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,
43,55,11,35,10,22,30,51,9,8,37,36,47,29,45,53,31,52,21,3,38,1,15,13,19,28,46,56,6,20,23,27,44,2,34,57,4,48,49,33,7,32,41,5,25,40,54,14,50,16,42,12,17,18,39,26,24,,
42,33,12,15,11,22,4,35,16,14,37,41,52,36,30,51,28,53,46,3,13,2,26,21,25,20,54,50,9,38,56,49,32,1,19,55,6,40,44,47,7,43,27,5,18,39,57,31,23,29,45,24,10,8,34,48,17,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,
57,35,15,30,15,30,50,30,20,10,30,25,57,30,50,30,30,45,50,3,15,2,15,10,20,25,57,30,5,30,50,40,45,3,50,50,3,30,57,30,5,30,25,5,25,50,25,15,40,50,57,15,15,10,50,25,30,,
48,44,19,18,11,24,20,42,11,8,27,32,42,32,49,39,27,39,42,3,10,2,17,8,27,22,41,40,9,33,41,46,33,1,31,41,7,25,47,30,6,21,25,4,29,50,50,15,46,35,42,9,16,5,45,28,31,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,5,57,2,57,57,57,57,57,57,57,57,57,57,57,1,57,57,4,57,57,57,3,57,57,6,57,57,57,57,57,57,57,57,57,57,57,57,57,,
57,57,57,57,11,57,57,57,13,9,57,57,57,57,57,57,57,57,57,5,12,2,57,8,57,57,57,57,10,57,57,57,57,1,57,57,4,57,57,57,3,57,57,6,57,57,57,57,57,57,57,14,57,7,57,57,57,,
46,37,20,19,14,25,57,27,15,7,32,42,53,40,50,47,23,17,28,5,12,1,10,9,38,45,56,39,13,54,22,43,36,3,44,33,6,18,48,35,2,29,34,4,24,51,52,16,49,30,55,11,21,8,31,41,26,,
