rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,Num Cands,Num Seats
14,11,10,3,16,12,6,1,4,15,9,8,13,2,7,5,16.0,Unknown
10,6,4,1,16,3,15,8,2,9,7,14,5,12,11,13,,Unknown
6,16,16,3,4,5,16,16,2,16,1,16,16,16,16,16,,Unknown
16,16,16,3,16,16,16,16,1,16,2,16,16,16,16,16,,Unknown
15,5,4,2,16,6,9,10,1,12,3,11,7,8,10,10,,Unknown
8,14,13,2,12,15,6,3,1,11,7,5,16,4,10,9,,Unknown
16,16,16,1,4,16,16,16,3,16,2,16,16,16,16,16,,Unknown
11,15,13,2,16,12,3,5,1,8,7,6,14,4,10,9,,Unknown
10,12,15,4,16,14,3,9,1,11,5,2,13,7,8,6,,Unknown
15,13,12,1,16,11,7,4,2,14,3,6,10,8,9,5,,Unknown
10,10,10,2,16,14,9,8,4,5,7,3,15,1,13,6,,Unknown
7,14,15,1,16,13,6,11,3,4,8,2,12,10,5,9,,Unknown
9,7,6,8,16,14,2,5,3,15,4,1,13,11,12,10,,Unknown
9,13,4,2,15,3,14,11,1,10,5,16,12,6,8,7,,Unknown
10,13,9,3,16,14,6,12,1,13,5,11,15,7,4,8,,Unknown
14,13,12,2,15,10,5,6,3,16,4,1,11,8,7,9,,Unknown
14,13,15,1,16,12,7,4,2,10,5,3,11,6,9,8,,Unknown
4,16,14,6,15,12,13,7,1,2,9,8,11,3,10,5,,Unknown
7,12,13,9,16,14,1,6,8,11,10,2,15,4,5,3,,Unknown
4,12,14,3,16,15,11,2,1,9,7,10,13,5,8,6,,Unknown
10,15,13,3,16,11,5,7,1,14,2,9,12,8,4,6,,Unknown
5,16,16,4,16,16,6,2,3,16,8,16,16,2,2,5,,Unknown
14,10,5,2,16,4,12,7,3,6,1,13,9,15,8,11,,Unknown
2,15,7,3,16,13,8,6,4,12,1,9,14,11,10,5,,Unknown
5,11,9,2,16,10,15,8,1,4,6,7,12,3,14,13,,Unknown
12,14,13,1,16,10,2,7,4,15,6,8,11,5,9,3,,Unknown
9,15,15,2,16,15,4,6,1,10,5,3,15,7,11,8,,Unknown
16,16,16,2,16,16,4,16,3,15,16,16,16,1,16,16,,Unknown
10,15,14,8,16,12,4,1,6,11,8,3,13,2,5,7,,Unknown
13,6,5,8,10,3,11,14,2,1,7,9,4,15,12,16,,Unknown
15,10,13,4,16,12,5,1,2,14,9,3,11,6,8,7,,Unknown
