rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,Num Cands,Num Seats
31,31,31,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31.0,Unknown
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,Unknown
31,31,3,31,1,31,31,31,31,31,31,31,31,31,31,4,31,31,30,31,31,31,31,31,2,31,31,31,31,31,31,,Unknown
31,31,31,2,31,31,31,31,31,31,31,31,3,31,1,31,31,4,31,31,31,31,31,31,31,31,31,31,31,31,31,,Unknown
31,31,31,3,31,31,31,31,31,1,31,31,31,31,31,31,7,31,31,6,4,31,31,31,2,31,31,31,5,31,31,,Unknown
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,1,31,31,31,31,31,,Unknown
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,1,31,31,31,31,,Unknown
31,31,31,31,31,31,31,31,1,31,31,2,4,31,31,31,31,31,31,31,31,31,31,31,31,5,31,31,31,3,31,,Unknown
31,31,31,1,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,4,31,31,31,31,31,31,2,31,31,31,31,,Unknown
31,31,6,31,31,31,5,31,31,31,3,1,31,31,31,31,2,31,31,31,31,31,31,31,31,31,4,31,31,31,31,,Unknown
31,31,31,31,31,31,31,31,31,2,3,31,31,31,31,31,31,31,31,31,31,31,1,31,31,31,31,31,4,31,31,,Unknown
31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1,31,,Unknown
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,1,31,,Unknown
31,11,1,28,31,25,17,27,4,14,12,3,26,31,21,30,18,24,23,2,15,7,6,5,9,29,18,20,13,9,16,,Unknown
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,1,31,31,31,31,,Unknown
31,31,2,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,Unknown
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,1,,Unknown
31,8,3,31,9,6,31,31,31,31,31,2,10,31,31,31,5,1,31,31,31,31,31,31,31,31,31,31,31,31,31,,Unknown
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,1,31,31,31,31,31,31,31,31,31,31,31,,Unknown
31,31,31,4,31,31,31,31,31,31,31,31,31,31,31,31,2,5,3,31,31,31,31,31,31,31,31,31,1,31,31,,Unknown
31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,Unknown
