rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,Num Cands,Num Seats
21,21,21,1,4,1,21,21,21,21,21,21,21,21,21,21,2,21,2,21,3,21.0,1.0
21,21,1,21,3,4,21,21,21,21,21,2,21,21,21,21,21,21,21,21,21,,
21,3,21,10,9,5,7,2,21,21,21,11,8,4,21,21,1,21,21,6,21,,
5,21,15,9,3,10,19,4,7,14,16,17,13,11,6,18,8,20,1,2,12,,
21,6,21,21,2,21,21,21,21,3,21,21,21,21,21,4,1,21,5,21,21,,
21,5,21,21,2,1,21,21,4,21,21,4,6,21,21,1,1,21,21,21,21,,
18,5,8,4,20,15,17,9,2,13,12,10,11,16,7,3,6,14,21,1,19,,
21,21,5,21,21,1,21,21,21,2,21,21,21,21,21,3,4,6,21,21,21,,
21,21,21,21,21,21,21,21,21,21,21,2,21,21,21,21,21,1,21,21,21,,
13,13,4,1,14,14,19,13,13,14,20,3,2,5,15,14,21,13,13,13,6,,
21,21,5,21,21,1,21,4,21,21,3,21,21,7,21,21,6,21,21,2,21,,
13,8,10,14,4,17,1,7,11,16,19,15,20,3,18,21,2,5,6,12,9,,
8,19,7,15,21,5,15,3,11,15,6,18,12,15,10,15,1,9,4,2,20,,
21,21,4,21,2,21,21,21,21,4,21,21,21,21,21,1,3,21,21,21,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
15,16,5,12,2,6,20,3,10,1,21,9,13,4,19,7,11,14,17,8,18,,
1,1,21,21,1,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,,
17,8,6,3,7,2,11,15,19,5,21,16,1,18,4,10,14,20,9,12,13,,
21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,,
15,21,1,1,1,1,21,10,10,10,15,1,1,15,15,19,10,15,15,10,10,,
2,1,6,21,5,21,21,21,21,21,21,21,5,21,7,3,4,21,21,21,21,,
18,6,11,2,1,3,15,16,10,20,9,7,13,17,12,5,4,8,9,14,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,2,21,21,21,1,21,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,2,21,21,,
2,21,4,21,3,2,21,21,21,21,21,21,21,21,21,21,1,21,21,5,21,,
21,21,3,21,21,21,21,21,21,21,21,21,21,2,21,4,1,21,21,21,21,,
21,21,21,21,21,2,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,,
19,21,21,20,5,1,20,10,6,7,2,20,21,20,21,20,2,21,18,21,2,,
18,18,2,18,3,4,18,8,19,1,21,18,18,20,18,6,5,18,7,18,18,,
5,21,21,21,21,21,3,2,21,21,21,21,21,21,21,21,21,6,1,21,4,,
21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,2,21,,
18,1,19,21,8,5,7,6,12,15,3,14,9,13,16,2,11,4,10,20,17,,
1,21,6,21,21,4,21,21,21,21,21,5,3,7,21,21,2,21,21,21,21,,
21,21,21,21,21,21,21,21,21,21,3,21,21,21,21,21,2,4,21,21,1,,
14,15,2,3,1,3,13,6,4,1,21,12,7,5,17,9,3,16,10,8,11,,
21,2,21,4,21,21,21,21,21,21,21,21,21,21,21,21,3,21,21,1,21,,
21,21,21,21,3,21,21,6,21,21,1,21,21,21,21,21,21,21,21,21,21,,
1,20,3,4,6,5,20,20,20,20,21,20,20,20,20,20,2,20,20,20,20,,
21,21,1,21,21,21,21,21,21,21,21,21,21,2,21,21,21,21,21,21,21,,
7,7,8,13,1,18,13,4,16,17,3,11,8,10,11,15,16,6,19,12,20,,
10,11,7,21,2,5,21,21,9,21,21,21,3,21,21,21,4,1,6,8,12,,
21,21,21,2,3,1,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,,
2,21,21,21,21,2,21,21,21,21,21,21,1,21,21,1,2,21,21,21,21,,
18,19,8,17,1,10,14,6,20,5,11,16,15,9,13,4,7,12,2,3,21,,
21,21,21,21,2,3,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,,
21,21,21,21,21,1,21,21,21,21,21,21,2,21,21,21,21,21,21,21,21,,
