rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,Num Cands,Num Seats
1,10,9,2,5,6,7,3,4,8,10.0,1.0
10,10,10,1,10,10,10,10,10,10,,
1,10,1,10,10,10,10,10,1,10,,
10,10,10,10,10,10,10,1,10,10,,
6,7,4,9,10,2,5,1,8,3,,
2,8,10,1,9,4,3,5,6,7,,
2,3,8,6,7,5,9,4,1,10,,
3,7,5,6,10,9,4,2,1,8,,
3,8,2,5,4,7,6,1,10,9,,
10,10,5,2,1,10,4,3,10,10,,
1,10,2,10,10,10,10,10,10,10,,
10,10,10,1,10,10,10,10,10,10,,
8,6,4,9,3,7,2,1,5,10,,
10,10,10,2,10,1,10,10,3,10,,
8,9,2,6,3,1,4,5,7,10,,
3,6,7,8,4,6,1,2,5,10,,
6,4,8,10,3,5,9,2,1,7,,
10,2,10,10,10,10,10,10,1,10,,
7,9,5,1,4,3,2,10,6,8,,
5,2,5,1,10,10,10,7,3,4,,
2,8,5,1,4,6,10,7,9,3,,
10,10,3,1,7,5,2,6,10,4,,
2,6,7,1,8,5,3,4,9,10,,
10,10,10,3,10,10,1,2,10,10,,
10,4,9,2,7,6,3,1,5,8,,
9,7,8,2,5,4,1,6,3,10,,
7,5,9,2,6,3,1,4,8,10,,
10,10,10,10,10,10,2,1,10,10,,
7,8,3,6,2,5,9,1,4,10,,
6,3,5,2,8,7,1,9,4,10,,
1,10,10,10,10,10,10,10,10,10,,
3,5,8,10,1,1,4,2,6,7,,
8,10,1,6,7,5,9,4,3,2,,
8,7,10,5,1,6,2,9,3,4,,
10,10,10,3,10,2,10,1,10,10,,
1,6,2,9,4,10,8,3,5,7,,
10,10,10,10,10,10,1,10,10,10,,
5,9,6,3,4,7,1,2,10,8,,
6,9,2,3,1,5,4,7,8,10,,
10,10,10,10,10,10,10,10,10,1,,
