rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,Num Cands,Num Seats
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57.0,1.0
57,57,57,3,7,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,6,57,8,57,57,57,57,1,57,57,57,57,57,57,57,2,57,57,57,57,57,57,4,57,5,57,,
57,1,5,57,57,57,57,57,57,57,57,7,57,57,57,57,4,57,57,3,5,57,57,57,57,3,57,2,57,57,57,57,57,57,57,57,57,57,57,57,57,57,6,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,2,57,57,57,57,57,57,57,57,57,57,57,57,57,4,57,1,57,57,3,57,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,
57,57,2,57,57,57,57,57,57,7,57,57,57,57,57,57,6,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,4,57,57,57,57,57,57,57,57,5,57,1,57,57,57,57,3,57,57,57,57,,
57,13,57,18,57,14,2,57,11,20,57,3,23,15,57,17,19,57,57,7,10,22,57,57,57,12,57,8,57,9,57,57,16,57,57,57,57,57,21,57,57,57,57,57,57,57,57,57,57,57,6,57,57,57,57,4,1,,
57,57,57,57,57,11,57,57,57,57,57,57,57,57,57,57,57,57,4,7,4,57,57,57,9,57,57,57,57,4,57,57,57,57,57,57,7,57,57,57,11,57,2,57,57,57,57,57,57,57,1,57,3,57,57,9,11,,
4,2,4,11,Skipped,Skipped,3,Skipped,Skipped,9,12,8,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,3,5,Skipped,Skipped,Skipped,5,Skipped,Skipped,3,Skipped,4,Skipped,Skipped,5,3,Skipped,Skipped,3,Skipped,4,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,11,2,5,Skipped,1,Skipped,2,3,Skipped,4,4,,
57,57,57,57,57,1,2,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,1,,
57,2,57,57,57,3,19,57,57,57,57,31,57,57,57,57,57,57,57,57,15,57,57,57,57,57,57,57,57,9,57,57,57,57,57,57,6,57,57,57,57,49,55,57,57,57,57,57,57,57,4,11,7,41,57,5,1,,
57,3,5,57,21,13,10,57,57,25,57,57,27,8,57,14,57,29,26,1,32,57,57,57,30,16,57,9,28,20,57,57,11,57,57,57,2,57,31,57,57,57,22,19,57,18,15,6,24,57,4,57,57,23,57,17,7,,
57,57,7,57,15,5,57,57,57,57,57,3,57,57,57,57,57,57,9,13,57,57,57,57,6,57,8,57,57,17,57,57,22,10,57,57,57,57,12,16,11,57,1,57,57,19,14,57,23,57,4,18,2,20,57,21,57,,
50,1,35,29,29,53,36,50,43,47,52,5,54,50,41,40,43,51,41,2,29,48,52,53,48,51,33,3,40,45,51,27,57,48,43,49,38,29,30,46,36,53,10,46,34,46,26,32,24,36,5,36,38,30,37,3,45,,
7,33,4,57,35,29,52,31,5,27,42,2,12,12,48,41,56,55,43,12,16,18,20,46,37,17,38,6,30,1,27,32,18,23,44,45,26,52,49,19,52,40,13,47,39,55,25,16,16,25,3,24,36,34,18,52,28,,
