rank1,rank2,rank3,rank4,rank5,Num Cands,Num Seats
3,1,5,4,2,5.0,Unknown
3,1,5,4,2,,Unknown
4,1,5,3,2,,Unknown
3,2,4,5,1,,Unknown
5,5,1,5,5,,Unknown
3,2,5,4,1,,Unknown
3,4,2,1,5,,Unknown
1,4,2,5,3,,Unknown
2,3,5,4,1,,Unknown
5,2,4,3,1,,Unknown
1,3,5,5,2,,Unknown
5,3,4,1,2,,Unknown
4,5,2,1,3,,Unknown
3,5,1,2,4,,Unknown
1,3,2,5,4,,Unknown
5,4,1,2,3,,Unknown
3,4,1,2,4,,Unknown
3,5,1,2,4,,Unknown
3,5,1,2,4,,Unknown
3,1,5,4,2,,Unknown
5,5,5,5,5,,Unknown
5,5,2,1,5,,Unknown
5,3,5,5,1,,Unknown
5,4,2,1,4,,Unknown
2,3,1,4,5,,Unknown
5,4,2,1,3,,Unknown
1,5,2,3,4,,Unknown
1,3,2,5,4,,Unknown
5,5,5,1,5,,Unknown
3,1,4,5,2,,Unknown
1,5,2,3,4,,Unknown
3,5,1,2,4,,Unknown
4,5,2,1,3,,Unknown
1,5,3,2,4,,Unknown
3,2,5,4,1,,Unknown
3,4,2,1,5,,Unknown
1,1,2,4,3,,Unknown
5,5,5,5,5,,Unknown
3,5,1,2,5,,Unknown
2,5,1,3,4,,Unknown
5,5,5,5,1,,Unknown
3,2,5,4,1,,Unknown
3,2,4,5,1,,Unknown
5,3,2,1,4,,Unknown
5,5,3,1,5,,Unknown
3,2,4,5,1,,Unknown
3,5,1,5,5,,Unknown
5,2,5,5,1,,Unknown
3,2,5,5,1,,Unknown
5,4,2,1,3,,Unknown
