rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,Num Cands,Num Seats
11,12,6,1,10,5,3,8,13,7,9,4,14,2,14.0,1.0
14,2,14,14,1,14,2,14,14,14,14,14,14,14,,
12,5,1,13,11,4,14,7,3,6,10,8,2,9,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
12,14,13,9,7,5,6,10,8,4,2,3,11,1,,
14,14,14,14,14,14,14,14,14,14,14,1,14,14,,
10,4,9,5,14,2,12,7,8,6,3,13,11,1,,
14,14,14,14,14,14,14,14,14,14,14,14,14,1,,
5,14,14,3,14,4,2,14,14,14,6,14,14,1,,
14,5,4,14,14,14,14,2,14,14,14,14,1,3,,
10,7,2,13,3,6,14,4,12,11,5,8,1,9,,
14,14,14,14,14,2,14,14,5,14,1,3,4,6,,
14,3,14,14,14,2,14,14,14,14,14,14,14,1,,
12,6,9,14,11,4,14,8,5,10,2,3,7,1,,
11,7,14,9,12,3,10,4,6,13,5,2,1,8,,
14,6,5,14,4,6,1,14,14,7,14,3,14,14,,
10,11,8,3,1,5,2,14,9,6,13,12,7,4,,
14,14,14,14,14,14,14,14,14,14,14,14,14,1,,
5,10,4,1,6,12,8,2,11,14,7,3,13,9,,
14,14,14,14,14,14,14,14,14,14,14,14,14,1,,
8,10,11,1,5,14,3,7,9,6,4,2,12,13,,
2,9,1,3,4,7,12,14,8,13,6,10,11,5,,
7,4,11,12,9,5,6,10,13,14,8,3,2,1,,
2,4,11,6,8,12,10,13,7,3,5,9,1,14,,
14,14,14,14,14,14,14,14,14,14,14,14,14,1,,
14,14,14,14,14,3,14,14,14,14,2,14,14,1,,
13,1,13,13,13,13,13,13,13,13,13,2,13,14,,
6,12,3,2,5,14,1,8,10,9,11,4,7,13,,
3,6,10,1,12,2,8,14,9,7,13,4,11,5,,
13,13,13,13,13,1,13,13,2,13,13,13,13,14,,
14,11,7,3,14,14,2,14,14,9,1,8,14,10,,
5,14,14,14,14,3,14,14,14,4,1,2,14,14,,
14,14,14,14,14,14,14,14,14,14,14,14,14,1,,
14,4,14,14,14,5,6,14,14,4,1,1,14,2,,
12,8,5,6,14,7,3,13,11,4,9,1,2,10,,
11,9,13,6,8,10,12,4,7,4,1,3,14,2,,
12,10,8,11,13,5,1,14,9,7,2,4,6,3,,
