rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,Num Cands,Num Seats
26,26,26,26,26,26,2,3,9,6,26,26,5,26,26,4,1,26,7,26,26,26,26,26,26,26,26.0,1.0
25,25,7,1,25,25,6,25,3,25,5,25,25,8,25,25,25,25,25,25,2,26,25,25,25,4,,
26,26,26,26,26,26,26,26,26,26,15,26,26,26,10,26,1,26,26,26,26,26,26,10,9,26,,
26,26,26,2,26,1,26,26,5,26,26,26,3,26,4,26,6,26,26,26,26,26,26,26,7,26,,
26,26,26,5,26,2,26,6,26,26,26,26,26,26,26,3,26,26,26,26,26,26,1,26,4,26,,
2,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,3,2,26,26,26,26,26,26,9,26,26,26,26,26,26,17,26,26,4,26,26,26,8,1,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,2,26,1,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,6,26,26,13,12,26,26,1,11,26,26,10,26,7,2,8,26,14,26,5,4,9,3,15,26,,
26,9,26,2,26,7,11,1,6,15,26,26,3,8,5,11,26,26,14,26,12,4,26,26,26,14,,
8,26,26,26,26,18,6,2,16,3,26,10,17,11,14,12,5,26,13,20,1,4,15,26,9,7,,
26,26,3,26,26,4,26,1,26,26,6,26,26,26,5,26,7,26,26,26,2,8,26,26,10,9,,
8,17,25,6,23,3,13,24,14,1,26,21,9,19,11,4,12,15,18,10,2,5,7,22,20,16,,
10,16,17,10,9,6,15,25,4,1,14,26,12,11,3,7,23,22,5,18,24,8,13,21,19,20,,
26,26,5,26,26,26,26,26,26,26,4,26,26,2,26,26,3,26,26,26,26,26,26,26,26,1,,
26,26,26,26,26,26,26,26,26,26,26,26,26,3,26,26,1,26,26,26,26,26,2,26,26,26,,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,,
8,3,23,5,21,20,11,18,2,20,24,9,12,19,4,15,10,26,16,25,6,1,17,14,7,22,,
15,26,24,26,20,26,26,26,26,26,16,26,26,26,26,26,26,1,26,26,26,26,26,16,24,20,,
3,26,26,26,26,26,5,26,26,4,26,26,26,26,26,26,6,26,7,26,1,2,26,26,26,26,,
1,26,26,26,26,26,26,1,26,1,26,26,26,26,26,26,1,26,26,26,26,26,1,26,26,26,,
26,4,26,1,26,26,26,26,3,26,26,26,26,2,6,26,25,26,26,26,26,5,26,26,26,26,,
26,19,6,7,23,24,3,1,9,25,11,20,14,8,10,15,2,17,12,5,13,16,21,18,22,4,,
26,26,26,26,26,26,26,26,2,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,3,2,26,26,26,26,4,26,26,26,26,26,26,26,26,26,26,26,5,26,26,26,6,1,,
26,26,26,26,26,26,26,1,5,26,26,26,26,26,26,26,2,26,7,26,4,3,26,26,6,26,,
26,26,26,26,26,26,1,26,26,26,26,26,26,2,26,26,1,26,26,26,26,26,26,26,26,26,,
18,25,22,6,24,15,7,11,3,14,23,8,5,2,20,19,12,13,26,21,1,4,10,16,9,17,,
3,26,26,4,26,2,26,26,26,26,26,26,26,5,26,26,1,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,1,26,26,26,26,26,26,5,26,26,26,26,26,2,26,3,26,4,26,26,26,,
26,13,26,6,26,26,7,1,9,26,26,12,13,3,8,16,18,10,2,26,15,17,5,26,4,11,,
26,13,23,2,24,22,5,16,8,20,3,17,11,4,6,7,18,19,9,15,1,12,25,21,14,10,,
3,5,10,1,10,1,15,15,1,15,5,3,15,1,10,10,5,10,15,15,1,1,10,5,1,10,,
19,14,23,4,15,1,18,9,5,10,26,16,13,3,12,7,20,22,11,25,2,6,8,21,17,24,,
8,9,8,8,13,1,8,26,8,13,2,13,7,6,9,1,9,3,9,7,20,8,17,13,10,7,,
26,26,26,3,26,26,26,26,26,26,26,26,6,26,26,26,5,26,26,26,1,2,26,26,26,26,,
26,10,7,18,22,1,21,9,8,26,23,15,4,16,11,1,22,5,13,12,3,10,14,19,20,6,,
24,18,3,17,24,15,10,26,5,24,2,6,8,4,13,11,16,14,25,24,9,12,24,19,7,1,,
26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,2,26,3,26,26,26,26,26,26,26,26,,
13,26,26,26,15,14,7,26,1,12,26,5,14,6,11,26,9,26,10,26,2,4,8,26,16,26,,
23,13,12,26,19,1,9,14,6,20,23,21,25,16,22,2,5,10,6,12,8,17,3,18,7,11,,
26,26,26,26,26,26,5,26,1,26,26,26,6,7,23,26,2,3,26,26,26,26,26,26,26,26,,
2,26,26,2,26,2,10,26,1,1,26,26,26,13,11,26,1,26,26,26,1,1,26,26,2,12,,
26,26,26,26,26,1,26,2,26,26,26,26,5,26,26,3,26,4,26,26,26,26,26,26,26,26,,
5,26,26,26,26,26,26,4,26,26,26,26,26,26,1,26,2,26,26,26,26,26,3,26,26,26,,
19,3,14,7,18,16,12,25,2,22,20,5,23,8,1,15,9,21,26,24,13,4,11,17,6,10,,
26,26,7,3,13,26,2,16,18,26,17,15,26,1,11,6,12,8,4,10,9,26,26,26,14,5,,
26,26,1,6,26,26,26,26,7,26,26,26,26,26,8,26,26,26,4,26,3,5,26,26,9,2,,
26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
17,14,19,2,23,22,11,20,3,26,25,16,13,9,8,21,5,24,10,18,1,6,4,7,15,12,,
26,26,26,3,26,26,4,26,12,26,26,1,26,13,6,26,8,10,11,9,5,26,26,26,2,7,,
26,26,26,3,26,2,26,3,26,26,26,26,3,1,26,26,26,3,26,26,3,26,26,26,3,26,,
26,26,26,4,26,1,26,26,26,26,26,26,26,26,26,2,26,3,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,2,26,26,26,26,26,26,26,26,26,26,26,26,26,1,26,26,26,,
26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,3,26,26,26,26,1,26,26,26,26,26,2,26,26,26,26,26,26,26,,
26,26,26,26,26,26,26,26,26,1,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,
26,26,26,26,26,1,6,26,26,26,26,26,26,26,26,2,4,3,26,26,26,5,26,26,26,26,,
20,4,22,12,25,9,13,6,3,14,15,18,2,17,24,7,21,10,19,16,5,1,8,23,11,26,,
