rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,Num Cands,Num Seats
3,16,21,42,24,42,19,1,17,23,38,40,42,22,15,33,42,16,12,41,42,20,42,39,25,14,35,13,42,7,6,9,4,42,8,10,37,2,36,18,34,42,42.0,1.0
42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,2,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,6,42,42,42,42,42,5,42,42,42,42,42,42,4,3,,
42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,3,42,42,42,42,2,42,42,42,42,,
41,1,28,16,35,19,39,11,34,40,24,22,33,20,4,7,36,2,17,18,23,32,3,42,21,25,29,13,31,9,5,26,6,37,8,14,10,12,15,27,38,30,,
12,41,28,18,24,29,1,38,30,37,40,35,26,33,31,36,9,11,15,10,3,19,5,32,34,22,6,25,17,16,20,2,7,13,4,14,42,27,39,21,8,23,,
42,42,42,41,42,42,42,42,42,42,42,4,42,42,42,42,42,42,42,42,42,40,42,42,2,42,42,42,42,42,42,42,1,42,42,42,42,3,42,42,42,42,,
42,1,42,42,42,1,3,42,42,42,42,8,42,42,42,42,42,42,42,42,3,42,42,42,6,42,42,42,10,4,42,42,42,42,42,42,42,42,42,42,7,42,,
41,1,35,31,3,1,1,2,42,13,42,42,35,42,1,1,2,2,1,2,15,40,42,1,13,41,3,40,28,15,1,41,20,40,1,2,42,42,20,13,13,42,,
24,24,24,24,24,38,24,24,33,24,31,24,31,24,24,24,33,24,24,38,24,24,31,24,24,38,24,39,24,27,24,32,24,42,25,34,24,28,42,24,42,27,,
17,11,33,28,15,13,9,11,41,1,40,31,42,8,7,42,36,7,11,11,33,21,42,26,17,11,2,37,42,13,5,5,5,38,10,8,18,4,7,3,24,42,,
1,6,41,40,40,40,40,40,40,40,40,40,40,40,40,42,40,40,14,40,40,40,40,40,40,40,40,40,40,40,33,40,40,40,40,40,40,40,40,40,40,40,,
5,38,38,38,38,35,38,38,34,40,6,1,38,15,38,33,38,38,39,38,41,38,42,38,38,38,9,38,38,3,24,4,38,38,2,38,28,38,38,22,38,38,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
7,24,27,27,29,31,1,27,2,29,28,2,27,41,28,28,24,26,26,27,27,30,26,5,3,41,4,29,28,26,27,25,26,28,28,27,8,27,26,27,27,26,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
7,26,42,19,34,17,24,6,42,1,42,20,42,1,2,42,42,2,6,1,42,30,42,6,42,1,26,42,42,16,2,14,8,42,3,2,42,8,35,25,42,42,,
5,2,40,30,20,1,30,5,40,10,30,10,40,30,10,40,40,20,20,20,40,30,40,30,5,30,20,3,10,10,20,25,10,5,10,20,30,10,40,30,10,5,,
42,42,42,42,42,42,2,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,4,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2,42,42,42,42,42,42,42,42,42,42,42,42,42,3,,
36,2,40,38,1,3,1,1,42,9,42,42,42,41,4,8,28,4,1,3,38,40,42,2,28,38,4,41,38,25,1,38,10,38,1,1,42,10,12,38,28,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1,2,42,42,42,42,42,42,,
23,5,23,23,23,23,23,23,42,23,23,1,23,23,23,23,23,23,23,23,23,23,23,23,2,23,23,23,23,23,23,23,3,23,4,23,23,6,23,23,23,23,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
12,42,5,2,18,10,17,4,42,1,42,1,42,42,14,42,42,42,15,42,42,42,3,42,42,42,13,11,42,2,16,42,9,42,7,42,42,6,42,15,19,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
23,6,23,23,8,23,7,23,1,16,15,4,23,23,8,23,23,8,23,8,23,16,23,8,8,23,16,8,23,23,5,23,2,16,23,16,23,3,16,23,16,23,,
42,7,42,42,42,42,42,42,42,42,5,1,42,42,42,42,42,42,42,42,42,6,42,42,2,42,42,42,42,42,42,42,4,42,42,42,42,3,42,42,42,42,,
8,23,42,23,42,8,16,4,42,3,42,14,42,42,2,42,42,2,6,1,42,23,42,3,42,1,23,42,42,11,3,12,6,42,1,2,42,5,42,42,42,42,,
42,42,2,42,42,42,11,42,14,12,42,9,13,42,6,42,17,15,42,3,42,42,42,8,1,42,42,42,42,7,5,42,16,42,42,4,42,42,10,42,42,42,,
41,42,42,42,42,42,42,42,42,42,42,42,36,42,42,42,42,11,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,30,42,42,42,42,42,26,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1,42,42,1,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,3,42,2,42,42,42,1,42,4,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,5,42,42,42,42,42,42,42,42,42,,
3,7,5,33,4,26,22,19,22,6,27,1,15,24,27,41,19,16,14,19,40,8,39,2,21,31,29,18,24,30,33,20,36,28,38,19,42,34,27,17,17,16,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
42,10,42,42,42,42,42,1,42,42,42,5,42,42,42,42,42,42,2,42,3,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,
