rank1,rank2,rank3,Num Cands,Num Seats
3,1,3,3.0,Unknown
3,1,2,,Unknown
2,3,1,,Unknown
1,1,1,,Unknown
2,3,1,,Unknown
3,1,2,,Unknown
1,2,2,,Unknown
1,3,2,,Unknown
1,2,3,,Unknown
2,1,3,,Unknown
1,2,3,,Unknown
3,1,2,,Unknown
1,2,3,,Unknown
2,1,3,,Unknown
2,3,1,,Unknown
2,3,1,,Unknown
1,3,3,,Unknown
2,3,1,,Unknown
3,3,3,,Unknown
2,3,1,,Unknown
3,1,2,,Unknown
1,2,3,,Unknown
1,2,3,,Unknown
2,3,1,,Unknown
1,3,2,,Unknown
1,3,2,,Unknown
3,2,1,,Unknown
3,3,1,,Unknown
3,1,2,,Unknown
3,3,3,,Unknown
1,3,2,,Unknown
1,3,2,,Unknown
2,1,2,,Unknown
3,2,1,,Unknown
2,3,1,,Unknown
3,2,1,,Unknown
