rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,Num Cands,Num Seats
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,6,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110.0,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,4,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,3,110,110,7,110,110,110,110,110,110,110,110,110,5,110,110,110,110,110,110,7,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,,Unknown
110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,4,110,110,110,110,2,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,9,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,6,110,110,110,110,110,110,110,110,110,110,7,110,110,110,10,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,5,110,110,110,110,110,4,110,110,110,110,110,110,110,8,110,110,110,110,110,110,110,2,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,5,110,110,110,110,110,110,110,110,110,110,110,6,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,4,110,110,110,110,110,110,1,,Unknown
110,110,110,4,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,7,110,110,110,110,110,110,110,110,110,110,110,110,10,110,110,12,110,110,110,110,110,110,110,2,110,110,110,9,110,110,110,110,1,110,110,110,110,110,110,110,110,110,11,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,13,110,110,110,110,110,110,110,110,8,110,110,110,14,110,110,110,110,110,110,6,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,6,110,110,110,110,5,110,110,110,110,110,7,110,110,110,110,110,110,110,110,110,110,110,110,110,3,10,110,110,110,110,110,110,110,110,110,110,110,12,110,11,110,110,110,110,110,9,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,8,110,110,110,110,1,110,110,110,110,110,4,110,110,110,110,2,,Unknown
3,110,110,110,110,110,110,14,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,6,110,110,110,110,110,110,110,110,110,19,110,110,8,110,110,7,110,110,110,110,110,110,110,13,16,110,110,12,110,17,6,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,14,110,110,110,110,110,110,110,110,10,110,110,110,15,20,110,110,4,110,110,110,110,11,110,110,2,110,110,110,5,110,110,110,9,,Unknown
7,110,110,12,110,24,20,110,110,110,110,110,21,110,110,110,110,110,110,110,110,110,110,10,110,110,17,110,22,110,110,110,110,110,110,110,110,110,110,110,110,23,110,110,110,9,110,110,110,19,110,110,110,110,110,110,11,110,4,5,110,1,110,6,110,110,14,110,110,110,110,110,110,110,110,110,110,110,18,110,110,110,110,110,110,8,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,3,13,110,110,16,25,110,110,15,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,8,110,3,110,110,110,110,110,110,7,11,110,9,110,110,110,110,110,110,13,110,110,110,4,110,6,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,12,110,1,8,110,110,110,110,110,110,110,110,110,110,,Unknown
5,110,110,14,110,110,110,110,17,110,110,110,110,110,110,110,110,18,16,110,110,110,110,20,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,21,8,110,110,110,110,110,110,110,110,110,110,2,110,10,9,110,1,110,7,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,6,110,19,110,110,110,110,110,3,110,110,110,110,110,110,110,4,110,110,15,13,110,11,110,12,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,110,110,110,,Unknown
110,110,110,24,26,14,110,110,110,110,25,110,9,13,110,110,91,110,110,110,21,19,110,110,110,110,110,20,7,27,110,110,110,110,1,101,110,110,4,110,23,9,110,8,110,110,110,110,3,95,110,91,22,110,110,102,110,110,100,110,91,110,9,110,2,110,110,110,110,110,110,110,110,80,92,110,110,110,91,110,110,110,110,110,110,110,110,110,110,18,110,110,5,100,110,110,6,110,8,110,99,110,110,110,110,90,17,110,15,16,,Unknown
