rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,Num Cands,Num Seats
14,7,27,15,8,6,9,27,27,27,27,12,13,27,27,5,2,11,4,27,10,27,27,27,1,27,3,27.0,1.0
27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,2,27,27,27,27,27,27,27,27,,
1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,27,5,27,2,27,27,27,27,27,27,27,27,27,27,6,1,27,4,27,3,27,27,27,27,27,27,,
25,25,25,25,25,7,25,25,11,15,25,9,25,27,25,5,1,3,17,25,25,25,25,25,25,25,13,,
16,16,5,27,16,1,9,16,2,9,16,27,24,9,9,2,5,24,9,9,2,16,16,9,16,5,5,,
6,27,27,27,27,27,7,27,27,27,27,27,9,27,27,2,27,27,3,4,1,27,27,27,5,8,10,,
16,1,17,24,13,2,27,9,11,25,26,3,7,23,10,22,5,4,15,20,12,21,19,18,6,8,14,,
17,8,5,10,15,3,19,24,21,16,22,6,25,14,23,13,9,2,26,1,11,18,27,7,12,20,4,,
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,2,3,3,2,3,3,3,3,3,2,,
27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,,
25,25,25,25,1,1,1,25,25,25,25,1,26,25,25,25,25,1,25,25,25,25,25,1,25,25,1,,
27,3,27,27,27,27,1,27,2,5,27,27,27,27,27,27,4,27,6,27,27,27,27,27,27,27,27,,
27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,2,27,27,27,3,27,27,27,27,27,27,,
24,9,4,24,1,26,10,24,12,24,24,3,27,9,24,24,2,9,25,11,24,11,24,9,9,11,24,,
27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,3,27,27,27,27,2,27,27,27,27,27,27,,
27,1,27,27,27,3,27,27,27,27,2,27,27,27,27,27,4,27,27,27,27,27,27,27,27,27,27,,
13,21,7,17,25,1,3,12,16,6,20,4,11,23,19,8,14,26,5,9,2,15,22,18,10,27,24,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,,
26,26,4,26,7,2,6,26,26,25,26,3,26,26,26,26,1,27,26,26,5,26,26,26,26,26,26,,
2,24,27,27,27,4,27,27,27,27,27,23,27,25,27,27,27,1,27,27,27,22,27,27,26,21,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,,
27,27,27,27,27,27,27,4,27,6,3,27,27,27,27,5,1,27,27,27,27,27,27,27,2,27,27,,
27,27,27,27,27,2,27,27,27,27,27,27,27,27,27,27,27,27,3,27,1,27,27,27,27,27,27,,
