rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,Num Cands,Num Seats
4,11,1,3,11,11,11,11,11,11,2,11.0,1.0
3,11,1,11,11,11,11,11,11,2,11,,
11,2,11,11,3,11,11,11,11,1,11,,
3,11,1,9,5,7,4,10,8,6,2,,
1,9,3,4,8,10,5,11,6,2,7,,
6,5,11,11,4,11,11,2,11,1,3,,
4,3,2,6,9,10,5,8,11,1,7,,
11,11,2,11,11,11,11,11,11,1,11,,
7,5,2,6,4,8,3,10,11,1,9,,
11,11,2,11,11,11,11,3,11,1,4,,
1,5,4,8,6,10,7,9,10,3,2,,
6,7,1,1,9,11,10,8,5,1,1,,
5,9,1,2,11,8,4,6,10,3,7,,
1,2,11,11,3,11,11,11,11,11,11,,
11,11,4,11,11,11,5,2,11,1,3,,
2,10,3,10,4,10,6,10,11,5,1,,
11,11,11,4,5,11,11,3,11,1,2,,
2,11,1,3,11,11,5,11,11,4,11,,
11,5,3,2,11,11,11,4,11,1,11,,
11,3,11,4,11,11,11,2,11,1,11,,
4,6,2,1,8,7,10,9,11,5,3,,
5,11,3,4,6,11,7,11,11,1,2,,
1,11,11,11,11,11,11,11,11,11,11,,
1,11,11,11,4,11,11,11,11,2,3,,
4,10,2,8,3,9,6,5,11,1,7,,
1,11,4,2,5,11,8,6,11,3,7,,
4,11,3,11,11,11,11,11,11,1,2,,
11,1,11,11,11,2,11,3,11,11,11,,
6,3,10,11,8,5,2,9,4,7,1,,
1,6,10,4,3,11,9,7,8,2,5,,
3,7,6,5,2,8,4,9,11,1,10,,
2,3,1,10,5,11,8,6,9,4,7,,
7,4,3,3,2,7,5,3,2,1,2,,
11,11,2,11,3,11,11,11,11,1,4,,
6,8,2,5,3,10,4,11,9,1,7,,
11,11,11,11,11,11,11,11,11,1,11,,
2,10,5,1,6,8,7,9,11,4,3,,
2,7,1,8,3,9,6,5,11,4,11,,
3,9,1,6,4,8,2,10,11,5,7,,
6,10,4,2,3,11,8,5,9,1,7,,
3,11,11,2,1,11,11,11,11,4,11,,
