rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,Num Cands,Num Seats
1,10,Skipped,Skipped,Skipped,3,Skipped,14,Skipped,22,Skipped,Skipped,4,23,15,Skipped,Skipped,Skipped,16,6,17,Skipped,11,21,7,12,13,19,8,Skipped,Skipped,Skipped,20,18,5,Skipped,Skipped,9,2,Skipped,40.0,1.0
3,32,33,Skipped,13,15,20,23,5,7,29,2,8,14,1,22,Skipped,24,26,31,28,19,21,35,9,34,4,6,11,37,17,36,10,16,18,30,Skipped,27,12,25,,
6,33,32,36,11,30,20,17,15,14,1,3,7,31,2,23,8,Skipped,24,34,Skipped,18,25,13,16,19,27,4,22,37,5,35,12,9,10,Skipped,28,21,29,26,,
15,37,18,36,21,7,33,24,1,5,16,19,20,14,2,27,9,38,26,34,25,8,32,29,30,28,10,13,4,35,3,40,6,17,12,39,31,22,11,23,,
12,22,18,40,3,7,Skipped,40,40,6,40,1,40,16,10,40,20,40,21,40,5,14,13,23,11,9,15,40,4,40,Skipped,40,2,30,8,40,40,17,40,19,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
19,23,27,Skipped,13,17,7,26,1,22,10,16,Skipped,Skipped,5,Skipped,28,Skipped,12,15,29,11,Skipped,Skipped,3,25,9,6,14,30,21,4,20,8,18,Skipped,Skipped,Skipped,2,24,,
17,14,21,33,13,11,9,29,12,3,5,1,23,24,2,10,32,27,31,30,28,8,37,15,18,36,34,29,19,16,20,26,25,7,4,40,6,38,22,39,,
23,28,3,34,22,18,14,32,1,2,35,10,39,29,15,25,6,21,11,8,27,19,37,20,5,13,38,26,12,16,31,36,17,7,4,33,24,30,9,40,,
Skipped,25,26,5,2,Skipped,Skipped,Skipped,11,16,Skipped,Skipped,Skipped,12,21,Skipped,15,18,Skipped,3,22,20,19,Skipped,13,24,23,17,10,7,Skipped,1,Skipped,14,6,Skipped,9,Skipped,4,8,,
