rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,Num Cands,Num Seats
31,31,31,31,31,3,31,1,31,31,31,31,31,2,31,31,31,31,5,31,31,31,31,31,31,31,31,31,4,31,31,31.0,1.0
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,,
31,31,31,31,1,31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,4,31,,
31,31,31,31,31,3,31,31,5,29,2,8,30,31,31,31,1,31,31,31,31,31,9,6,7,4,31,31,31,31,31,,
31,31,31,31,4,2,1,5,31,31,31,31,31,31,31,31,31,3,6,31,31,31,31,31,31,31,31,31,31,31,31,,
11,1,8,29,24,26,25,12,31,26,26,16,18,30,26,7,9,2,6,13,10,19,5,22,4,3,14,23,27,26,28,,
31,31,31,31,31,7,8,31,6,5,31,31,31,31,31,31,2,31,1,31,4,31,3,31,31,31,31,31,31,31,31,,
9,12,20,21,2,3,22,25,16,11,8,28,24,31,26,20,27,4,5,15,13,30,7,10,18,1,6,17,23,14,29,,
31,31,6,31,1,31,7,31,31,31,31,31,31,31,2,31,5,31,31,31,31,31,4,31,31,3,31,31,31,31,31,,
31,4,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,31,31,31,31,31,31,31,,
30,2,7,30,30,30,9,30,30,30,30,30,30,30,30,30,30,3,8,6,30,30,4,30,1,30,30,30,30,5,30,,
31,31,31,31,6,31,31,31,1,5,31,31,31,31,31,31,31,4,31,31,3,31,31,31,31,31,31,2,31,7,31,,
31,31,31,31,31,31,31,1,31,31,31,31,31,1,31,31,3,31,31,31,31,31,31,31,31,31,31,31,2,31,31,,
31,31,6,31,4,31,5,31,31,31,31,31,3,31,31,31,31,2,31,31,31,31,31,31,1,31,31,31,31,31,31,,
30,1,30,31,30,30,30,30,30,31,30,30,31,31,31,30,30,3,3,30,30,30,3,30,2,3,30,31,30,30,30,,
31,2,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,3,31,31,,
31,6,31,31,5,31,10,9,8,31,2,31,31,31,3,1,31,31,31,7,31,4,31,31,31,31,31,31,31,31,31,,
31,21,21,1,10,8,4,21,9,11,3,31,2,14,21,31,7,22,5,21,6,21,21,15,31,12,21,21,31,21,13,,
31,31,31,31,5,31,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,5,31,3,1,31,31,31,31,31,,
31,4,31,31,31,6,31,31,1,31,31,31,3,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,5,31,31,,
31,31,31,31,1,4,31,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,3,31,31,31,31,31,31,5,31,,
31,31,31,31,1,3,5,31,31,31,31,31,31,31,31,31,4,31,31,31,31,31,31,31,2,31,31,31,31,6,31,,
31,31,31,31,31,31,31,31,31,31,3,31,31,31,2,31,31,1,31,31,31,31,31,31,31,31,31,31,31,31,31,,
23,9,9,26,9,18,13,24,10,11,1,25,27,31,21,27,9,2,15,19,4,9,16,17,12,14,20,22,30,3,29,,
12,20,22,28,4,7,6,26,15,16,11,13,23,31,30,22,3,8,18,10,24,19,5,9,2,1,17,29,25,14,27,,
2,31,31,31,8,9,6,31,31,31,31,31,31,31,31,31,3,7,31,31,5,31,4,31,1,31,31,31,31,10,31,,
31,31,31,1,31,4,31,31,31,31,2,31,31,31,31,31,4,31,31,31,31,31,31,31,3,2,2,31,31,31,31,,
31,31,31,31,5,31,31,31,31,31,6,31,31,31,31,31,31,31,4,31,31,31,2,31,1,31,31,31,31,3,31,,
17,25,23,24,6,21,13,8,3,2,18,4,20,9,11,29,12,14,16,30,28,31,22,5,15,1,7,10,27,26,19,,
3,31,31,31,31,31,2,31,6,31,1,31,31,31,31,31,31,31,31,7,31,31,31,31,5,4,31,31,31,31,31,,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,29,31,31,31,30,28,31,31,31,31,31,,
31,31,31,31,1,31,31,31,31,31,31,31,31,31,31,31,2,3,4,31,31,31,31,31,31,31,31,31,31,31,31,,
31,31,31,31,2,31,7,31,31,31,1,31,31,31,6,31,31,8,31,31,31,31,4,31,3,5,31,31,31,31,31,,
28,28,4,29,1,28,28,5,28,28,2,30,28,6,3,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,31,,
31,31,31,31,31,31,5,31,31,31,31,31,31,31,31,31,31,2,31,31,31,31,4,31,3,1,31,31,31,31,31,,
