rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,Num Cands,Num Seats
46,15,38,10,18,25,40,22,31,33,13,26,2,4,17,14,9,6,30,12,8,33,28,20,42,35,32,25,34,37,3,43,24,29,1,36,5,41,21,16,23,19,7,45,39,11,,
46,46,46,40,31,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1,46,1,46,46,46,46,32,46,46,46,40,46,46,46,46,46,46,46,46,46,46,46,,
Skipped,11,Skipped,5,4,Skipped,13,Skipped,Skipped,Skipped,Skipped,12,6,3,1,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,2,Skipped,10,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,Skipped,,
42,Skipped,Skipped,10,Skipped,15,Skipped,Skipped,25,30,30,Skipped,10,10,46,Skipped,10,Skipped,Skipped,Skipped,25,Skipped,Skipped,5,Skipped,25,20,Skipped,1,Skipped,10,40,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,30,Skipped,Skipped,15,Skipped,46,Skipped,,
46,46,19,2,4,29,27,18,14,46,20,17,7,1,3,46,5,26,12,46,46,30,46,9,24,46,24,13,46,28,6,46,8,15,10,46,46,25,16,15,40,11,16,46,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,46,46,46,46,1,46,46,46,46,46,46,46,3,46,46,46,46,46,46,5,4,46,46,46,6,46,46,46,46,8,2,46,46,46,46,46,46,46,9,46,46,46,46,,
46,45,46,2,10,45,45,46,10,45,45,10,4,12,12,15,10,40,45,1,23,45,42,7,45,45,45,45,46,46,45,43,45,45,3,46,5,14,45,46,46,10,29,44,45,13,,
26,11,8,10,31,32,6,20,32,21,14,2,13,17,4,44,23,28,27,15,27,30,37,3,9,19,29,34,9,7,33,29,27,22,5,16,18,3,35,27,25,38,24,1,30,12,,
1,46,46,46,1,46,46,1,46,46,46,46,1,1,1,46,46,1,46,46,46,46,46,1,46,1,1,1,46,46,1,46,46,1,1,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,4,46,46,46,46,46,6,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1,46,46,3,46,46,46,46,46,2,46,46,46,46,46,46,46,46,46,46,46,,
1,27,34,27,3,7,34,27,34,9,12,46,27,27,46,46,27,11,34,27,46,7,46,46,46,27,7,2,27,35,7,46,11,27,28,27,27,46,46,27,8,34,27,46,34,27,,
26,46,46,5,7,26,46,46,12,46,46,28,6,9,14,11,3,26,16,46,15,26,46,2,29,46,26,13,46,31,10,46,19,17,1,18,46,4,21,27,46,8,46,32,30,20,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,2,5,46,46,46,6,46,46,46,2,46,5,46,46,46,46,46,46,46,46,4,46,46,46,46,46,46,46,46,46,46,1,46,46,46,46,46,46,46,46,46,10,46,,
Skipped,Skipped,Skipped,3,17,Skipped,Skipped,Skipped,10,Skipped,7,Skipped,2,Skipped,8,6,Skipped,13,Skipped,Skipped,5,Skipped,Skipped,4,14,Skipped,Skipped,Skipped,13,Skipped,12,Skipped,15,19,1,Skipped,Skipped,Skipped,Skipped,18,Skipped,9,21,Skipped,11,Skipped,,
46,17,28,3,18,39,30,15,37,10,20,23,2,1,33,24,6,19,31,16,22,32,36,13,38,9,44,14,27,29,4,26,41,8,21,12,7,11,34,43,40,25,5,42,45,35,,
46,46,46,46,46,46,46,46,46,46,46,4,46,7,46,46,46,1,46,46,5,46,46,46,46,46,46,46,46,46,6,46,46,46,2,46,46,46,46,46,46,46,46,46,3,46,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,39,36,3,7,31,19,38,30,40,41,17,4,2,6,21,11,22,14,33,8,25,23,5,35,42,44,24,43,10,9,45,15,29,1,18,28,12,27,34,32,13,26,37,20,16,,
1,46,46,46,3,46,46,46,46,46,46,46,46,46,46,46,4,46,46,46,46,46,46,2,46,46,46,6,46,46,46,46,7,46,46,8,46,46,46,46,46,46,46,5,46,46,,
Skipped,Skipped,17,3,15,Skipped,10,34,7,Skipped,36,14,2,5,12,16,Skipped,13,41,11,33,Skipped,44,6,45,Skipped,Skipped,43,Skipped,38,9,46,40,39,1,Skipped,8,Skipped,37,42,Skipped,18,35,Skipped,4,Skipped,,
16,46,46,10,6,13,46,25,26,25,46,2,9,5,46,46,25,1,46,25,12,14,46,46,46,25,15,3,46,46,8,46,4,25,46,25,25,11,46,46,17,27,7,46,46,46,,
46,46,46,7,8,46,46,46,46,13,46,46,3,7,16,20,2,5,15,19,14,46,11,9,46,46,13,9,46,46,10,46,46,20,6,46,46,10,46,11,46,7,17,46,46,46,,
46,46,46,2,9,46,12,46,46,46,46,5,1,4,14,46,6,10,46,46,46,46,46,10,46,15,46,46,7,11,46,46,46,13,3,46,46,46,46,46,46,8,46,46,46,46,,
46,46,33,5,2,46,20,27,13,37,25,17,3,46,13,30,6,46,26,46,13,22,23,8,37,12,16,16,46,46,10,46,30,31,6,46,31,13,44,16,46,4,19,46,46,32,,
46,46,46,46,5,46,46,46,8,46,46,1,46,3,46,46,6,1,46,3,4,3,46,46,46,46,46,46,46,46,46,46,3,46,46,7,5,9,46,46,4,46,3,46,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
22,9,41,43,20,23,42,19,25,29,37,6,43,43,33,24,2,4,36,15,8,14,11,28,28,34,17,35,13,39,18,40,21,27,32,16,3,12,10,30,1,38,5,7,31,26,,
46,27,10,3,7,23,9,46,2,25,46,26,6,5,14,19,20,22,17,24,32,46,46,4,35,30,29,16,13,34,12,46,11,31,1,46,28,15,46,46,46,8,33,46,21,18,,
5,Skipped,Skipped,12,10,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,9,16,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,13,20,45,8,4,11,Skipped,Skipped,Skipped,Skipped,Skipped,7,18,1,Skipped,2,19,15,3,17,Skipped,46,Skipped,Skipped,,
46,46,46,7,46,8,46,46,15,46,12,46,2,4,46,19,6,46,46,46,46,46,46,5,46,9,46,46,10,46,13,46,46,46,1,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,3,12,Skipped,46,Skipped,11,18,46,16,6,1,12,46,5,10,16,46,46,Skipped,46,2,46,14,9,17,46,46,8,46,13,45,4,46,19,7,46,46,Skipped,15,18,46,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,10,2,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,8,2,46,46,46,46,46,46,46,46,46,46,4,,
46,46,46,1,6,46,46,46,4,46,46,13,17,7,5,20,3,46,46,46,46,18,46,2,46,46,46,12,46,15,9,46,16,46,11,46,46,8,46,19,46,10,46,46,46,14,,
46,46,46,4,6,46,46,46,11,46,46,46,3,2,9,46,8,46,46,46,10,46,46,5,11,46,46,46,46,46,7,46,11,46,1,46,46,12,46,46,46,11,46,46,11,46,,
46,46,46,4,46,8,46,46,3,9,46,46,7,46,46,46,46,46,46,46,46,46,46,6,46,2,5,46,46,46,46,46,46,46,1,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,12,46,46,46,46,46,46,46,46,7,6,9,12,3,46,46,46,46,46,18,7,46,46,46,10,46,46,7,46,28,9,3,6,46,38,46,46,46,9,46,46,46,46,,
Skipped,17,15,1,8,Skipped,15,Skipped,7,Skipped,14,10,3,18,4,19,9,9,16,21,12,Skipped,22,2,10,Skipped,10,20,15,15,11,24,20,Skipped,5,Skipped,13,10,Skipped,23,23,6,22,Skipped,10,21,,
46,46,46,2,13,46,46,46,9,46,46,12,7,4,7,46,3,46,46,46,46,46,46,8,46,46,46,13,46,12,10,46,46,46,1,46,46,12,46,46,46,13,46,46,46,46,,
46,46,46,46,46,46,46,2,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,46,46,46,4,1,46,46,46,46,5,5,2,46,46,46,46,46,6,46,46,6,46,46,46,46,46,46,6,46,46,46,5,46,5,46,46,46,46,2,46,46,1,2,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
2,46,46,46,46,1,46,3,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,4,6,46,46,46,46,5,7,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
Skipped,Skipped,23,4,9,19,21,35,11,Skipped,46,14,3,5,13,27,2,8,26,20,29,33,34,7,12,16,Skipped,30,10,24,17,46,31,Skipped,1,Skipped,18,6,Skipped,25,Skipped,22,32,Skipped,15,28,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,7,46,5,2,46,46,46,46,46,46,46,4,3,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1,46,46,46,46,46,8,46,46,46,46,6,46,46,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
Skipped,Skipped,17,2,7,Skipped,Skipped,46,19,Skipped,20,Skipped,4,9,8,15,Skipped,Skipped,16,Skipped,14,Skipped,Skipped,1,46,Skipped,Skipped,13,Skipped,Skipped,6,Skipped,12,46,3,Skipped,Skipped,Skipped,Skipped,18,Skipped,5,10,Skipped,20,11,,
Skipped,10,Skipped,2,3,Skipped,12,9,3,11,8,6,1,4,6,10,5,6,8,Skipped,Skipped,Skipped,Skipped,5,Skipped,10,Skipped,4,Skipped,Skipped,3,12,13,Skipped,2,Skipped,12,6,Skipped,18,Skipped,8,Skipped,Skipped,Skipped,Skipped,,
6,46,46,46,46,3,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,4,46,46,46,46,46,46,46,46,46,2,46,1,46,5,46,46,46,46,46,46,46,46,,
46,19,10,2,7,30,10,17,8,20,16,5,4,2,6,13,3,4,13,13,25,15,16,4,25,20,20,14,10,10,14,25,15,26,1,30,12,25,35,13,25,6,11,30,18,20,,
45,29,36,1,10,46,37,44,13,28,42,7,4,3,8,30,5,23,24,40,12,35,32,6,26,14,22,21,33,37,9,43,25,38,2,28,16,11,34,18,19,20,15,41,27,17,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,3,4,17,12,46,5,46,46,46,46,3,8,19,9,46,13,20,21,46,46,7,46,46,46,16,46,46,6,46,46,11,1,46,46,46,46,46,46,10,15,46,18,14,,
Skipped,Skipped,Skipped,1,11,Skipped,Skipped,24,13,Skipped,23,10,4,2,6,14,Skipped,8,Skipped,Skipped,15,Skipped,21,5,Skipped,Skipped,Skipped,22,Skipped,Skipped,7,Skipped,20,16,3,Skipped,Skipped,Skipped,Skipped,19,Skipped,12,17,Skipped,Skipped,9,,
46,26,19,3,8,34,15,46,4,46,13,25,2,12,7,14,5,30,24,29,17,34,46,11,21,46,31,22,32,20,10,46,23,46,1,46,16,9,46,33,35,18,27,46,6,28,,
46,46,46,2,46,46,46,46,46,46,46,46,46,46,46,46,2,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,2,6,46,46,46,46,46,46,46,,
46,6,46,2,14,46,4,46,7,46,46,46,12,8,1,11,46,46,9,46,46,46,46,3,46,46,46,10,46,46,15,46,46,46,5,46,46,46,46,46,46,13,46,46,46,46,,
37,33,36,8,7,17,36,23,36,18,14,46,6,2,46,22,4,11,36,31,32,28,34,3,46,27,19,10,33,36,9,25,20,15,1,12,29,5,26,13,30,21,16,24,36,31,,
46,46,46,4,13,20,46,10,13,15,46,14,5,1,10,4,6,46,46,46,3,46,46,2,23,6,12,46,46,46,46,46,16,16,1,14,46,3,46,46,46,13,46,5,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,1,46,1,46,46,1,46,46,1,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,31,28,8,20,22,29,36,31,31,9,22,5,2,9,9,2,37,17,45,36,40,30,6,20,1,22,30,16,43,31,34,17,29,1,44,33,9,44,36,39,4,32,40,43,41,,
Skipped,17,19,8,16,Skipped,36,14,1,Skipped,Skipped,23,18,15,6,12,13,24,Skipped,9,7,21,29,27,30,Skipped,25,20,Skipped,36,4,Skipped,26,Skipped,2,Skipped,3,Skipped,28,Skipped,10,36,5,Skipped,36,11,,
46,17,21,10,23,18,8,46,12,Skipped,31,24,4,3,19,13,5,14,45,2,44,Skipped,45,15,46,20,Skipped,39,11,25,22,46,45,46,1,29,7,9,28,30,Skipped,26,27,Skipped,16,6,,
1,46,46,46,46,6,46,8,46,7,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,4,5,46,46,46,46,2,46,3,46,46,46,9,46,46,46,46,46,46,46,46,,
46,46,16,3,9,46,16,46,6,46,46,11,2,1,5,27,2,46,28,46,20,46,40,8,46,8,19,28,19,16,9,46,36,36,1,14,28,1,42,46,46,7,35,40,20,11,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,1,46,46,46,46,46,46,46,46,1,46,46,46,46,46,46,46,46,46,46,1,46,46,46,46,46,46,46,46,46,46,1,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,
Skipped,Skipped,12,4,10,Skipped,13,29,6,Skipped,30,22,3,2,9,16,8,20,28,Skipped,17,Skipped,28,5,27,Skipped,Skipped,23,Skipped,14,15,Skipped,24,25,1,Skipped,Skipped,21,Skipped,26,Skipped,11,18,Skipped,7,19,,
46,46,14,2,3,17,4,46,4,46,2,46,1,3,2,12,3,46,10,15,11,15,13,1,46,13,46,7,46,7,2,46,10,15,1,46,46,46,46,46,46,6,8,46,5,46,,
Skipped,Skipped,Skipped,2,7,Skipped,Skipped,Skipped,8,13,15,6,5,3,6,12,4,13,12,14,15,11,15,4,15,6,11,12,11,11,9,15,12,12,1,14,11,11,15,15,13,10,13,14,15,11,,
45,25,26,9,11,Skipped,35,31,19,44,30,4,2,1,10,20,23,5,32,14,8,6,29,13,28,37,36,15,43,41,22,38,34,24,3,39,7,33,40,18,16,21,12,42,27,17,,
39,36,29,6,4,25,31,27,45,41,21,22,1,2,37,11,9,7,28,19,34,32,23,42,40,5,13,17,8,30,12,16,26,24,3,15,10,33,43,20,18,38,14,44,46,35,,
