rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,Num Cands,Num Seats
80,7,Skipped,80,Skipped,8,18,Skipped,Skipped,80,80,Skipped,Skipped,Skipped,80,Skipped,Skipped,80,Skipped,Skipped,80,22,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,80,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,21,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,6,80,Skipped,80,Skipped,Skipped,19,9,80,Skipped,11,80,Skipped,10,Skipped,13,20,Skipped,Skipped,1,17,15,2,Skipped,12,80,Skipped,Skipped,3,Skipped,Skipped,5,14,Skipped,,
80,80,80,80,80,8,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
Skipped,15,Skipped,20,35,15,Skipped,Skipped,40,35,20,30,25,Skipped,35,Skipped,Skipped,Skipped,Skipped,Skipped,35,Skipped,Skipped,Skipped,Skipped,Skipped,15,10,20,Skipped,Skipped,20,40,Skipped,40,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,25,30,25,5,40,30,Skipped,Skipped,40,15,Skipped,Skipped,10,5,Skipped,Skipped,20,25,Skipped,Skipped,Skipped,5,30,10,5,25,35,Skipped,Skipped,30,5,Skipped,Skipped,10,10,Skipped,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,,
7,45,40,24,50,19,42,56,44,13,54,66,63,80,52,65,37,17,30,75,25,27,47,59,80,34,36,62,4,53,39,8,64,72,70,80,80,43,21,41,76,29,26,46,68,23,10,48,55,14,61,58,32,15,16,71,18,3,69,11,38,22,28,67,31,2,9,20,1,57,51,12,74,49,6,73,33,5,35,60,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
58,35,45,5,41,38,53,70,54,65,29,Skipped,10,Skipped,55,Skipped,17,66,37,25,68,74,39,21,62,59,34,33,24,57,48,7,47,51,15,Skipped,Skipped,18,42,3,32,50,11,13,69,49,46,1,72,71,56,64,40,36,30,Skipped,9,14,22,16,20,67,26,52,Skipped,4,2,19,12,27,63,8,43,31,6,60,44,28,23,61,,
12,17,58,37,35,29,58,48,80,42,32,39,80,80,80,50,80,49,57,52,16,28,45,80,80,80,21,1,44,80,30,38,22,80,43,80,80,53,33,56,54,40,10,36,80,46,14,15,24,26,58,80,11,7,51,80,20,5,80,18,25,27,47,80,31,3,9,8,13,41,19,23,80,34,2,80,55,6,4,58,,
80,80,80,80,80,15,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,15,80,80,80,80,80,16,80,80,80,80,80,80,80,80,80,80,16,80,80,80,9,80,80,15,2,80,80,80,80,80,80,80,4,80,80,3,80,80,80,80,80,1,80,80,80,10,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,80,80,80,80,80,80,80,80,4,80,,
